time,seconds_elapsed,dBFS
1686639340827000000,0,-160
1686639341107000000,0.28,-139
1686639341217000000,0.39,-133
1686639341323000000,0.496,-115
1686639341432000000,0.605,-117
1686639341539000000,0.712,-120
1686639341648000000,0.821,-116
1686639341755000000,0.928,-107
1686639341864000000,1.037,-118
1686639341972000000,1.145,-112
1686639342081000000,1.254,-114
1686639342188000000,1.361,-118
1686639342296000000,1.469,-106
1686639342404000000,1.577,-87
1686639342513000000,1.686,-92
1686639342620000000,1.793,-74
1686639342728000000,1.901,-80
1686639342836000000,2.009,-87
1686639342945000000,2.118,-93
1686639343053000000,2.226,-86
1686639343161000000,2.334,-69
1686639343269000000,2.442,-7
1686639343377000000,2.55,-33
1686639343486000000,2.659000244140625,-17
1686639343594000000,2.766999755859375,-15
1686639343702000000,2.875000244140625,-41
1686639343810000000,2.982999755859375,-65
1686639343917000000,3.09,-62
1686639344026000000,3.198999755859375,-51
1686639344134000000,3.307000244140625,-55
1686639344242000000,3.414999755859375,-56
1686639344350000000,3.523000244140625,-55
1686639344458000000,3.630999755859375,-62
1686639344566000000,3.739000244140625,-53
1686639344675000000,3.848,-60
1686639344782000000,3.955000244140625,-57
1686639344890000000,4.062999755859375,-59
1686639344999000000,4.172,-61
1686639345107000000,4.28,-66
1686639345215000000,4.388,-66
1686639345323000000,4.496,-62
1686639345431000000,4.604,-50
1686639345539000000,4.712,-48
1686639345647000000,4.82,-67
1686639345756000000,4.929,-54
1686639345864000000,5.037,-69
1686639345971000000,5.144,-69
1686639346080000000,5.253,-77
1686639346187000000,5.36,-66
1686639346295000000,5.468,-64
1686639346403000000,5.576,-60
1686639346511000000,5.684,-49
1686639346620000000,5.793,-58
1686639346729000000,5.902,-35
1686639346837000000,6.01,-47
1686639346944000000,6.117,-50
1686639347052000000,6.225,-33
1686639347160000000,6.333,-48
1686639347268000000,6.441,-59
1686639347376000000,6.549,-36
1686639347484000000,6.657,-53
1686639347592000000,6.765,-42
1686639347701000000,6.874,-50
1686639347809000000,6.982,-53
1686639347919000000,7.092,-50
1686639348026000000,7.198999755859375,-51
1686639348134000000,7.307000244140625,-50
1686639348242000000,7.414999755859375,-57
1686639348350000000,7.523000244140625,-51
1686639348460000000,7.633,-47
1686639348567000000,7.74,-41
1686639348676000000,7.849,-42
1686639348782000000,7.955000244140625,-47
1686639348890000000,8.062999755859375,-41
1686639348999000000,8.172,-35
1686639349106000000,8.278999755859376,-40
1686639349215000000,8.388,-39
1686639349323000000,8.496,-34
1686639349431000000,8.604,-42
1686639349540000000,8.713,-31
1686639349646000000,8.819000244140625,-37
1686639349754000000,8.926999755859375,-35
1686639349864000000,9.037,-43
1686639349972000000,9.145,-42
1686639350078000000,9.251000244140625,-36
1686639350187000000,9.36,-39
1686639350296000000,9.469,-48
1686639350404000000,9.577,-42
1686639350511000000,9.684,-38
1686639350618000000,9.790999755859374,-40
1686639350727000000,9.9,-43
1686639350835000000,10.008,-33
1686639350943000000,10.116,-32
1686639351052000000,10.225,-21
1686639351159000000,10.332,-19
1686639351268000000,10.441,-16
1686639351376000000,10.549,-15
1686639351486000000,10.659000244140625,-23
1686639351593000000,10.766,-12
1686639351702000000,10.875000244140624,-11
1686639351811000000,10.984,-25
1686639351917000000,11.09,-24
1686639352027000000,11.2,-25
1686639352132000000,11.305,-26
1686639352241000000,11.414,-23
1686639352352000000,11.525,-30
1686639352458000000,11.630999755859374,-35
1686639352566000000,11.739000244140625,-26
1686639352674000000,11.846999755859375,-18
1686639352780000000,11.953,-24
1686639352889000000,12.062,-27
1686639352998000000,12.171000244140625,-11
1686639353104000000,12.277,-25
1686639353214000000,12.387000244140625,-17
1686639353322000000,12.494999755859375,-16
1686639353429000000,12.602,-20
1686639353537000000,12.71,-21
1686639353645000000,12.818,-15
1686639353753000000,12.926,-22
1686639353864000000,13.037,-18
1686639353970000000,13.142999755859375,-13
1686639354077000000,13.25,-21
1686639354185000000,13.358,-20
1686639354294000000,13.467000244140625,-14
1686639354402000000,13.574999755859375,-18
1686639354509000000,13.682,-12
1686639354619000000,13.792,-2
1686639354726000000,13.899000244140625,-2
1686639354834000000,14.006999755859376,-20
1686639354942000000,14.115000244140624,-17
1686639355050000000,14.222999755859375,-27
1686639355159000000,14.332,-16
1686639355268000000,14.441,-21
1686639355376000000,14.549,-20
1686639355480000000,14.653,-21
1686639355591000000,14.764,-11
1686639355700000000,14.873,-11
1686639355806000000,14.979000244140625,-16
1686639355913000000,15.086,-12
1686639356022000000,15.195000244140624,-23
1686639356132000000,15.305,-8
1686639356236000000,15.409,-16
1686639356344000000,15.517,-22
1686639356453000000,15.626,-12
1686639356561000000,15.734,-6
1686639356670000000,15.843000244140624,-2
1686639356779000000,15.952,-10
1686639356887000000,16.06,-13
1686639356998000000,16.171000244140625,-4
1686639357102000000,16.275000244140625,-15
1686639357211000000,16.384,-14
1686639357319000000,16.492,-11
1686639357425000000,16.598,-5
1686639357533000000,16.706,-9
1686639357645000000,16.818,-7
1686639357751000000,16.924,-11
1686639357861000000,17.034,-20
1686639357968000000,17.141,-18
1686639358076000000,17.249,-20
1686639358183000000,17.356,-17
1686639358292000000,17.465,-15
1686639358403000000,17.576,-7
1686639358508000000,17.681,-8
1686639358617000000,17.79,-18
1686639358725000000,17.898,-21
1686639358834000000,18.006999755859376,-10
1686639358943000000,18.116,-12
1686639359046000000,18.219000244140624,-18
1686639359156000000,18.329,-17
1686639359264000000,18.437,-18
1686639359372000000,18.545,-14
1686639359481000000,18.654,-20
1686639359587000000,18.76,-12
1686639359695000000,18.868,-17
1686639359806000000,18.979000244140625,-18
1686639359914000000,19.086999755859374,-18
1686639360020000000,19.193,-23
1686639360128000000,19.301,-27
1686639360236000000,19.409,-19
1686639360344000000,19.517,-23
1686639360451000000,19.624,-31
1686639360561000000,19.734,-27
1686639360668000000,19.841,-24
1686639360776000000,19.949,-26
1686639360883000000,20.056,-23
1686639360991000000,20.164,-27
1686639361099000000,20.272,-17
1686639361208000000,20.381,-9
1686639361316000000,20.489,-17
1686639361425000000,20.598,-27
1686639361534000000,20.707000244140627,-30
1686639361641000000,20.814,-18
1686639361748000000,20.921,-16
1686639361857000000,21.03,-23
1686639361968000000,21.141,-14
1686639362074000000,21.246999755859374,-8
1686639362181000000,21.354,-14
1686639362295000000,21.468,-28
1686639362404000000,21.577,-25
1686639362513000000,21.686,-16
1686639362622000000,21.795000244140624,-17
1686639362730000000,21.902999755859376,-6
1686639362838000000,22.011000244140625,-23
1686639362945000000,22.118,-16
1686639363052000000,22.225,-23
1686639363161000000,22.334,-29
1686639363268000000,22.441,-14
1686639363375000000,22.548,-15
1686639363484000000,22.657,-25
