"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.682053400E-2,-6.059844494E-1,7.516550422E-1,3.561872840E-1
8.934298200E-2,-6.411371231E-1,8.592435718E-1,3.785571754E-1
9.186813800E-2,-6.230281591E-1,8.741568327E-1,3.796224296E-1
9.439339900E-2,-6.123758554E-1,9.327446818E-1,3.924052119E-1
9.695808600E-2,-5.963973403E-1,9.721583128E-1,4.018591642E-1
9.944381500E-2,-5.697665215E-1,9.977238774E-1,4.061200917E-1
1.020085030E-1,-5.399399996E-1,1.012503982E0,4.125114977E-1
1.044942320E-1,-5.059856772E-1,1.015699744E0,4.135767221E-1
1.070194400E-1,-4.729634523E-1,1.013569236E0,4.114462435E-1
1.095739190E-1,-4.473978579E-1,1.003050089E0,4.061200917E-1
1.121284510E-1,-4.218322635E-1,9.902672768E-1,4.039896131E-1
1.146829300E-1,-4.026580751E-1,9.742887616E-1,3.913399875E-1
1.171597010E-1,-3.856143653E-1,9.583102465E-1,3.785571754E-1
1.196849610E-1,-3.738967776E-1,9.519188404E-1,3.711005449E-1
1.222101690E-1,-3.675054014E-1,9.529840946E-1,3.583177626E-1
1.248072010E-1,-3.632444739E-1,9.647016525E-1,3.455349505E-1
1.272210550E-1,-3.685706258E-1,1.003050089E0,3.391435742E-1
1.297856900E-1,-3.802881837E-1,1.046591401E0,3.295564651E-1
1.323109510E-1,-3.973319232E-1,1.074287534E0,3.135779798E-1
1.348361070E-1,-4.111799598E-1,1.077483177E0,2.922733128E-1
1.373613150E-1,-4.378107786E-1,1.054048061E0,2.709686458E-1
1.399213150E-1,-4.750939310E-1,1.019960642E0,2.571206093E-1
1.424812630E-1,-5.166380405E-1,9.732235074E-1,2.432725877E-1
1.449994920E-1,-5.750926733E-1,9.114400148E-1,2.390116602E-1
1.474622010E-1,-6.390066743E-1,8.432651162E-1,2.411421239E-1
1.499874090E-1,-7.125077248E-1,7.623074055E-1,2.485987544E-1
1.525667320E-1,-7.870740294E-1,6.749582887E-1,2.656424940E-1
1.550377740E-1,-8.669665456E-1,5.822830200E-1,2.880123854E-1
1.575630340E-1,-9.415328503E-1,4.810858667E-1,3.061213493E-1
1.600882420E-1,-1.006512046E0,3.555215299E-1,3.263607621E-1
1.626134510E-1,-1.057643294E0,2.223673910E-1,3.423392773E-1
1.651386590E-1,-1.095991611E0,8.175663650E-2,3.540568352E-1
1.676638150E-1,-1.124752879E0,-5.991935730E-2,3.615134656E-1
1.701890240E-1,-1.141663551E0,-1.994648874E-1,3.657743931E-1
1.727142320E-1,-1.149120092E0,-3.314206302E-1,3.625786901E-1
1.753578260E-1,-1.152315855E0,-4.475310147E-1,3.593829870E-1
1.778830860E-1,-1.140598297E0,-5.476629138E-1,3.561872840E-1
1.804082420E-1,-1.122622490E0,-6.307511330E-1,3.487306535E-1
1.829335030E-1,-1.093861103E0,-6.893389225E-1,3.444697261E-1
1.854587110E-1,-1.055512786E0,-7.212958932E-1,3.391435742E-1
1.879839190E-1,-1.007577300E0,-7.351439595E-1,3.284912407E-1
1.905090760E-1,-9.532504082E-1,-7.308830023E-1,3.189041317E-1
1.930343360E-1,-8.999887705E-1,-7.053174376E-1,3.093170524E-1
1.955594920E-1,-8.520532846E-1,-6.605776548E-1,2.933385372E-1
1.980847010E-1,-8.105092049E-1,-6.030550599E-1,2.741643488E-1
2.006099090E-1,-7.753564715E-1,-5.306192040E-1,2.475335300E-1
2.031351170E-1,-7.444647551E-1,-4.390091598E-1,2.251636237E-1
2.056603260E-1,-7.252905369E-1,-3.271597028E-1,1.964023411E-1
2.082250130E-1,-7.093120217E-1,-1.920082569E-1,1.676410437E-1
2.107107420E-1,-6.965292692E-1,-3.222329915E-2,1.356840581E-1
2.132359510E-1,-6.816160083E-1,1.424749196E-1,1.133141592E-1
2.157611590E-1,-6.635070443E-1,3.043903410E-1,9.094426781E-2
2.182863670E-1,-6.475285292E-1,4.171718955E-1,6.963960826E-2
2.208115760E-1,-6.315500140E-1,4.619116783E-1,5.792204663E-2
2.233367840E-1,-6.208977103E-1,4.555202723E-1,6.857437640E-2
