"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.083239190E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.134329300E-1,1.333205700E-1,-1.523733139E-1,9.549105167E-2
1.184349610E-1,2.544126511E-1,-2.403841019E-1,1.855410337E-1
1.235572010E-1,2.970113754E-1,-2.202272415E-1,1.510836184E-1
1.285356900E-1,2.849723697E-1,-1.345634460E-2,-1.377403140E-1
1.335861070E-1,5.649659038E-1,-2.160196304E-1,2.587717175E-1
1.386713150E-1,5.018347502E-1,-2.047176361E-1,2.830343544E-1
1.437494920E-1,1.411748528E-1,-9.224891663E-2,4.975450039E-2
1.487374090E-1,-3.258624673E-1,6.549358368E-2,-2.306598425E-1
1.537877740E-1,-9.125284553E-1,2.623901367E-1,-4.803779125E-1
1.588382420E-1,-1.114502907E0,2.588434219E-1,-1.041051745E-1
1.638886590E-1,-1.148720741E0,2.710571289E-1,3.899071515E-1
1.689390240E-1,-8.472443819E-1,2.549400330E-1,5.873408318E-1
1.741078260E-1,-4.554080963E-1,1.154732704E-1,4.105792046E-1
1.791582420E-1,-5.275058746E-2,-1.134705544E-1,2.566325665E-2
1.842087110E-1,3.819884658E-1,-3.251781464E-1,-4.041646123E-1
1.892590760E-1,7.630243301E-1,-5.299892426E-1,-8.184227943E-1
1.943094920E-1,1.320465446E0,-6.118326187E-1,-1.428658962E0
1.993599090E-1,1.857664824E0,-6.830358505E-1,-2.087234974E0
2.044103260E-1,2.412585735E0,-7.717514038E-1,-2.729952097E0
2.094607420E-1,2.792641878E0,-8.479290009E-1,-3.094332218E0
2.145111590E-1,2.845100403E0,-9.718379974E-1,-2.933399916E0
2.195615760E-1,2.742891312E0,-1.117654800E0,-1.906380892E0
2.246119920E-1,1.929713488E0,-7.477169037E-1,-1.103519440E0
2.296624090E-1,1.047948003E0,-4.574604034E-1,-5.337705612E-1
2.347128260E-1,5.890647173E-1,-2.199182510E-1,-3.419423103E-1
2.397632420E-1,3.418059945E-1,4.469299316E-2,-4.536583424E-1
2.448136590E-1,2.723718286E-1,2.829971313E-1,-6.711938381E-1
2.498640760E-1,4.198707640E-1,5.578908920E-1,-9.872980118E-1
2.549144920E-1,7.528008223E-1,8.598117828E-1,-1.246470213E0
2.599649090E-1,1.055432081E0,1.089067459E0,-1.398368359E0
2.650153260E-1,1.260084867E0,1.307572365E0,-1.374663353E0
2.700657420E-1,1.170247316E0,1.468314171E0,-1.224375248E0
2.751161590E-1,8.876919746E-1,1.544633865E0,-1.283731222E0
2.801665760E-1,5.049357414E-1,1.420467854E0,-1.542988062E0
2.852169920E-1,8.437764645E-2,8.124899864E-1,-1.919068336E0
2.902674090E-1,-4.059167504E-1,-1.609387398E-1,-2.240982056E0
2.953178260E-1,-1.021430135E0,-1.318766117E0,-2.567728519E0
3.003682420E-1,-1.548320770E0,-2.528421402E0,-3.089304447E0
3.054186590E-1,-1.911250830E0,-3.562376022E0,-3.606950045E0
3.104690760E-1,-2.092217207E0,-4.531822205E0,-3.694494247E0
3.155194920E-1,-2.075358629E0,-5.330917358E0,-3.310390234E0
3.205699090E-1,-1.975117207E0,-5.823506355E0,-2.565726519E0
3.256203260E-1,-1.839894056E0,-5.926569939E0,-1.639560699E0
3.306707420E-1,-1.567228913E0,-5.863489151E0,-9.917745590E-1
3.357211590E-1,-1.294853806E0,-5.565312386E0,-1.047376633E0
3.407715760E-1,-1.212103367E0,-5.223991394E0,-1.905052662E0
3.458219920E-1,-1.385786057E0,-4.844424248E0,-2.939978600E0
3.508724090E-1,-1.804159641E0,-4.603321075E0,-3.486982822E0
3.559228260E-1,-2.166627407E0,-4.420739174E0,-3.458885193E0
3.609732420E-1,-2.437157631E0,-4.370116234E0,-2.894393444E0
