"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.831875130E-1,-2.583959961E1,3.707579803E1,5.319200039E0
1.931875130E-1,-2.565659904E1,3.697819901E1,5.368000031E0
2.031875130E-1,-2.554679871E1,3.666099930E1,5.563199997E0
2.131875130E-1,-2.532719994E1,3.652679825E1,5.733999729E0
2.231875130E-1,-2.515639877E1,3.638039780E1,5.929199696E0
2.331875130E-1,-2.504660034E1,3.622179794E1,6.136600018E0
2.431875130E-1,-2.496119881E1,3.608760071E1,6.356199741E0
2.531875130E-1,-2.474160004E1,3.594120026E1,6.600199699E0
2.631875130E-1,-2.430239868E1,3.573379898E1,6.978399754E0
2.731875130E-1,-2.388759995E1,3.551419830E1,7.405399799E0
2.831875130E-1,-2.342399979E1,3.533119965E1,7.637199879E0
2.931875130E-1,-2.293599892E1,3.509939957E1,7.966599941E0
3.031875130E-1,-2.239920044E1,3.492860031E1,8.259399414E0
3.131875130E-1,-2.178919983E1,3.480659866E1,8.674200058E0
3.231875130E-1,-2.115480042E1,3.470899963E1,8.954799652E0
3.331875130E-1,-2.047159958E1,3.469680023E1,9.479399681E0
3.431875130E-1,-1.992259979E1,3.462360001E1,1.012599945E1
3.531875130E-1,-1.932480049E1,3.451379776E1,1.078479958E1
3.631875130E-1,-1.872699928E1,3.445280075E1,1.163879967E1
3.731875130E-1,-1.814139938E1,3.448939896E1,1.250500011E1
3.831875130E-1,-1.759239960E1,3.455039978E1,1.355420017E1
3.931875130E-1,-1.716539955E1,3.457479858E1,1.456680012E1
4.031875130E-1,-1.670179939E1,3.457479858E1,1.577460003E1
4.131875130E-1,-1.636019897E1,3.455039978E1,1.684819984E1
4.231875130E-1,-1.590880013E1,3.450159836E1,1.805599976E1
4.331875130E-1,-1.544519997E1,3.445280075E1,1.949559975E1
4.431875130E-1,-1.498159981E1,3.442839813E1,2.103279877E1
4.531875130E-1,-1.456680012E1,3.430640030E1,2.241139984E1
4.631875130E-1,-1.416419983E1,3.402579880E1,2.387539864E1
4.731875130E-1,-1.365180016E1,3.374520111E1,2.530279922E1
4.831875130E-1,-1.318820000E1,3.348899841E1,2.668140030E1
4.931875130E-1,-1.270020008E1,3.320840073E1,2.788920021E1
5.031875130E-1,-1.228539944E1,3.296440125E1,2.898719978E1
5.131875130E-1,-1.185839939E1,3.281800079E1,2.992659950E1
5.231875130E-1,-1.156559944E1,3.267160034E1,3.074399948E1
5.331875130E-1,-1.119960022E1,3.259840012E1,3.170779991E1
5.431875130E-1,-1.082139969E1,3.262279892E1,3.235440063E1
5.531875130E-1,-1.054080009E1,3.273260117E1,3.291559982E1
5.631875130E-1,-1.023579979E1,3.287899780E1,3.345240021E1
5.731875130E-1,-9.979599953E0,3.306200027E1,3.397700119E1
5.831875130E-1,-9.760000229E0,3.330599976E1,3.436740112E1
5.931875130E-1,-9.686800003E0,3.356219864E1,3.459920120E1
6.031875130E-1,-9.625800133E0,3.396479797E1,3.459920120E1
6.131875130E-1,-9.760000229E0,3.435519791E1,3.447719955E1
6.231875130E-1,-9.991799355E0,3.481879807E1,3.422100067E1
6.331875130E-1,-1.027239990E1,3.539220047E1,3.370859909E1
6.431875130E-1,-1.067500019E1,3.602659988E1,3.302539825E1
6.531875130E-1,-1.118739986E1,3.668539810E1,3.215919876E1
6.631875130E-1,-1.169979954E1,3.734420013E1,3.114659882E1
6.731875130E-1,-1.240740013E1,3.807619858E1,2.988999939E1
6.831875130E-1,-1.310279942E1,3.873500061E1,2.867000008E1
6.931875130E-1,-1.378599930E1,3.940599823E1,2.731579971E1
7.031875130E-1,-1.446920013E1,4.004039764E1,2.585179901E1
7.131875130E-1,-1.525000000E1,4.055279922E1,2.449759865E1
7.231875130E-1,-1.601860046E1,4.101639938E1,2.299699974E1
7.331875130E-1,-1.671399879E1,4.135799789E1,2.152079964E1
7.431875130E-1,-1.755579948E1,4.169960022E1,2.003240013E1
7.531875130E-1,-1.825119972E1,4.185820007E1,1.869039917E1
7.631875130E-1,-1.894659996E1,4.187039948E1,1.712879944E1
7.731875130E-1,-1.964200020E1,4.176060104E1,1.562819958E1
7.831875130E-1,-2.032519913E1,4.157759857E1,1.426179981E1
7.931875130E-1,-2.083759880E1,4.117499924E1,1.280999947E1
8.031875130E-1,-2.143540001E1,4.065039825E1,1.141919994E1
8.131875130E-1,-2.227719879E1,4.054059982E1,1.006499958E1
8.231875130E-1,-2.270419884E1,3.980859756E1,8.674200058E0
8.331875130E-1,-2.307019997E1,3.906439972E1,7.319999695E0
8.431875130E-1,-2.337520027E1,3.824699783E1,6.185400009E0
8.531875130E-1,-2.355819893E1,3.742959976E1,4.904399872E0
8.631875130E-1,-2.541259956E1,3.888140106E1,2.976799965E0
8.731875130E-1,-2.548579979E1,3.818600082E1,1.878799915E0
8.831875130E-1,-2.541259956E1,3.747840118E1,1.110199928E0
8.931875130E-1,-2.536380005E1,3.670980072E1,4.757999778E-1
9.031875130E-1,-2.530279922E1,3.602659988E1,-7.320000231E-2
9.131875130E-1,-2.511979866E1,3.529459763E1,-5.856000185E-1
9.231875130E-1,-2.496119881E1,3.474559784E1,-9.882000089E-1
9.331875130E-1,-2.485140038E1,3.412339783E1,-1.415199995E0
9.431875130E-1,-2.474160004E1,3.353779984E1,-1.768999934E0
9.531875130E-1,-2.483919907E1,3.306200027E1,-2.232599974E0
9.631875130E-1,-2.479039955E1,3.245199966E1,-2.732800007E0
9.731875130E-1,-2.481480026E1,3.189079857E1,-3.306200027E0
9.831875130E-1,-2.486359978E1,3.131739998E1,-3.586799860E0
9.931875130E-1,-2.504660034E1,3.082939911E1,-3.794199944E0
1.003187513E0,-2.518079948E1,3.026819992E1,-4.001599789E0
1.013187513E0,-2.532719994E1,2.985339928E1,-4.001599789E0
1.023187513E0,-2.544919968E1,2.937759972E1,-4.160200119E0
1.033187513E0,-2.555900002E1,2.904819870E1,-4.379799843E0
1.043187513E0,-2.577859879E1,2.874320030E1,-4.355400085E0
1.053187513E0,-2.604699898E1,2.854800034E1,-4.123600006E0
1.063187513E0,-2.635199928E1,2.849919891E1,-3.696599960E0
1.073187513E0,-2.659599876E1,2.852359962E1,-3.476999998E0
1.083187513E0,-2.690099907E1,2.851140022E1,-3.330600023E0
1.093187513E0,-2.719379997E1,2.853579903E1,-3.245199919E0
1.103187513E0,-2.748659897E1,2.860899925E1,-3.062199831E0
1.113187513E0,-2.781599998E1,2.862119865E1,-2.586400032E0
1.123187513E0,-2.808440018E1,2.863339996E1,-2.366800070E0
1.133187513E0,-2.823079872E1,2.856019974E1,-2.269199848E0
1.143187513E0,-2.830399895E1,2.845039940E1,-2.635200024E0
1.153187513E0,-2.842599869E1,2.824300003E1,-2.671799898E0
1.163187513E0,-2.853579903E1,2.813319969E1,-2.647399902E0
1.173187513E0,-2.865779877E1,2.797459984E1,-2.391200066E0
1.183187513E0,-2.881639862E1,2.785260010E1,-2.171599865E0
1.193187513E0,-2.892619896E1,2.781599998E1,-1.939799905E0
1.203187513E0,-2.906040001E1,2.771839905E1,-1.634799957E0
1.213187513E0,-2.918239975E1,2.773060036E1,-1.402999997E0
1.223187513E0,-2.926779938E1,2.769400024E1,-1.110199928E0
1.233187513E0,-2.934099960E1,2.774279976E1,-1.012599945E0
1.243187513E0,-2.937759972E1,2.776719856E1,-8.539999723E-1
1.253187513E0,-2.945079994E1,2.779159927E1,-7.685999870E-1
1.263187513E0,-2.951179886E1,2.781599998E1,-6.710000038E-1
1.273187513E0,-2.958499908E1,2.780379868E1,-7.197999954E-1
1.283187513E0,-2.962159920E1,2.785260010E1,-7.197999954E-1
1.293187513E0,-2.970699883E1,2.785260010E1,-7.563999891E-1
1.303187513E0,-2.974359894E1,2.776719856E1,-7.807999849E-1
1.313187513E0,-2.978019905E1,2.769400024E1,-6.466000080E-1
