"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.006344500E-2,2.467897415E0,-1.053230762E1,-2.673680305E0
3.258870500E-2,2.693121910E0,-1.063519955E1,-2.453241348E0
3.515625800E-2,2.858226538E0,-1.075035381E1,-2.206481695E0
3.767875800E-2,2.815155745E0,-1.088674450E1,-2.029412746E0
4.020407000E-2,2.666800737E0,-1.095374393E1,-1.837687731E0
4.272933000E-2,2.388934374E0,-1.099472141E1,-1.665105462E0
4.525464300E-2,2.106282234E0,-1.105932713E1,-1.476072431E0
4.777995500E-2,1.741974831E0,-1.109761238E1,-1.334596872E0
5.030521600E-2,1.423430324E0,-1.105693436E1,-1.222134113E0
5.283047600E-2,1.097707391E0,-1.106650543E1,-1.130907774E0
5.540412200E-2,7.887341380E-1,-1.108086300E1,-1.102193952E0
5.792953900E-2,4.651049078E-1,-1.102104187E1,-1.140479088E0
6.045495500E-2,4.845465720E-2,-1.096092224E1,-1.159621716E0
6.298032000E-2,-3.179463148E-1,-1.086520958E1,-1.231705427E0
6.298037200E-2,-6.272186637E-1,-1.072881889E1,-1.258026481E0
6.798370500E-2,-8.859425783E-1,-1.065673447E1,-1.289133191E0
7.049948700E-2,-1.096511006E0,-1.057777119E1,-1.336989641E0
7.299500800E-2,-1.252343535E0,-1.038365364E1,-1.622034669E0
7.552568500E-2,-1.448854089E0,-1.009860897E1,-2.105983019E0
7.809021600E-2,-1.633101463E0,-9.689137459E0,-2.690429926E0
8.060599700E-2,-1.625923038E0,-9.444769859E0,-3.241377354E0
8.320834100E-2,-1.489532113E0,-9.229117393E0,-3.739682674E0
8.572412200E-2,-1.304985642E0,-8.991928101E0,-4.163810730E0
8.823516400E-2,-1.120439172E0,-8.766703606E0,-4.544568539E0
9.071917400E-2,-8.330013752E-1,-8.584849358E0,-4.889433861E0
9.320266400E-2,-5.814558864E-1,-8.431409836E0,-5.193621635E0
9.586016400E-2,-3.972085714E-1,-8.258827209E0,-5.457130909E0
9.829500800E-2,-2.509472668E-1,-8.088936806E0,-5.591428280E0
1.008203200E-1,-1.408774406E-1,-7.856534004E0,-5.550750256E0
1.033455800E-1,-5.922235921E-2,-7.581060410E0,-5.342275620E0
1.058290700E-1,-5.443671346E-2,-7.291229725E0,-4.983053207E0
1.084024550E-1,-9.780662507E-2,-6.979863644E0,-4.625924587E0
1.109758410E-1,-2.437688112E-1,-6.668198586E0,-4.297808647E0
1.134467260E-1,-4.953143001E-1,-6.359225273E0,-4.065405846E0
1.159302160E-1,-7.348956466E-1,-6.100501537E0,-3.974478483E0
1.185655280E-1,-1.029511929E0,-5.921039581E0,-3.943371773E0
1.210226120E-1,-1.371984720E0,-5.803492069E0,-3.842574120E0
1.235478720E-1,-1.683649778E0,-5.796313763E0,-3.746861219E0
1.260731850E-1,-1.951945066E0,-5.781956673E0,-3.500101328E0
1.285984450E-1,-2.244168520E0,-5.781956673E0,-3.305983543E0
1.311237050E-1,-2.543570518E0,-5.777171135E0,-2.980260611E0
1.336490180E-1,-2.821436882E0,-5.803492069E0,-2.769393206E0
1.361742780E-1,-3.154338360E0,-5.858527184E0,-2.544467688E0
1.386995910E-1,-3.439383507E0,-5.865705490E0,-2.314457655E0
1.412249030E-1,-3.750749588E0,-5.933003902E0,-2.208874464E0
1.438665700E-1,-3.992723703E0,-6.040680885E0,-2.223231316E0
1.463918830E-1,-4.261018753E0,-6.186942101E0,-2.319243431E0
1.489171430E-1,-4.412065983E0,-6.364010811E0,-2.515454769E0
1.514424550E-1,-4.495814800E0,-6.603592396E0,-2.800798893E0
