time,seconds_elapsed,dBFS
1686424775338000000,0.030999755859375,-56.414939880371094
1686424775438000000,0.131000244140625,-58.2010498046875
1686424775539000000,0.232,-59.893524169921875
1686424775639000000,0.332,-61.77370071411133
1686424775739000000,0.432,-63.566768646240234
1686424775839000000,0.532,-61.14759826660156
1686424775956000000,0.649,-62.09351348876953
1686424776073000000,0.766,-62.89535140991211
1686424776189000000,0.882,-59.0086555480957
1686424776290000000,0.982999755859375,-50.35988235473633
1686424776389000000,1.082,-51.76310348510742
1686424776489000000,1.182,-54.12331008911133
1686424776606000000,1.299000244140625,-49.71977996826172
1686424776706000000,1.398999755859375,-50.703880310058594
1686424776806000000,1.499000244140625,-53.39390182495117
1686424777042000000,1.734999755859375,-46.83592224121094
1686424777042000000,1.734999755859375,-46.83592224121094
1686424777108000000,1.801,-48.52341079711914
1686424777208000000,1.901,-47.416683197021484
1686424777313000000,2.006,-49.3430290222168
1686424777417000000,2.11,-42.257469177246094
1686424777522000000,2.214999755859375,-32.494415283203125
1686424777625000000,2.318,-18.888092041015625
1686424777725000000,2.418,-9.825528144836426
1686424777830000000,2.523000244140625,-14.08642864227295
1686424777934000000,2.627000244140625,-18.792905807495117
1686424778039000000,2.732,-22.572397232055664
1686424778145000000,2.838,-21.733671188354492
1686424778247000000,2.94,-23.177148818969727
1686424778347000000,3.04,-25.587642669677734
1686424778449000000,3.142,-27.897127151489258
1686424778552000000,3.245,-30.560623168945312
1686424778658000000,3.350999755859375,-21.918903350830078
1686424778763000000,3.456,-12.618297576904297
1686424778863000000,3.556,-15.06400203704834
1686424778969000000,3.662,-19.195528030395508
1686424779071000000,3.764,-22.545669555664062
1686424779176000000,3.869,-26.138154983520508
1686424779280000000,3.973,-18.568933486938477
1686424779381000000,4.074,-14.900588035583496
1686424779486000000,4.179000244140625,-12.291945457458496
1686424779590000000,4.283000244140625,-17.088821411132812
1686424779693000000,4.386,-21.55449104309082
1686424779797000000,4.49,-24.906028747558594
1686424779897000000,4.59,-24.855236053466797
1686424779997000000,4.69,-25.842056274414062
1686424780097000000,4.79,-27.95516586303711
1686424780197000000,4.89,-30.655126571655273
1686424780296000000,4.989,-27.289134979248047
1686424780397000000,5.09,-29.076025009155273
1686424780497000000,5.19,-26.670940399169922
1686424780597000000,5.29,-12.184718132019043
1686424780697000000,5.39,-17.014188766479492
1686424780797000000,5.49,-20.603469848632812
1686424780897000000,5.59,-24.015438079833984
