time,seconds_elapsed,dBFS
1686428344691000000,0.039,-64.5410385131836
1686428344808000000,0.156,-66.23713684082031
1686428344908000000,0.256,-54.00218963623047
1686428345009000000,0.357,-56.87141799926758
1686428345125000000,0.473,-51.78361511230469
1686428345225000000,0.573,-47.35840606689453
1686428345325000000,0.673,-50.89112854003906
1686428345425000000,0.773,-47.93853759765625
1686428345525000000,0.873,-48.784610748291016
1686428345626000000,0.973999755859375,-50.45621109008789
1686428345726000000,1.074000244140625,-49.233551025390625
1686428345826000000,1.173999755859375,-39.134212493896484
1686428345942000000,1.290000244140625,-36.358829498291016
1686428346042000000,1.389999755859375,-36.97616195678711
1686428346142000000,1.490000244140625,-39.26683044433594
1686428346242000000,1.589999755859375,-42.375240325927734
1686428346342000000,1.690000244140625,-41.787837982177734
1686428346443000000,1.791,-43.46815490722656
1686428346543000000,1.891,-46.680355072021484
1686428346643000000,1.991,-43.35476303100586
1686428346759000000,2.107,-39.43315505981445
1686428346859000000,2.207,-41.88881301879883
1686428346959000000,2.307,-44.75130844116211
1686428347061000000,2.409,-46.45125961303711
1686428347176000000,2.524,-38.568668365478516
1686428347279000000,2.627,-34.88017272949219
1686428347376000000,2.724,-37.44686508178711
1686428347477000000,2.825,-33.274044036865234
1686428347577000000,2.925,-34.853641510009766
1686428347678000000,3.026000244140625,-20.459840774536133
1686428347793000000,3.141,-22.206199645996094
1686428347893000000,3.241,-24.590307235717773
1686428347993000000,3.341,-15.186741828918457
1686428348094000000,3.442000244140625,-19.872787475585938
1686428348195000000,3.543,-24.44999885559082
1686428348310000000,3.658000244140625,-28.536521911621094
1686428348410000000,3.757999755859375,-32.21664047241211
1686428348510000000,3.858000244140625,-29.9495906829834
1686428348611000000,3.959,-33.3100700378418
1686428348710000000,4.058000244140625,-33.58689880371094
1686428348811000000,4.159,-29.35855484008789
1686428348927000000,4.275,-32.62881088256836
1686428349027000000,4.375,-32.696739196777344
1686428349128000000,4.476,-35.32427215576172
1686428349228000000,4.576,-37.692787170410156
1686428349328000000,4.676,-7.284199237823486
1686428349444000000,4.792,-12.340216636657715
1686428349544000000,4.892,-16.836902618408203
1686428349644000000,4.992,-20.932239532470703
1686428349745000000,5.093,-24.35533905029297
1686428349845000000,5.193,-28.36284828186035
1686428349946000000,5.293999755859375,-31.675106048583984
1686428350061000000,5.409,-33.04146957397461
1686428350161000000,5.509,-24.970367431640625
1686428350261000000,5.609,-28.040102005004883
1686428350362000000,5.709999755859375,-32.290679931640625
1686428350462000000,5.810000244140625,-33.006229400634766
1686428350578000000,5.925999755859375,-35.110538482666016
1686428350678000000,6.026000244140625,-35.37862014770508
1686428350779000000,6.127,-36.74089813232422
1686428350878000000,6.226000244140625,-38.964195251464844
1686428350978000000,6.325999755859375,-37.996910095214844
1686428351079000000,6.427,-29.42251968383789
1686428351178000000,6.525999755859375,-27.611204147338867
1686428351278000000,6.626000244140625,-31.516159057617188
1686428351379000000,6.727,-34.08403015136719
1686428351478000000,6.826000244140625,-37.12416076660156
1686428351578000000,6.925999755859375,-35.86192321777344
1686428351679000000,7.027,-32.81880187988281
1686428351779000000,7.127,-35.16896057128906
1686428351879000000,7.227,-37.34043502807617
1686428351979000000,7.327,-39.505123138427734
1686428352079000000,7.427,-36.43290710449219
1686428352195000000,7.543,-31.904067993164062
1686428352296000000,7.644,-25.47624969482422
1686428352395000000,7.743,-29.247690200805664
1686428352496000000,7.844,-32.33265686035156
1686428352596000000,7.944,-35.49323654174805
1686428352695000000,8.043,-33.320274353027344
1686428352796000000,8.144,-27.105756759643555
1686428352896000000,8.244,-27.854501724243164
1686428352996000000,8.344,-30.53986358642578
1686428353096000000,8.444,-33.49435806274414
1686428353197000000,8.545,-35.784889221191406
1686428353312000000,8.66,-30.410947799682617
1686428353414000000,8.762000244140625,-19.268693923950195
