time,seconds_elapsed,dBFS
1686822470234000000,0.000999755859375,-160
1686822470531000000,0.298,-101
1686822470637000000,0.404,-97
1686822470746000000,0.512999755859375,-85
1686822470854000000,0.621000244140625,-81
1686822470962000000,0.728999755859375,-76
1686822471070000000,0.837000244140625,-71
1686822471177000000,0.944,-73
1686822471286000000,1.053000244140625,-77
1686822471393000000,1.16,-68
1686822471501000000,1.268,-74
1686822471610000000,1.376999755859375,-69
1686822471717000000,1.484,-66
1686822471826000000,1.592999755859375,-73
1686822471933000000,1.7,-63
1686822472049000000,1.816,-73
1686822472159000000,1.926,-73
1686822472266000000,2.032999755859375,-68
1686822472374000000,2.141000244140625,-65
1686822472482000000,2.248999755859375,-65
1686822472590000000,2.357000244140625,-64
1686822472698000000,2.464999755859375,-69
1686822472807000000,2.574,-65
1686822472914000000,2.680999755859375,-50
1686822473023000000,2.79,-54
1686822473131000000,2.898,-61
1686822473238000000,3.005000244140625,-67
1686822473347000000,3.114,-70
1686822473455000000,3.222,-68
1686822473563000000,3.33,-63
1686822473672000000,3.439,-63
1686822473779000000,3.546,-72
1686822473893000000,3.66,-69
1686822474004000000,3.771,-75
1686822474121000000,3.888,-72
1686822474237000000,4.004,-74
1686822474352000000,4.119,-77
1686822474470000000,4.237000244140625,-82
1686822474585000000,4.352,-75
1686822474701000000,4.468,-75
1686822474818000000,4.584999755859375,-78
1686822474934000000,4.701000244140625,-75
1686822475051000000,4.818,-61
1686822475166000000,4.933000244140625,-69
1686822475283000000,5.05,-68
1686822475399000000,5.166,-72
1686822475515000000,5.282,-70
1686822475632000000,5.399,-58
1686822475748000000,5.515,-64
1686822475865000000,5.632,-69
1686822475981000000,5.748,-77
1686822476097000000,5.864,-65
1686822476215000000,5.982,-66
1686822476330000000,6.096999755859375,-70
1686822476446000000,6.213000244140625,-68
1686822476563000000,6.33,-67
1686822476680000000,6.447,-65
1686822476795000000,6.562,-65
1686822476912000000,6.679,-66
1686822477030000000,6.797000244140625,-67
1686822477144000000,6.911,-53
1686822477261000000,7.028,-68
1686822477377000000,7.144,-65
1686822477493000000,7.26,-59
1686822477609000000,7.376,-65
1686822477725000000,7.492,-63
1686822477842000000,7.608999755859375,-58
1686822477959000000,7.726,-59
1686822478074000000,7.840999755859375,-62
1686822478190000000,7.957000244140625,-61
1686822478308000000,8.075,-54
1686822478425000000,8.192,-53
1686822478541000000,8.308,-55
1686822478658000000,8.424999755859375,-60
1686822478772000000,8.539,-57
1686822478889000000,8.656,-51
1686822479006000000,8.773000244140626,-56
1686822479123000000,8.89,-52
1686822479238000000,9.005000244140625,-51
1686822479354000000,9.120999755859375,-57
1686822479471000000,9.238,-53
1686822479587000000,9.354,-52
1686822479702000000,9.469000244140625,-48
1686822479821000000,9.588,-54
1686822479938000000,9.704999755859374,-48
1686822480054000000,9.821000244140626,-52
1686822480170000000,9.936999755859375,-48
1686822480284000000,10.051,-44
1686822480401000000,10.168,-48
1686822480518000000,10.285000244140624,-48
1686822480634000000,10.400999755859376,-46
1686822480750000000,10.517000244140625,-41
1686822480865000000,10.632,-45
1686822480983000000,10.75,-42
1686822481098000000,10.864999755859374,-48
1686822481216000000,10.983,-47
1686822481337000000,11.104,-42
1686822481447000000,11.214,-44
1686822481564000000,11.331,-42
1686822481680000000,11.447,-43
1686822481795000000,11.562,-39
1686822481911000000,11.678,-45
1686822482029000000,11.796,-41
1686822482146000000,11.912999755859374,-40
1686822482262000000,12.029000244140626,-38
1686822482379000000,12.146,-38
1686822482495000000,12.262,-40
1686822482612000000,12.379,-35
1686822482730000000,12.496999755859376,-38
1686822482844000000,12.611,-32
1686822482961000000,12.728,-36
1686822483076000000,12.843,-36
1686822483193000000,12.96,-29
1686822483310000000,13.077000244140624,-30
1686822483424000000,13.191,-39
1686822483542000000,13.309000244140625,-32
1686822483658000000,13.424999755859375,-33
1686822483774000000,13.541000244140625,-30
1686822483892000000,13.659,-27
1686822484006000000,13.773000244140626,-29
1686822484122000000,13.888999755859375,-27
1686822484240000000,14.007,-34
1686822484355000000,14.122,-32
1686822484473000000,14.24,-30
1686822484589000000,14.356,-29
1686822484704000000,14.471,-23
1686822484819000000,14.586,-25
1686822484936000000,14.703,-28
1686822485052000000,14.819,-25
1686822485169000000,14.936,-29
1686822485286000000,15.053000244140625,-23
1686822485402000000,15.168999755859375,-22
1686822485519000000,15.286,-23
1686822485635000000,15.402,-27
1686822485751000000,15.518,-24
1686822485867000000,15.634,-21
1686822485984000000,15.751,-21
1686822486099000000,15.866,-24
1686822486220000000,15.987,-21
1686822486334000000,16.101000244140625,-19
1686822486451000000,16.218,-22
1686822486567000000,16.334,-22
1686822486681000000,16.448,-29
1686822486799000000,16.566,-25
1686822486915000000,16.682,-29
1686822487034000000,16.800999755859376,-26
1686822487148000000,16.915,-28
1686822487265000000,17.032,-28
1686822487382000000,17.149000244140623,-31
1686822487497000000,17.264,-30
1686822487612000000,17.379,-20
1686822487730000000,17.496999755859374,-23
1686822487847000000,17.614,-19
1686822487961000000,17.728,-17
1686822488077000000,17.844,-13
1686822488195000000,17.962,-11
1686822488312000000,18.079,-13
1686822488427000000,18.194,-19
1686822488543000000,18.31,-24
1686822488659000000,18.426,-12
1686822488775000000,18.542,-11
1686822488892000000,18.659,-19
1686822489008000000,18.775,-20
1686822489125000000,18.892,-15
1686822489243000000,19.01,-16
1686822489357000000,19.124,-18
1686822489475000000,19.242,-18
1686822489591000000,19.358,-12
1686822489706000000,19.472999755859377,-13
1686822489823000000,19.59,-14
1686822489939000000,19.706,-18
1686822490057000000,19.824,-13
1686822490172000000,19.939,-17
1686822490289000000,20.056,-14
1686822490407000000,20.174,-13
1686822490524000000,20.291,-11
1686822490637000000,20.404,-16
1686822490753000000,20.52,-12
1686822490869000000,20.636,-16
1686822490987000000,20.754,-20
1686822491102000000,20.869000244140626,-13
1686822491220000000,20.987,-15
1686822491334000000,21.101000244140625,-12
1686822491451000000,21.218,-8
1686822491567000000,21.334,-13
1686822491686000000,21.453000244140625,-15
1686822491802000000,21.568999755859377,-11
1686822491917000000,21.684,-13
1686822492032000000,21.799,-15
1686822492149000000,21.916,-17
1686822492266000000,22.032999755859375,-14
1686822492382000000,22.149000244140623,-7
1686822492498000000,22.264999755859375,-12
1686822492614000000,22.381000244140626,-13
1686822492732000000,22.499,-10
1686822492848000000,22.615,-13
1686822492965000000,22.732,-13
1686822493082000000,22.848999755859374,-12
1686822493196000000,22.963,-16
1686822493312000000,23.079,-10
