time,seconds_elapsed,dBFS
1686851696444000000,0,-160
1686851696722000000,0.277999755859375,-115
1686851696830000000,0.386000244140625,-91
1686851696938000000,0.493999755859375,-81
1686851697046000000,0.602000244140625,-82
1686851697156000000,0.712,-62
1686851697262000000,0.818000244140625,-64
1686851697370000000,0.925999755859375,-75
1686851697479000000,1.035,-66
1686851697588000000,1.144,-62
1686851697696000000,1.252,-56
1686851697802000000,1.357999755859375,-63
1686851697911000000,1.467,-66
1686851698019000000,1.575,-66
1686851698127000000,1.683,-66
1686851698235000000,1.791,-70
1686851698343000000,1.899,-55
1686851698452000000,2.008,-61
1686851698559000000,2.115,-68
1686851698668000000,2.224,-73
1686851698776000000,2.332,-54
1686851698883000000,2.439,-51
1686851698992000000,2.548,-60
1686851699100000000,2.656,-41
1686851699207000000,2.763,-46
1686851699316000000,2.872,-47
1686851699424000000,2.98,-52
1686851699535000000,3.091,-61
1686851699640000000,3.196,-51
1686851699748000000,3.304,-42
1686851699857000000,3.413,-52
1686851699964000000,3.52,-58
1686851700074000000,3.629999755859375,-45
1686851700188000000,3.744,-43
1686851700305000000,3.861,-2
1686851700421000000,3.977,-18
1686851700538000000,4.093999755859375,-20
1686851700659000000,4.215,-15
1686851700770000000,4.325999755859375,-58
1686851700887000000,4.443,-49
1686851701003000000,4.559,-51
1686851701119000000,4.675,-49
1686851701236000000,4.792,-53
1686851701351000000,4.907,-52
1686851701468000000,5.024,-40
1686851701585000000,5.141,-47
1686851701701000000,5.257,-41
1686851701818000000,5.373999755859375,-45
1686851701934000000,5.490000244140625,-49
1686851702053000000,5.609,-39
1686851702167000000,5.723,-49
1686851702283000000,5.839,-2
1686851702401000000,5.957,-20
1686851702515000000,6.071,-46
1686851702632000000,6.188,-24
1686851702749000000,6.305,-38
1686851702865000000,6.421,-30
1686851702981000000,6.537,-32
1686851703097000000,6.653,-34
1686851703215000000,6.771,-36
1686851703331000000,6.887,-40
1686851703446000000,7.002000244140625,-40
1686851703566000000,7.122000244140625,-36
1686851703679000000,7.235,-52
1686851703799000000,7.355,-48
1686851703913000000,7.469,-41
1686851704029000000,7.585,-33
1686851704145000000,7.701,-41
1686851704261000000,7.817,-32
1686851704378000000,7.933999755859375,-37
1686851704495000000,8.051,-26
1686851704611000000,8.167,-27
1686851704727000000,8.283,-38
1686851704842000000,8.397999755859376,-33
1686851704959000000,8.515,-34
1686851705075000000,8.631,-20
1686851705192000000,8.748,-21
1686851705308000000,8.864,-27
1686851705425000000,8.981,-27
1686851705540000000,9.096,-36
1686851705656000000,9.212,-18
1686851705773000000,9.329,-27
1686851705889000000,9.445,-27
1686851706007000000,9.563,-23
1686851706126000000,9.682000244140625,-26
1686851706240000000,9.796,-26
1686851706355000000,9.911,-29
1686851706471000000,10.027,-31
1686851706590000000,10.146000244140625,-22
1686851706704000000,10.26,-20
1686851706820000000,10.376,-23
1686851706937000000,10.493,-23
1686851707053000000,10.609,-24
1686851707170000000,10.725999755859375,-16
1686851707287000000,10.843,-23
1686851707402000000,10.957999755859374,-27
1686851707519000000,11.075,-29
1686851707636000000,11.192,-32
1686851707752000000,11.308,-20
1686851707868000000,11.424,-25
1686851707984000000,11.54,-25
1686851708100000000,11.656,-19
1686851708218000000,11.773999755859375,-18
1686851708333000000,11.889,-15
1686851708450000000,12.005999755859374,-17
1686851708565000000,12.121,-23
1686851708681000000,12.237,-6
1686851708799000000,12.355,-18
1686851708915000000,12.471,-8
1686851709030000000,12.586000244140624,-22
1686851709149000000,12.705,-21
1686851709265000000,12.821,-20
1686851709380000000,12.936,-13
1686851709497000000,13.053,-15
1686851709613000000,13.169,-19
1686851709729000000,13.285,-21
1686851709847000000,13.403,-17
1686851709963000000,13.519,-18
1686851710078000000,13.634000244140625,-25
1686851710193000000,13.749,-22
1686851710310000000,13.866000244140626,-20
1686851710426000000,13.981999755859375,-17
1686851710543000000,14.099,-17
1686851710659000000,14.215,-13
1686851710777000000,14.333,-13
1686851710895000000,14.451,-22
1686851711008000000,14.564,-25
1686851711125000000,14.681,-17
1686851711243000000,14.799,-23
1686851711358000000,14.914000244140626,-22
1686851711476000000,15.032,-17
1686851711591000000,15.147,-19
1686851711707000000,15.263,-27
1686851711823000000,15.379,-21
1686851711939000000,15.495,-4
1686851712056000000,15.612,-4
1686851712171000000,15.727,-17
1686851712292000000,15.848,-27
1686851712407000000,15.963,-26
1686851712522000000,16.077999755859373,-22
1686851712639000000,16.195,-22
1686851712756000000,16.312,-12
1686851712871000000,16.427,-8
1686851712987000000,16.543,-18
1686851713103000000,16.659,-25
1686851713220000000,16.776,-19
1686851713336000000,16.892,-19
1686851713453000000,17.009,-27
1686851713574000000,17.130000244140625,-24
1686851713686000000,17.242000244140623,-25
1686851713802000000,17.357999755859375,-19
1686851713917000000,17.473,-21
1686851714038000000,17.594000244140624,-23
1686851714151000000,17.707,-18
1686851714268000000,17.824,-21
1686851714385000000,17.941,-22
1686851714500000000,18.056,-28
1686851714617000000,18.173,-21
1686851714732000000,18.288,-16
1686851714849000000,18.405,-11
1686851714965000000,18.521,-15
1686851715081000000,18.637,-15
1686851715198000000,18.754000244140624,-14
1686851715314000000,18.869999755859375,-20
1686851715430000000,18.986000244140627,-4
1686851715548000000,19.104,-2
1686851715664000000,19.22,-12
1686851715779000000,19.335,-24
1686851715900000000,19.456,-12
1686851716012000000,19.568,-12
1686851716128000000,19.684,-18
1686851716245000000,19.801,-16
1686851716362000000,19.917999755859373,-16
1686851716480000000,20.036,-16
1686851716596000000,20.152,-24
1686851716711000000,20.267,-17
1686851716829000000,20.385,-24
1686851716945000000,20.501,-20
1686851717060000000,20.616,-20
1686851717177000000,20.733,-27
1686851717293000000,20.849,-19
1686851717409000000,20.965,-22
1686851717528000000,21.084,-24
1686851717643000000,21.199,-19
1686851717759000000,21.315,-26
1686851717875000000,21.431,-17
1686851717992000000,21.548,-25
1686851718107000000,21.663,-26
1686851718224000000,21.78,-25
1686851718342000000,21.898000244140626,-19
1686851718461000000,22.017,-22
1686851718574000000,22.130000244140625,-23
1686851718690000000,22.245999755859376,-23
1686851718805000000,22.361,-17
1686851718922000000,22.477999755859376,-19
1686851719038000000,22.594000244140624,-20
1686851719154000000,22.709999755859375,-15
1686851719270000000,22.826000244140626,-22
1686851719386000000,22.941999755859374,-23
1686851719503000000,23.059,-16
1686851719620000000,23.176,-14
1686851719737000000,23.293,-23
1686851719855000000,23.411,-24
1686851719975000000,23.531,-24
1686851720085000000,23.641,-9
1686851720201000000,23.757,-21
1686851720318000000,23.874000244140625,-22
