"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.169601200E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.682700200E-2,-1.703023911E-3,-1.315021515E-2,1.826429367E-2
8.185314800E-2,-1.270699501E-2,-2.934789658E-2,4.799127579E-2
8.681976200E-2,2.038931847E-2,-3.162956238E-2,1.217579842E-1
9.197705400E-2,6.997609138E-2,-7.002639771E-2,2.220983505E-1
9.694538700E-2,8.186364174E-2,-4.378509521E-2,2.787508965E-1
1.020708040E-1,8.996212482E-2,-4.157638550E-2,2.885179520E-1
1.070455960E-1,2.697706223E-2,-4.281949997E-2,2.183704376E-1
1.121096060E-1,-1.207065582E-2,-7.112693787E-2,1.198906898E-1
1.171597620E-1,-8.287906647E-2,-1.428728104E-1,-1.053142548E-2
1.222098670E-1,-1.224614382E-1,-1.932401657E-1,-4.465866089E-2
1.272599710E-1,-1.034680605E-1,-1.346263885E-1,-9.770059586E-2
1.323100750E-1,-8.339607716E-2,-7.815790176E-2,-1.470408440E-1
1.373601790E-1,5.334973335E-3,-2.819538116E-2,-2.238121033E-1
1.424102830E-1,9.822571278E-2,-9.248256683E-3,-4.177026749E-1
1.474604400E-1,1.875936985E-1,-2.004051208E-2,-5.560917854E-1
1.525105440E-1,2.886224985E-1,1.263809204E-2,-7.069439888E-1
1.575606480E-1,2.908449173E-1,3.818750381E-2,-8.639163971E-1
1.626107520E-1,2.301225662E-1,5.852794647E-2,-9.062972069E-1
1.676609080E-1,1.932003498E-1,3.433561325E-2,-9.127297401E-1
1.727110120E-1,1.936213970E-1,3.259658813E-2,-8.630805016E-1
1.777611170E-1,1.493695974E-1,2.285289764E-2,-8.066086769E-1
1.828112210E-1,1.017776728E-1,2.011775970E-2,-7.749710083E-1
1.878613770E-1,1.082397699E-1,7.350826263E-2,-7.551493645E-1
1.929114810E-1,4.983520508E-2,8.563804626E-2,-6.429338455E-1
1.979615850E-1,-3.330767155E-2,1.503653526E-1,-5.873928070E-1
2.030116900E-1,-5.131101608E-2,1.851477623E-1,-5.155549049E-1
2.080617940E-1,-5.046057701E-2,1.910581589E-1,-4.599852562E-1
2.131119500E-1,-4.861474037E-3,1.629967690E-1,-3.640580177E-1
2.181620540E-1,4.221105576E-2,1.494231224E-1,-2.495365143E-1
2.232121580E-1,5.695343018E-2,8.582401276E-2,-3.985786438E-2
2.282622620E-1,2.183315754E-1,5.203771591E-2,1.886248589E-1
2.333123670E-1,2.853882313E-1,2.701568604E-2,3.850522041E-1
