"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.419728870E-1,-4.526199722E1,-4.348080063E1,-4.942219925E1
1.519728870E-1,-4.539619827E1,-4.346859741E1,-4.914159775E1
1.619728870E-1,-4.561579895E1,-4.352959824E1,-4.923920059E1
1.719728870E-1,-4.568899918E1,-4.348080063E1,-4.903179932E1
1.819728870E-1,-4.579879761E1,-4.355400085E1,-4.894639969E1
1.919728870E-1,-4.589640045E1,-4.361499786E1,-4.895859909E1
2.019728870E-1,-4.604280090E1,-4.366379929E1,-4.898299789E1
2.119728870E-1,-4.612820053E1,-4.368819809E1,-4.901959991E1
2.219728870E-1,-4.631119919E1,-4.372480011E1,-4.905619812E1
2.319728870E-1,-4.648199844E1,-4.377359772E1,-4.920259857E1
2.419728870E-1,-4.670159912E1,-4.381019974E1,-4.916600037E1
2.519728870E-1,-4.699440002E1,-4.383459854E1,-4.932460022E1
2.619728870E-1,-4.722620010E1,-4.376139832E1,-4.945879745E1
2.719728870E-1,-4.750679779E1,-4.371260071E1,-4.939780045E1
2.819728870E-1,-4.772639847E1,-4.362719727E1,-4.930019760E1
2.919728870E-1,-4.804359818E1,-4.359059906E1,-4.917819977E1
3.019728870E-1,-4.832419968E1,-4.357839966E1,-4.904399872E1
3.119728870E-1,-4.861700058E1,-4.352959824E1,-4.877560043E1
3.219728870E-1,-4.889759827E1,-4.346859741E1,-4.861700058E1
3.319728870E-1,-4.909280014E1,-4.343199921E1,-4.837299728E1
3.419728870E-1,-4.939780045E1,-4.343199921E1,-4.808020020E1
3.519728870E-1,-4.966619873E1,-4.339540100E1,-4.790940094E1
3.619728870E-1,-4.994680023E1,-4.343199921E1,-4.777519989E1
3.719728870E-1,-5.032500076E1,-4.343199921E1,-4.742139816E1
3.819728870E-1,-5.081299973E1,-4.346859741E1,-4.695779800E1
3.919728870E-1,-5.133760071E1,-4.357839966E1,-4.646979904E1
4.019728870E-1,-5.187439728E1,-4.366379929E1,-4.584759903E1
4.119728870E-1,-5.243560028E1,-4.384679794E1,-4.518880081E1
4.219728870E-1,-5.306999969E1,-4.412739944E1,-4.421279907E1
4.319728870E-1,-5.380199814E1,-4.440800095E1,-4.309040070E1
4.419728870E-1,-5.449739838E1,-4.470079803E1,-4.174839783E1
4.519728870E-1,-5.515620041E1,-4.503020096E1,-4.057719803E1
4.619728870E-1,-5.575399780E1,-4.535960007E1,-3.929619980E1
4.719728870E-1,-5.626639938E1,-4.575000000E1,-3.800299835E1
4.819728870E-1,-5.672999954E1,-4.611599731E1,-3.668539810E1
4.919728870E-1,-5.734000015E1,-4.639659882E1,-3.535559845E1
5.019728870E-1,-5.774259949E1,-4.661619949E1,-3.418439865E1
5.119728870E-1,-5.810860062E1,-4.686019897E1,-3.319619751E1
5.219728870E-1,-5.851119995E1,-4.703099823E1,-3.230559921E1
5.319728870E-1,-5.887719727E1,-4.721400070E1,-3.128079987E1
5.419728870E-1,-5.918219757E1,-4.733599854E1,-3.054879951E1
5.519728870E-1,-5.949939728E1,-4.740919876E1,-2.997539902E1
5.619728870E-1,-5.973119736E1,-4.759219742E1,-2.946299934E1
5.719728870E-1,-5.980439758E1,-4.778739929E1,-2.908479881E1
5.819728870E-1,-5.991419983E1,-4.799480057E1,-2.884079933E1
5.919728870E-1,-5.986539841E1,-4.821439743E1,-2.868219948E1
6.019728870E-1,-5.975559998E1,-4.853160095E1,-2.864559937E1
6.119728870E-1,-5.960919952E1,-4.887319946E1,-2.865779877E1
6.219728870E-1,-5.957259750E1,-4.926359940E1,-2.849919891E1
6.319728870E-1,-5.951160049E1,-4.970280075E1,-2.805999947E1
6.419728870E-1,-5.943840027E1,-5.010540009E1,-2.764519882E1
6.519728870E-1,-5.943840027E1,-5.053239822E1,-2.709619904E1
6.619728870E-1,-5.942619705E1,-5.095940018E1,-2.651059914E1
6.719728870E-1,-5.958480072E1,-5.136199951E1,-2.566880035E1
6.819728870E-1,-5.974340057E1,-5.176459885E1,-2.447319984E1
6.919728870E-1,-5.991419983E1,-5.211840057E1,-2.328979874E1
7.019728870E-1,-5.998740005E1,-5.247219849E1,-2.208199883E1
7.119728870E-1,-6.012159729E1,-5.278939819E1,-2.097179985E1
7.219728870E-1,-6.030459976E1,-5.302119827E1,-1.987380028E1
7.319728870E-1,-6.054859924E1,-5.326519775E1,-1.880019951E1
7.419728870E-1,-6.080479813E1,-5.358239746E1,-1.792179871E1
7.519728870E-1,-6.098780060E1,-5.377759933E1,-1.711660004E1
7.619728870E-1,-6.113419724E1,-5.394839859E1,-1.650659943E1
7.719728870E-1,-6.131719971E1,-5.399720001E1,-1.584779930E1
7.819728870E-1,-5.879179764E1,-5.341159821E1,-1.562819958E1
7.919728870E-1,-5.904800034E1,-5.337500000E1,-1.496939945E1
8.019728870E-1,-5.930419922E1,-5.330179977E1,-1.422519970E1
8.119728870E-1,-5.945059967E1,-5.324079895E1,-1.362739944E1
8.219728870E-1,-5.962139893E1,-5.309439850E1,-1.290759945E1
8.319728870E-1,-5.970679855E1,-5.302119827E1,-1.237080002E1
8.419728870E-1,-5.984099960E1,-5.302119827E1,-1.195599937E1
8.519728870E-1,-5.987759781E1,-5.309439850E1,-1.133379936E1
8.619728870E-1,-5.995079803E1,-5.319199753E1,-1.052859974E1
8.719728870E-1,-5.995079803E1,-5.330179977E1,-9.674599648E0
8.819728870E-1,-5.996299744E1,-5.349699783E1,-8.674200058E0
8.919728870E-1,-5.991419983E1,-5.368000031E1,-7.088200092E0
9.019728870E-1,-5.982880020E1,-5.376539993E1,-5.209399700E0
9.119728870E-1,-5.971899796E1,-5.383860016E1,-3.049999952E0
9.219728870E-1,-5.963359833E1,-5.387519836E1,-9.027999640E-1
9.319728870E-1,-5.954819870E1,-5.387519836E1,1.463999987E0
9.419728870E-1,-5.935300064E1,-5.377759933E1,3.879599810E0
9.519728870E-1,-5.914559937E1,-5.357019806E1,6.661200047E0
9.619728870E-1,-5.885279846E1,-5.326519775E1,9.772199631E0
9.719728870E-1,-5.843799973E1,-5.277719879E1,1.315159988E1
9.819728870E-1,-5.751079941E1,-5.177679825E1,1.760459900E1
9.919728870E-1,-5.820619965E1,-5.253319931E1,2.425359917E1
1.001972887E0,-5.688859940E1,-5.086179733E1,2.960939980E1
1.011972887E0,-5.536359787E1,-4.884880066E1,3.491640091E1
1.021972887E0,-5.337500000E1,-4.612820053E1,4.071139908E1
1.031972887E0,-5.122779846E1,-4.309040070E1,4.626239777E1
1.041972887E0,-4.884880066E1,-3.980859756E1,5.159379959E1
1.051972887E0,-4.645759964E1,-3.639260101E1,5.629079819E1
1.061972887E0,-4.451779938E1,-3.307419968E1,5.985319901E1
1.071972887E0,-4.280979919E1,-2.974359894E1,6.285440063E1
1.081972887E0,-4.150439835E1,-2.662039948E1,6.525779724E1
1.091972887E0,-4.054059982E1,-2.364360046E1,6.716099548E1
1.101972887E0,-4.025999832E1,-2.100839996E1,6.814920044E1
1.111972887E0,-4.010139847E1,-1.853179932E1,6.891780090E1
1.121972887E0,-4.000379944E1,-1.610400009E1,6.949119568E1
1.131972887E0,-3.977199936E1,-1.357859993E1,7.007679749E1
1.141972887E0,-3.919860077E1,-1.126060009E1,7.068679810E1
1.151972887E0,-3.758819962E1,-8.479000092E0,7.180919647E1
1.161972887E0,-3.511159897E1,-5.477799892E0,7.315119934E1
1.171972887E0,-3.185419846E1,-2.647399902E0,7.468840027E1
1.181972887E0,-2.829179955E1,-3.416000009E-1,7.643299866E1
