time,seconds_elapsed,dBFS
1686333121326000000,2.44140625e-7,-160
1686333121652000000,0.326,-155
1686333121759000000,0.433,-144
1686333121867000000,0.541,-136
1686333121975000000,0.649,-142
1686333122085000000,0.759,-141
1686333122191000000,0.865,-151
1686333122299000000,0.973,-161
1686333122407000000,1.081,-146
1686333122515000000,1.189,-147
1686333122624000000,1.298,-152
1686333122732000000,1.406,-152
1686333122838000000,1.512000244140625,-159
1686333122950000000,1.624000244140625,-153
1686333123054000000,1.728000244140625,-161
1686333123162000000,1.835999755859375,-158
1686333123273000000,1.947,-155
1686333123378000000,2.051999755859375,-150
1686333123487000000,2.161,-147
1686333123594000000,2.267999755859375,-163
1686333123702000000,2.376000244140625,-161
1686333123811000000,2.485,-158
1686333123918000000,2.592000244140625,-152
1686333124026000000,2.699999755859375,-159
1686333124134000000,2.808000244140625,-156
1686333124242000000,2.915999755859375,-159
1686333124350000000,3.024000244140625,-163
1686333124458000000,3.131999755859375,-163
1686333124566000000,3.240000244140625,-161
1686333124674000000,3.347999755859375,-159
1686333124782000000,3.456000244140625,-166
1686333124890000000,3.563999755859375,-156
1686333124998000000,3.672000244140625,-156
1686333125106000000,3.779999755859375,-166
1686333125221000000,3.895,-161
1686333125337000000,4.011,-161
1686333125454000000,4.128000244140625,-161
1686333125570000000,4.243999755859375,-166
1686333125686000000,4.360000244140625,-163
1686333125803000000,4.477,-163
1686333125919000000,4.593,-159
1686333126035000000,4.709,-153
1686333126156000000,4.83,-159
1686333126267000000,4.941,-158
1686333126383000000,5.057,-153
1686333126501000000,5.175,-158
1686333126617000000,5.291,-158
1686333126744000000,5.418,-151
1686333126851000000,5.525,-153
1686333126966000000,5.640000244140625,-158
1686333127082000000,5.755999755859375,-155
1686333127198000000,5.872000244140625,-159
1686333127317000000,5.991,-139
1686333127431000000,6.105,-121
1686333127549000000,6.223,-161
1686333127663000000,6.337,-169
1686333127782000000,6.456000244140625,-158
1686333127898000000,6.571999755859375,-158
1686333128013000000,6.687,-158
1686333128130000000,6.803999755859375,-152
1686333128246000000,6.920000244140625,-139
1686333128362000000,7.035999755859375,-141
1686333128478000000,7.152000244140625,-163
1686333128595000000,7.269,-156
1686333128711000000,7.385,-159
1686333128827000000,7.501,-151
1686333128944000000,7.618,-138
1686333129060000000,7.734,-161
1686333129174000000,7.848000244140625,-145
1686333129294000000,7.968000244140625,-149
1686333129407000000,8.081,-159
1686333129522000000,8.195999755859376,-158
1686333129650000000,8.323999755859376,-163
1686333129756000000,8.43,-142
1686333129872000000,8.546,-138
1686333129989000000,8.663,-166
1686333130105000000,8.779,-159
1686333130225000000,8.899,-153
1686333130338000000,9.011999755859375,-155
1686333130455000000,9.129,-158
1686333130571000000,9.245,-161
1686333130685000000,9.359,-166
