time,seconds_elapsed,dBFS
1687271831831000000,0.029,-57.294925689697266
1687271831931000000,0.129,-59.16358947753906
1687271832031000000,0.229,-57.43363571166992
1687271832131000000,0.329,-56.35116958618164
1687271832231000000,0.429,-58.21039962768555
1687271832332000000,0.53,-54.4743537902832
1687271832434000000,0.631999755859375,-54.34800338745117
1687271832533000000,0.731,-51.5745735168457
1687271832634000000,0.831999755859375,-52.81599807739258
1687271832734000000,0.932000244140625,-48.44974136352539
1687271832834000000,1.031999755859375,-50.780517578125
1687271832935000000,1.133,-50.88816833496094
1687271833036000000,1.234,-49.495235443115234
1687271833136000000,1.334,-44.35137939453125
1687271833237000000,1.435,-46.466434478759766
1687271833338000000,1.535999755859375,-47.718994140625
1687271833439000000,1.637,-42.891693115234375
1687271833564000000,1.762,-43.81386184692383
1687271833640000000,1.838,-45.64881896972656
1687271833740000000,1.938,-43.000911712646484
1687271833840000000,2.038,-44.818965911865234
1687271833946000000,2.143999755859375,-46.192447662353516
1687271834051000000,2.249,-43.00396728515625
1687271834153000000,2.351,-44.83919906616211
1687271834257000000,2.455,-45.03605651855469
1687271834360000000,2.558,-42.248291015625
1687271834460000000,2.658,-40.78209686279297
1687271834560000000,2.758,-42.37171936035156
1687271834660000000,2.858,-43.93871307373047
1687271834760000000,2.958,-41.335079193115234
1687271834860000000,3.058,-43.13037109375
1687271834960000000,3.158,-43.094764709472656
1687271835060000000,3.258,-44.57851028442383
1687271835160000000,3.358,-44.69959259033203
1687271835260000000,3.458,-40.339683532714844
1687271835360000000,3.558,-42.03184127807617
1687271835460000000,3.658,-40.3989372253418
1687271835560000000,3.758,-42.435089111328125
1687271835661000000,3.859,-39.84698486328125
1687271835761000000,3.959,-41.43183517456055
1687271835860000000,4.058,-39.911502838134766
1687271835960000000,4.158,-41.49257278442383
1687271836060000000,4.258,-38.69881820678711
1687271836160000000,4.358,-40.72311782836914
1687271836262000000,4.460000244140625,-42.993751525878906
1687271836367000000,4.565,-40.95721435546875
1687271836468000000,4.666,-42.78139877319336
1687271836570000000,4.767999755859375,-36.675140380859375
1687271836674000000,4.871999755859375,-38.45500564575195
1687271836778000000,4.975999755859375,-40.10529708862305
1687271836887000000,5.085,-41.042213439941406
1687271836983000000,5.181,-42.47697448730469
1687271837085000000,5.283,-42.11506652832031
1687271837190000000,5.388000244140625,-44.36198425292969
1687271837294000000,5.492000244140625,-43.11362838745117
1687271837394000000,5.591999755859375,-44.53891372680664
1687271837494000000,5.692000244140625,-38.39436721801758
1687271837595000000,5.793,-40.47698211669922
1687271837700000000,5.898,-40.78034973144531
1687271837805000000,6.003,-36.23038101196289
1687271837909000000,6.107,-38.288021087646484
1687271838013000000,6.211,-36.022579193115234
