time,seconds_elapsed,dBFS
1686445309270000000,0.060000244140625,-47.26736831665039
1686445309370000000,0.159999755859375,-34.165462493896484
1686445309471000000,0.261,-36.8787956237793
1686445309587000000,0.377,-38.43183135986328
1686445309687000000,0.477,-40.86469268798828
1686445309787000000,0.577,-38.57799530029297
1686445309887000000,0.677,-35.32658386230469
1686445309987000000,0.777,-36.6079216003418
1686445310087000000,0.877,-39.361541748046875
1686445310187000000,0.977,-38.853458404541016
1686445310287000000,1.077,-41.035400390625
1686445310387000000,1.177,-33.36653518676758
1686445310487000000,1.277,-35.846702575683594
1686445310587000000,1.377,-37.72138214111328
1686445310687000000,1.477,-38.83631134033203
1686445310787000000,1.577,-38.217079162597656
1686445310887000000,1.677,-38.0013427734375
1686445310987000000,1.777,-38.04357147216797
1686445311087000000,1.877,-39.86211013793945
1686445311187000000,1.977,-34.58522033691406
1686445311287000000,2.077,-37.574283599853516
1686445311387000000,2.177,-40.25263214111328
1686445311487000000,2.277,-36.57063293457031
1686445311587000000,2.377,-38.56324768066406
1686445311687000000,2.477,-37.98698043823242
1686445311787000000,2.577,-40.1308708190918
1686445311887000000,2.677,-39.62836837768555
1686445311987000000,2.777,-35.99405288696289
1686445312087000000,2.877,-37.9928092956543
1686445312187000000,2.977,-40.43549728393555
1686445312287000000,3.077,-42.34129333496094
1686445312387000000,3.177,-35.74921417236328
1686445312487000000,3.277,-39.10519027709961
1686445312587000000,3.377,-35.13653564453125
1686445312687000000,3.477,-38.5467414855957
1686445312805000000,3.595,-39.405052185058594
1686445312904000000,3.694,-41.29705047607422
1686445313006000000,3.796000244140625,-37.180198669433594
1686445313104000000,3.894,-39.83411407470703
1686445313204000000,3.994,-41.40694808959961
1686445313304000000,4.094,-42.513736724853516
1686445313404000000,4.194,-37.09828186035156
1686445313504000000,4.294,-39.30164337158203
1686445313604000000,4.394,-42.00493621826172
1686445313704000000,4.494,-43.493412017822266
1686445313804000000,4.594,-38.84771728515625
1686445313904000000,4.694,-40.600555419921875
1686445314004000000,4.794,-42.93352127075195
1686445314104000000,4.894,-33.03689956665039
1686445314221000000,5.011,-36.117557525634766
1686445314320000000,5.11,-38.03471374511719
1686445314420000000,5.21,-41.32618713378906
1686445314520000000,5.31,-43.67506790161133
1686445314620000000,5.41,-36.417049407958984
1686445314720000000,5.51,-38.73651123046875
1686445314820000000,5.61,-40.50874710083008
1686445314920000000,5.71,-38.99614715576172
1686445315020000000,5.81,-34.589759826660156
1686445315120000000,5.91,-37.95900344848633
1686445315221000000,6.011,-32.47395706176758
1686445315321000000,6.111,-32.329715728759766
1686445315437000000,6.227,-35.12799072265625
1686445315537000000,6.327,-37.054874420166016
1686445315637000000,6.427,-40.03932189941406
1686445315737000000,6.527,-42.263092041015625
1686445315837000000,6.627,-43.448455810546875
1686445315937000000,6.727,-38.691898345947266
1686445316037000000,6.827,-35.947540283203125
1686445316137000000,6.927,-38.1422233581543
1686445316237000000,7.027,-39.62285232543945
1686445316337000000,7.127,-41.90032958984375
1686445316437000000,7.227,-38.50804901123047
1686445316553000000,7.343,-33.63517761230469
1686445316653000000,7.443,-36.84025573730469
1686445316753000000,7.543,-37.51985168457031
1686445316853000000,7.643,-35.70962142944336
1686445316953000000,7.743,-38.2677001953125
1686445317053000000,7.843,-35.68690872192383
1686445317153000000,7.943,-36.1181526184082
1686445317254000000,8.044000244140625,-38.796844482421875
1686445317354000000,8.143999755859374,-40.74623107910156
1686445317454000000,8.244000244140626,-38.465126037597656
1686445317554000000,8.343999755859375,-39.9271125793457
1686445317655000000,8.445,-41.172367095947266
1686445317770000000,8.559999755859375,-41.62976837158203
1686445317870000000,8.660000244140624,-40.98179244995117
1686445317970000000,8.759999755859376,-43.296443939208984
1686445318070000000,8.860000244140625,-41.87666320800781
1686445318170000000,8.959999755859375,-37.85487365722656
1686445318270000000,9.060000244140625,-40.04113006591797
1686445318370000000,9.159999755859374,-39.011512756347656
1686445318470000000,9.260000244140626,-41.717620849609375
1686445318570000000,9.359999755859375,-38.603370666503906
1686445318686000000,9.476000244140625,-39.46891784667969
1686445318786000000,9.575999755859375,-40.86814880371094
1686445318886000000,9.676000244140624,-43.21793746948242
1686445318986000000,9.775999755859376,-39.94351577758789
1686445319086000000,9.876000244140625,-41.953697204589844
