"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.073249983E-3,-1.081560883E1,-4.605472870E0,-2.458038483E0
7.870750007E-3,-9.215885468E0,-3.053350525E0,-3.700454865E0
1.781475000E-2,-6.736291809E0,-1.217118988E0,-5.115462341E0
2.775975000E-2,-3.626808014E0,2.417472839E-1,-4.146527252E0
3.770375001E-2,-2.245330811E-3,1.097966766E0,-1.399739227E0
4.764775001E-2,3.541186066E0,1.684896240E0,-6.116281128E-1
5.759175000E-2,5.967789917E0,1.491797791E0,-6.962022400E-1
6.753658334E-2,4.436025238E0,-2.583627319E-1,-3.460803223E0
7.748058334E-2,-2.691403198E0,-7.633076935E0,-5.651946716E0
8.742458335E-2,-4.737049255E0,-1.732078125E1,4.156406708E0
9.736858335E-2,-3.492986298E0,-2.300356384E1,8.271199951E0
1.073135833E-1,-2.287992096E0,-3.241209869E1,5.327421570E0
1.172575833E-1,-1.434017944E-1,-4.014980804E1,4.303550720E0
1.272015834E-1,-6.521937561E-1,-4.224799484E1,6.949747925E0
1.371455833E-1,-2.611469421E0,-3.915437805E1,6.337521057E0
1.470905833E-1,-5.430706787E0,-2.979299515E1,4.637955322E0
1.570345833E-1,-7.311246185E0,-2.303380096E1,1.634600830E0
1.669785834E-1,-4.960983582E0,-1.894415543E1,-6.180647278E-1
1.769225833E-1,-1.138382721E0,-1.635124741E1,-1.186133423E0
1.868675833E-1,3.516188049E-1,-1.386012772E1,-1.241667938E0
1.968115833E-1,-7.464976501E-1,-1.080243622E1,-1.778451691E0
2.067555833E-1,-2.593057709E0,-8.097411346E0,-2.307601318E0
2.166995833E-1,-4.345762939E0,-6.080655212E0,-2.560874634E0
2.266445833E-1,-4.907694397E0,-4.478087769E0,-1.978735199E0
2.365885834E-1,-3.901786194E0,-3.313509521E0,-2.317181396E-1
2.465325833E-1,-1.693877563E0,-1.984423370E0,2.294578400E0
2.564765833E-1,1.171912994E0,-1.956431580E-1,3.993695068E0
2.664205833E-1,3.647614746E0,1.793270874E0,4.034410400E0
2.763655834E-1,5.219795380E0,3.749852142E0,4.003873901E0
2.863095833E-1,5.838009796E0,5.573210449E0,4.221820679E0
2.962535833E-1,6.284381561E0,7.050488434E0,4.186494141E0
3.061975834E-1,7.049141235E0,7.858358459E0,3.077450409E0
3.161425834E-1,6.814579010E0,8.441396027E0,1.502126312E0
3.260865833E-1,5.333409119E0,8.399483185E0,1.513502655E0
3.360305833E-1,3.394640808E0,7.176226959E0,2.868335266E0
3.459745834E-1,1.628313904E0,4.805457001E0,4.291276245E0
3.559195834E-1,1.615141296E-1,2.272574158E0,4.135749664E0
3.658635833E-1,9.755213928E-1,6.511459351E-2,6.475534058E-1
3.758075833E-1,3.441493378E0,-1.572779388E0,-7.165898438E0
3.857515834E-1,3.809727631E0,-3.039279785E0,-2.137869278E1
3.956965833E-1,5.746849365E0,-1.221594681E1,-1.265318756E1
4.056405833E-1,3.756588135E0,-2.155727142E1,1.772524017E1
4.155845833E-1,-7.783813477E-2,-2.782593567E1,2.237981094E1
4.255285833E-1,2.260299683E-2,-3.540317871E1,1.631172958E1
4.354735833E-1,2.209704895E0,-3.770060120E1,7.004533997E0
4.454175833E-1,2.450404358E0,-3.069127716E1,-4.795427856E0
4.553615833E-1,2.432441711E0,-1.999811371E1,-2.047442322E0
4.653055833E-1,3.554807739E0,-1.477203140E1,4.080065460E0
4.752505833E-1,2.883304138E0,-1.238614288E1,6.821913757E0
4.851945833E-1,8.896000671E-1,-1.138712036E1,1.068687653E1
4.951385834E-1,-3.972738647E0,-1.163814835E1,1.461336136E1
5.050825833E-1,-1.080153809E1,-1.384680542E1,1.612162491E1
5.150275833E-1,-1.474149490E1,-1.548829193E1,1.202374649E1
5.249715833E-1,-1.516601212E1,-1.686782318E1,4.624333649E0
5.349155834E-1,-1.391850632E1,-1.944830704E1,-3.885619812E0
5.448595833E-1,-1.290077271E1,-2.256752060E1,-1.738514740E1
5.548035833E-1,-7.698939972E0,-2.276735504E1,-1.149938690E1
5.647485833E-1,-1.861079865E0,-1.910372360E1,-3.221750336E0
5.746925834E-1,1.130149841E0,-1.569800583E1,5.032534790E-1
5.846365833E-1,-5.301974487E-1,-1.334699478E1,2.502795410E-1
5.945805833E-1,-5.748645630E0,-1.100167191E1,-6.447093201E-1
6.045255833E-1,-9.420959015E0,-8.251740417E0,2.874023438E-1
6.144695834E-1,-1.183349213E1,-5.187612305E0,9.442364502E-1
6.244135833E-1,-1.385234390E1,-1.433419189E0,-2.598596191E-1
6.343575833E-1,-1.486783218E1,2.363285522E0,-3.006497955E0
6.443025833E-1,-1.424632462E1,4.695286102E0,-5.979166260E0
6.542465833E-1,-1.157602753E1,5.510640564E0,-5.813760223E0
6.641905833E-1,-6.951394501E0,5.736221466E0,-4.331392822E0
6.741345833E-1,-1.502276001E0,5.347030792E0,-2.431393890E0
6.840795834E-1,2.962339783E0,4.566703491E0,-4.813989258E-1
6.940235833E-1,4.989574127E0,3.018922119E0,1.223555603E0
7.039675833E-1,3.588188324E0,6.821315002E-1,1.668131104E0
7.139115834E-1,2.327659607E-1,-1.535955963E0,1.032253418E0
7.238565834E-1,-2.320923615E0,-2.999612274E0,-4.215982819E0
7.338005833E-1,-8.591384125E0,-7.541766815E0,-6.427933044E0
7.437445833E-1,-1.153665939E1,-1.733515137E1,1.054886353E1
7.536885834E-1,-1.126377686E1,-2.565110825E1,1.382285522E1
7.636335834E-1,-1.428868652E1,-4.331782013E1,4.529281311E0
7.735775833E-1,-1.367196899E1,-5.646048981E1,5.623805237E0
7.835215833E-1,-9.596394196E0,-5.784840363E1,1.051862640E1
7.934655834E-1,-4.517904968E0,-5.051335693E1,5.537584534E0
