"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.159975000E-2,-1.568689585E0,-1.518523335E0,4.119780064E0
2.154375002E-2,-2.125062704E0,-1.942898870E0,4.362776279E0
3.148875001E-2,-2.405960083E0,-1.689700484E0,4.389118671E0
4.143275000E-2,-2.473246574E0,-1.103599429E0,4.125025749E0
5.137675002E-2,-2.470287800E0,-4.240027070E-1,3.661192179E0
6.132075001E-2,-2.602980852E0,5.937714577E-1,3.402684450E0
7.126558333E-2,-2.828012466E0,2.185322046E0,3.973209620E0
8.120958335E-2,-2.364157438E0,3.907094002E0,4.543359756E0
9.115358334E-2,-2.072614908E0,2.853089094E0,4.907214165E0
1.010975833E-1,-1.884528279E0,-4.292338341E-2,5.058502674E0
1.110425833E-1,-1.812098503E0,-2.715474367E0,4.746761322E0
1.209865834E-1,-1.597644091E0,-3.401662350E0,4.279435635E0
1.309305833E-1,-1.686812520E0,-2.821808815E0,4.052603245E0
1.408745833E-1,-1.925152063E0,-2.206066132E0,4.218015194E0
1.508195833E-1,-2.179229021E0,-1.950087547E0,4.699356556E0
1.607635833E-1,-2.206161737E0,-1.641462088E0,4.958530903E0
1.707075833E-1,-1.826650381E0,-1.068141222E0,4.681218147E0
1.806515833E-1,-1.150014162E0,-4.080272019E-1,4.043586731E0
1.905965833E-1,-4.340388477E-1,1.305195987E-1,3.254167080E0
2.005405833E-1,9.587771446E-2,5.082724690E-1,2.453665972E0
2.104845833E-1,4.211699367E-1,7.822020054E-1,1.795753837E0
2.204285833E-1,6.164800525E-1,1.008497238E0,1.216821551E0
2.303735834E-1,7.135936022E-1,1.195707440E0,6.094646454E-1
2.403175833E-1,7.974458933E-1,1.363764882E0,-8.099713176E-2
2.502615833E-1,9.436094761E-1,1.352610588E0,-8.216521740E-1
2.602055834E-1,1.053542137E0,1.110735416E0,-1.456593394E0
2.701495833E-1,1.134398699E0,7.742952704E-1,-1.998944402E0
2.800945833E-1,1.244060278E0,3.253512681E-1,-2.497242928E0
2.900385833E-1,1.381185532E0,-4.605022818E-2,-2.927586794E0
2.999825834E-1,1.392313838E0,-2.598165572E-1,-3.347617865E0
3.099265833E-1,1.162583947E0,-3.145426512E-1,-3.656438828E0
3.198715833E-1,8.016676307E-1,-1.820157468E-1,-3.713076115E0
