"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.159975000E-2,-1.170472825E1,5.826458622E0,-7.045713598E0
2.154375002E-2,-8.901239192E0,7.821680045E0,-8.253809162E0
3.148875001E-2,-5.448521499E0,9.436246560E0,-7.041114762E0
4.143275000E-2,-1.468877728E0,1.042983760E1,-4.045732656E0
5.137675002E-2,2.419211509E0,1.112911314E1,-3.016632934E0
6.132075001E-2,5.176959847E0,1.102644773E1,-2.864417632E0
7.126558333E-2,4.019497954E0,9.353956355E0,-5.375464633E0
8.120958335E-2,-2.642041881E0,2.033855731E0,-7.320501158E0
9.115358334E-2,-4.177146782E0,-7.634194922E0,2.709801462E0
1.010975833E-1,-2.430798936E0,-1.333124823E1,7.024534398E0
1.110425833E-1,-7.696270426E-1,-2.278150063E1,4.240101998E0
1.209865834E-1,1.773126047E0,-3.057887496E1,3.323629882E0
1.309305833E-1,1.629343160E0,-3.274871822E1,6.058436378E0
1.408745833E-1,3.549230665E-2,-2.974070701E1,5.554905741E0
1.508195833E-1,-2.383852226E0,-2.049078373E1,3.988627287E0
1.607635833E-1,-3.828637526E0,-1.387667300E1,1.130063887E0
1.707075833E-1,-1.046559508E0,-9.956604899E0,-9.886419600E-1
1.806515833E-1,3.161218790E0,-7.537745100E0,-1.453896723E0
1.905965833E-1,4.968406037E0,-5.206844966E0,-1.446787094E0
2.005405833E-1,4.114279858E0,-2.283171067E0,-1.954732379E0
2.104845833E-1,2.446769729E0,3.173593837E-1,-2.474545172E0
2.204285833E-1,8.210584205E-1,2.256783167E0,-2.725740387E0
2.303735834E-1,3.366686440E-1,3.810826322E0,-2.142023374E0
2.403175833E-1,1.366951550E0,4.960035163E0,-3.897239764E-1
2.502615833E-1,3.539669883E0,6.311430781E0,2.136817013E0
2.602055834E-1,6.312915389E0,8.157500258E0,3.817057700E0
2.701495833E-1,8.646083658E0,1.023146497E1,3.814652156E0
2.800945833E-1,1.002929631E1,1.229495906E1,3.710679891E0
2.900385833E-1,1.041585340E1,1.424038735E1,3.822452341E0
2.999825834E-1,1.058868306E1,1.584990714E1,3.657976012E0
3.099265833E-1,1.104203991E1,1.679503470E1,2.422718961E0
3.198715833E-1,1.047527632E1,1.751163203E1,7.496463758E-1
3.298155833E-1,8.668161575E0,1.758912167E1,6.973610850E-1
3.397595834E-1,6.442514831E0,1.646048509E1,2.002805847E0
3.497035833E-1,4.455298830E0,1.415434557E1,3.373370976E0
3.596485833E-1,2.839221395E0,1.166022743E1,3.167269489E0
3.695925833E-1,3.544228372E0,9.481979973E0,-3.324938051E-1
3.795365834E-1,5.906515775E0,7.878861721E0,-8.074880270E0
3.894805833E-1,6.164223619E0,6.453087181E0,-2.214513177E1
3.994255833E-1,7.974567778E0,-2.692773786E0,-1.341644099E1
4.093695833E-1,5.853400837E0,-1.202528197E1,1.673495105E1
4.193135833E-1,1.885020120E0,-1.831508624E1,2.099163985E1
4.292575833E-1,1.822724323E0,-2.593455553E1,1.448393090E1
4.392025833E-1,3.813271628E0,-2.826281389E1,4.861438828E0
4.491465834E-1,3.861686574E0,-2.124481961E1,-7.033469528E0
4.590905833E-1,3.654804775E0,-1.051421643E1,-4.237791471E0
4.690345833E-1,4.568113255E0,-5.241199697E0,1.988996478E0
4.789795833E-1,3.645561204E0,-2.817379705E0,4.798589154E0
4.889235834E-1,1.366327506E0,-1.807110649E0,8.629633101E0
4.988675833E-1,-3.749726135E0,-2.088248870E0,1.238047225E1
5.088115833E-1,-1.074527267E1,-4.376691787E0,1.356235007E1
5.187565833E-1,-1.480678608E1,-6.152154381E0,9.012371957E0
5.287005834E-1,-1.541172264E1,-7.699428799E0,1.143489679E0
5.386445833E-1,-1.448733281E1,-1.040165753E1,-7.636710395E0
5.485885833E-1,-1.388797099E1,-1.356604785E1,-2.115808201E1
5.585325834E-1,-9.086328126E0,-1.379806537E1,-1.522270438E1
5.684775834E-1,-3.582624991E0,-1.019428954E1,-6.949266114E0
5.784215833E-1,-8.600926781E-1,-6.866378324E0,-3.275290366E0
5.883655833E-1,-2.698792325E0,-4.576323330E0,-3.571843602E0
5.983095834E-1,-7.987300674E0,-2.249672953E0,-4.469240347E0
6.082545833E-1,-1.162462724E1,5.244198149E-1,-3.501919966E0
6.181985833E-1,-1.390323807E1,3.649546081E0,-2.778247507E0
6.281425833E-1,-1.569537458E1,7.496654377E0,-3.878302606E0
6.380865833E-1,-1.640020380E1,1.141514490E1,-6.463631465E0
6.480315833E-1,-1.539565566E1,1.388384519E1,-9.217301663E0
6.579755833E-1,-1.229571920E1,1.482695898E1,-8.801127259E0
6.679195834E-1,-7.237911576E0,1.515365812E1,-7.063771554E0
6.778635833E-1,-1.404436588E0,1.483521525E1,-4.921551129E0
6.878085833E-1,3.363888547E0,1.410312280E1,-2.746697978E0
6.977525833E-1,5.623401194E0,1.258924241E1,-8.363863117E-1
7.076965834E-1,4.439066375E0,1.027289366E1,-2.105348468E-1
7.176405833E-1,1.352875840E0,8.058258975E0,-6.802013344E-1
7.275855833E-1,-8.151037623E-1,6.573624024E0,-5.739714008E0
7.375295833E-1,-6.567608993E0,1.963345327E0,-7.767071144E0
7.474735834E-1,-8.932132956E0,-7.945759131E0,9.412263620E0
