"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.159975000E-2,-2.482194519E1,2.934362793E1,-3.300223923E1
2.154375002E-2,-2.434735107E1,2.981469727E1,-3.296386337E1
3.148875001E-2,-2.390539551E1,3.031459999E1,-3.279027176E1
4.143275000E-2,-2.263056946E1,3.192413330E1,-3.194129562E1
5.137675002E-2,-2.157257080E1,3.348778534E1,-3.097663498E1
6.132075001E-2,-2.056459045E1,3.505342865E1,-3.010985184E1
7.126558333E-2,-1.937255096E1,3.658364868E1,-2.889661026E1
8.120958335E-2,-1.803704834E1,3.789566422E1,-2.783411026E1
9.115358334E-2,-1.667619324E1,3.921746826E1,-2.686211014E1
1.010975833E-1,-1.472669220E1,4.050339508E1,-2.600373459E1
1.110425833E-1,-1.238101196E1,4.170571136E1,-2.530957413E1
1.209865834E-1,-9.851417542E0,4.270992279E1,-2.470926285E1
1.309305833E-1,-7.588027954E0,4.356214142E1,-2.389109421E1
1.408745833E-1,-5.811767578E0,4.424990845E1,-2.303498459E1
1.508195833E-1,-4.324180603E0,4.470496368E1,-2.209728622E1
1.607635833E-1,-2.948654175E0,4.498579407E1,-2.127925491E1
1.707075833E-1,-1.583442688E0,4.537267685E1,-2.036850357E1
1.806515833E-1,2.276535034E-1,4.567313004E1,-1.954508591E1
1.905965833E-1,2.203704834E0,4.607971573E1,-1.871656418E1
2.005405833E-1,4.080734253E0,4.623149872E1,-1.794386673E1
2.104845833E-1,5.819610596E0,4.633623123E1,-1.741848373E1
2.204285833E-1,7.430244446E0,4.619106674E1,-1.708443069E1
2.303735834E-1,8.854080200E0,4.599653625E1,-1.689520645E1
2.403175833E-1,9.910636902E0,4.575451660E1,-1.687405777E1
2.502615833E-1,1.082601166E1,4.549528503E1,-1.702732468E1
2.602055834E-1,1.139660645E1,4.523049545E1,-1.722013474E1
2.701495833E-1,1.164246368E1,4.520247650E1,-1.761967087E1
2.800945833E-1,1.160980988E1,4.510134506E1,-1.783290482E1
2.900385833E-1,1.120661163E1,4.511945724E1,-1.817647171E1
2.999825834E-1,1.048987579E1,4.506638718E1,-1.856041336E1
3.099265833E-1,9.494453430E0,4.512483215E1,-1.907598495E1
3.198715833E-1,8.272796631E0,4.516928101E1,-1.951920700E1
