"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686159286859871E9,"2023-06-07 19:34:46.860 UTC+02:00"
"PAUSE",2.059918829167145E1,1.686159307458316E9,"2023-06-07 19:35:07.458 UTC+02:00"
"START",2.059918829167145E1,1.686159328970603E9,"2023-06-07 19:35:28.971 UTC+02:00"
"PAUSE",4.119250162501703E1,1.686159349563172E9,"2023-06-07 19:35:49.563 UTC+02:00"
"START",4.119250162501703E1,1.686159375991700E9,"2023-06-07 19:36:15.992 UTC+02:00"
"PAUSE",6.178244162502233E1,1.686159396596999E9,"2023-06-07 19:36:36.597 UTC+02:00"
"START",6.178244162502233E1,1.686159410616796E9,"2023-06-07 19:36:50.617 UTC+02:00"
"PAUSE",8.237829016667092E1,1.686159431220445E9,"2023-06-07 19:37:11.220 UTC+02:00"
"START",8.237829016667092E1,1.686159481623965E9,"2023-06-07 19:38:01.624 UTC+02:00"
"PAUSE",1.029810812083306E2,1.686159502226436E9,"2023-06-07 19:38:22.226 UTC+02:00"
"START",1.029810812083306E2,1.686159517036781E9,"2023-06-07 19:38:37.037 UTC+02:00"
"PAUSE",1.235796947499912E2,1.686159537634999E9,"2023-06-07 19:38:57.635 UTC+02:00"
"START",1.235796947499912E2,1.686159554544507E9,"2023-06-07 19:39:14.545 UTC+02:00"
"PAUSE",1.441999177499965E2,1.686159575164326E9,"2023-06-07 19:39:35.164 UTC+02:00"
"START",1.441999177499965E2,1.686159591115723E9,"2023-06-07 19:39:51.116 UTC+02:00"
"PAUSE",1.647965587500075E2,1.686159611711960E9,"2023-06-07 19:40:11.712 UTC+02:00"
"START",1.647965587500075E2,1.686159649446602E9,"2023-06-07 19:40:49.447 UTC+02:00"
"PAUSE",1.853900687500136E2,1.686159670039708E9,"2023-06-07 19:41:10.040 UTC+02:00"
"START",1.853900687500136E2,1.686159688825742E9,"2023-06-07 19:41:28.826 UTC+02:00"
"PAUSE",2.059795543333457E2,1.686159709414824E9,"2023-06-07 19:41:49.415 UTC+02:00"
"START",2.059795543333457E2,1.686159732692286E9,"2023-06-07 19:42:12.692 UTC+02:00"
"PAUSE",2.265652338750078E2,1.686159753277562E9,"2023-06-07 19:42:33.278 UTC+02:00"
"START",2.265652338750078E2,1.686159766179481E9,"2023-06-07 19:42:46.179 UTC+02:00"
"PAUSE",2.471600439583417E2,1.686159786773887E9,"2023-06-07 19:43:06.774 UTC+02:00"
"START",2.471600439583417E2,1.686159894667296E9,"2023-06-07 19:44:54.667 UTC+02:00"
"PAUSE",2.677570819166722E2,1.686159915263930E9,"2023-06-07 19:45:15.264 UTC+02:00"
"START",2.677570819166722E2,1.686159926262302E9,"2023-06-07 19:45:26.262 UTC+02:00"
"PAUSE",2.883584684583475E2,1.686159946863285E9,"2023-06-07 19:45:46.863 UTC+02:00"
"START",2.883584684583475E2,1.686159960176359E9,"2023-06-07 19:46:00.176 UTC+02:00"
"PAUSE",3.089538694583462E2,1.686159980781408E9,"2023-06-07 19:46:20.781 UTC+02:00"
"START",3.089538694583462E2,1.686159994910199E9,"2023-06-07 19:46:34.910 UTC+02:00"
"PAUSE",3.295459170416871E2,1.686160015504738E9,"2023-06-07 19:46:55.505 UTC+02:00"
"START",3.295459170416871E2,1.686160047616188E9,"2023-06-07 19:47:27.616 UTC+02:00"
"PAUSE",3.501588553333713E2,1.686160068228945E9,"2023-06-07 19:47:48.229 UTC+02:00"
"START",3.501588553333713E2,1.686160104843597E9,"2023-06-07 19:48:24.844 UTC+02:00"
"PAUSE",3.707507245000452E2,1.686160125435196E9,"2023-06-07 19:48:45.435 UTC+02:00"
"START",3.707507245000452E2,1.686160143129488E9,"2023-06-07 19:49:03.129 UTC+02:00"
"PAUSE",3.913419267500285E2,1.686160163720417E9,"2023-06-07 19:49:23.720 UTC+02:00"
"START",3.913419267500285E2,1.686160181104635E9,"2023-06-07 19:49:41.105 UTC+02:00"
"PAUSE",4.119358731250395E2,1.686160201698308E9,"2023-06-07 19:50:01.698 UTC+02:00"
"START",4.119358731250395E2,1.686160215317839E9,"2023-06-07 19:50:15.318 UTC+02:00"
"PAUSE",4.325319287500170E2,1.686160235913622E9,"2023-06-07 19:50:35.914 UTC+02:00"
"START",4.325319287500170E2,1.686160378383023E9,"2023-06-07 19:52:58.383 UTC+02:00"
"PAUSE",4.531234124583716E2,1.686160398974234E9,"2023-06-07 19:53:18.974 UTC+02:00"
