time,seconds_elapsed,dBFS
1686426032091000000,0.028,-40.892822265625
1686426032191000000,0.128,-40.883514404296875
1686426032291000000,0.228,-35.49387741088867
1686426032392000000,0.329,-38.597293853759766
1686426032492000000,0.429,-41.05332946777344
1686426032592000000,0.529,-40.66162872314453
1686426032692000000,0.629,-36.06833267211914
1686426032792000000,0.729,-26.058382034301758
1686426032892000000,0.829,-23.0330810546875
1686426032992000000,0.929,-22.73168182373047
1686426033092000000,1.029,-24.77688217163086
1686426033192000000,1.129,-20.43073272705078
1686426033292000000,1.229,-22.576627731323242
1686426033392000000,1.329,-24.988319396972656
1686426033492000000,1.429,-27.086597442626953
1686426033609000000,1.546,-26.446203231811523
1686426033709000000,1.646,-18.87127685546875
1686426033809000000,1.746,-21.42015266418457
1686426033909000000,1.846,-10.477166175842285
1686426034009000000,1.946,-5.861591339111328
1686426034109000000,2.046,-9.144889831542969
1686426034209000000,2.146,-13.07171630859375
1686426034309000000,2.246,-5.481607437133789
1686426034410000000,2.346999755859375,-7.954607963562012
1686426034509000000,2.446,-11.160107612609863
1686426034610000000,2.546999755859375,-5.516779899597168
1686426034710000000,2.647000244140625,-8.509888648986816
1686426034810000000,2.746999755859375,-12.204023361206055
1686426034909000000,2.846,-10.54155445098877
1686426035009000000,2.946,-8.500652313232422
1686426035110000000,3.047000244140625,-11.979447364807129
1686426035211000000,3.148,-4.369905471801758
1686426035310000000,3.247000244140625,-5.1785969734191895
1686426035410000000,3.346999755859375,-7.961210250854492
1686426035510000000,3.447000244140625,-10.541030883789062
1686426035610000000,3.546999755859375,-7.318490028381348
1686426035710000000,3.647000244140625,-9.518905639648438
1686426035827000000,3.764,-11.658288955688477
1686426035927000000,3.864,-3.8903143405914307
1686426036044000000,3.981,-7.645749092102051
1686426036144000000,4.081,-6.234010696411133
1686426036245000000,4.182,-2.6520795822143555
1686426036344000000,4.281,-5.6972270011901855
1686426036444000000,4.381,-9.364030838012695
1686426036561000000,4.498,-4.626669883728027
1686426036661000000,4.598,-8.276803016662598
1686426036762000000,4.698999755859375,-11.657316207885742
1686426036862000000,4.799000244140625,-4.000072479248047
1686426036961000000,4.898,-7.288549900054932
1686426037062000000,4.999000244140625,-11.94323444366455
1686426037161000000,5.098,-2.9700989723205566
1686426037261000000,5.198,-5.2959771156311035
1686426037361000000,5.298,-9.8926362991333
1686426037479000000,5.416,-10.35591983795166
1686426037578000000,5.514999755859375,-3.2964088916778564
1686426037678000000,5.615000244140625,-8.09735107421875
1686426037778000000,5.714999755859375,-6.871939659118652
1686426037878000000,5.815000244140625,-3.1520678997039795
1686426037978000000,5.914999755859375,-7.285712718963623
1686426038078000000,6.015000244140625,-9.2037935256958
1686426038178000000,6.114999755859375,-2.460702419281006
1686426038279000000,6.216,-6.9543256759643555
1686426038379000000,6.316,-11.282247543334961
1686426038479000000,6.416,-1.9988842010498047
1686426038579000000,6.516,-5.745240688323975
1686426038679000000,6.616,-10.320402145385742
1686426038779000000,6.716,-3.754246950149536
1686426038879000000,6.816,-5.603958606719971
1686426038989000000,6.926,-10.33016586303711
1686426039096000000,7.033,-1.0699201822280884
1686426039196000000,7.133,-4.527565002441406
1686426039296000000,7.233,-9.003341674804688
1686426039396000000,7.333,-11.252371788024902
1686426039496000000,7.433,-4.898897171020508
1686426039596000000,7.533,-8.984334945678711
1686426039696000000,7.633,-12.297053337097168
1686426039796000000,7.733,-2.9577178955078125
1686426039896000000,7.833,-6.280543804168701
1686426039996000000,7.933,-9.430548667907715
1686426040096000000,8.033,-5.974081993103027
1686426040196000000,8.133,-9.196670532226562
1686426040296000000,8.233,-12.719902038574219
1686426040397000000,8.334,-1.494439959526062
1686426040496000000,8.433,-4.019289016723633
1686426040613000000,8.55,-8.622759819030762
