time,seconds_elapsed,dBFS
1686382176739000000,0.034,-75.29835510253906
1686382176838000000,0.133000244140625,-64.4058609008789
1686382176939000000,0.234,-66.36264038085938
1686382177039000000,0.334,-67.4969482421875
1686382177139000000,0.434,-70.7159423828125
1686382177239000000,0.534,-67.37496185302734
1686382177339000000,0.634,-67.51040649414062
1686382177439000000,0.734,-67.39324188232422
1686382177539000000,0.834,-68.80072021484375
1686382177639000000,0.934,-66.46280670166016
1686382177739000000,1.034,-67.61079406738281
1686382177839000000,1.134,-66.59835815429688
1686382177939000000,1.234,-65.82232666015625
1686382178040000000,1.335,-65.32040405273438
1686382178140000000,1.435,-67.9161376953125
1686382178256000000,1.551,-65.42267608642578
1686382178356000000,1.651,-66.075927734375
1686382178456000000,1.751,-66.97986602783203
1686382178556000000,1.851,-67.86689758300781
1686382178656000000,1.951,-69.53008270263672
1686382178755000000,2.05,-67.8369369506836
1686382178856000000,2.151,-69.53472137451172
1686382178956000000,2.251,-64.99545288085938
1686382179056000000,2.351,-67.54290771484375
1686382179156000000,2.451,-65.4300308227539
1686382179256000000,2.551,-67.44879150390625
1686382179356000000,2.651,-67.26988983154297
1686382179456000000,2.751,-68.36422729492188
1686382179556000000,2.851,-63.72466278076172
1686382179656000000,2.951,-66.63433837890625
1686382179756000000,3.051,-62.726417541503906
1686382179856000000,3.151,-64.62611389160156
1686382179956000000,3.251,-52.576351165771484
1686382180056000000,3.351,-56.89824676513672
1686382180157000000,3.452,-59.59123229980469
1686382180258000000,3.552999755859375,-63.11670684814453
1686382180356000000,3.651,-65.88794708251953
1686382180456000000,3.751,-62.95738220214844
1686382180557000000,3.852,-65.36495208740234
1686382180673000000,3.968,-67.8813247680664
1686382180773000000,4.068,-67.65959930419922
1686382180873000000,4.168,-70.23812103271484
1686382180973000000,4.268,-64.8280258178711
1686382181089000000,4.384,-67.11432647705078
1686382181190000000,4.485000244140625,-64.14051818847656
1686382181290000000,4.584999755859375,-63.89186096191406
1686382181390000000,4.685000244140625,-66.61436462402344
1686382181490000000,4.784999755859375,-69.15475463867188
1686382181590000000,4.885000244140625,-69.1441650390625
1686382181690000000,4.984999755859375,-67.96826934814453
1686382181791000000,5.086,-70.49691009521484
1686382181907000000,5.202,-65.18321990966797
1686382182007000000,5.302,-67.1934814453125
1686382182107000000,5.402,-62.22719955444336
1686382182207000000,5.502,-57.55200958251953
1686382182307000000,5.602,-48.258270263671875
1686382182407000000,5.702,-50.48505401611328
1686382182506000000,5.800999755859375,-42.79335403442383
1686382182606000000,5.901000244140625,-46.536773681640625
1686382182707000000,6.002,-46.86396408081055
1686382182807000000,6.102,-50.154876708984375
1686382182907000000,6.202,-53.08805465698242
1686382183007000000,6.302,-56.01164245605469
1686382183107000000,6.402,-57.048500061035156
1686382183206000000,6.501000244140625,-46.918609619140625
1686382183307000000,6.602,-50.02791213989258
1686382183407000000,6.702,-28.29547882080078
1686382183507000000,6.802,-31.975341796875
1686382183607000000,6.902,-36.476036071777344
1686382183707000000,7.002,-40.381980895996094
1686382183807000000,7.102,-43.3433837890625
1686382183907000000,7.202,-46.025882720947266
1686382184007000000,7.302,-46.210697174072266
1686382184107000000,7.402,-48.16094970703125
1686382184207000000,7.502,-38.88516616821289
1686382184323000000,7.618,-42.94358825683594
1686382184440000000,7.735,-47.25202178955078
1686382184540000000,7.835,-51.48250961303711
1686382184640000000,7.935,-53.73808288574219
1686382184740000000,8.035,-49.162418365478516
1686382184840000000,8.135,-35.316612243652344
1686382184940000000,8.235,-34.97560501098633
1686382185040000000,8.335,-38.13005065917969
1686382185140000000,8.435,-42.24211120605469
1686382185240000000,8.535,-45.83553695678711
1686382185340000000,8.635,-47.84457015991211
1686382185441000000,8.736,-49.78983688354492
1686382185557000000,8.852,-52.0632209777832
1686382185657000000,8.952,-54.39790725708008
1686382185757000000,9.052,-57.22309112548828
1686382185856000000,9.151,-49.47271728515625
1686382185957000000,9.252,-51.86671829223633
1686382186057000000,9.352,-52.91675567626953
1686382186173000000,9.468,-53.16648483276367
1686382186273000000,9.568,-53.09883499145508
1686382186390000000,9.685000244140625,-50.20299530029297
1686382186490000000,9.784999755859374,-49.677337646484375
1686382186590000000,9.885000244140626,-53.95043182373047
1686382186690000000,9.984999755859375,-54.858665466308594
1686382186791000000,10.086,-56.462459564208984
1686382186907000000,10.202,-60.46454620361328
1686382187007000000,10.302,-61.800567626953125
1686382187107000000,10.402,-57.61360168457031
1686382187207000000,10.502,-52.913848876953125
1686382187307000000,10.602,-54.139686584472656
1686382187407000000,10.702,-56.28006362915039
1686382187507000000,10.802,-58.468170166015625
1686382187607000000,10.902,-61.07237243652344
1686382187707000000,11.002,-46.366310119628906
1686382187807000000,11.102,-50.41525650024414
1686382187907000000,11.202,-46.08191680908203
1686382188007000000,11.302,-49.74663162231445
1686382188106000000,11.400999755859376,-53.919281005859375
1686382188206000000,11.501000244140625,-39.66487121582031
