"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.103666659E-3,6.123915253E0,-2.783611450E0,-4.261188812E0
1.204766668E-2,4.608017578E0,-3.587439880E0,-5.019062805E0
2.199266668E-2,3.334915009E0,-4.466861115E0,-5.159171448E0
3.193666667E-2,3.220552826E0,-5.282664642E0,-4.806055756E0
4.188066666E-2,5.242997131E0,-5.450016632E0,-4.414619751E0
5.182466668E-2,7.272177429E0,-4.637805634E0,-2.945424957E0
6.176866667E-2,8.417595520E0,-4.215683441E0,-1.632505188E0
7.171266666E-2,8.845405884E0,-3.871998138E0,-6.599775696E-1
8.165666668E-2,8.515042877E0,-3.439248047E0,4.460723877E-1
9.160066667E-2,8.072113953E0,-3.349285126E0,1.462907867E0
1.015446667E-1,8.575666809E0,-3.055146790E0,1.959724731E0
1.114886667E-1,9.744436340E0,-2.318079529E0,1.933978271E0
1.214326667E-1,1.110959747E1,-1.444645844E0,1.803749084E0
1.313776667E-1,1.283086807E1,-2.585124207E-1,1.588047638E0
1.413216667E-1,1.419408325E1,8.147557068E-1,1.224902802E0
1.512656667E-1,1.495300507E1,1.335822144E0,7.547305298E-1
1.612096667E-1,1.502141281E1,1.354533234E0,3.432362366E-1
1.711536667E-1,1.484702545E1,1.477876740E0,-2.070195007E-1
1.810976667E-1,1.440903625E1,1.707050171E0,-9.494755554E-1
1.910416667E-1,1.367825592E1,1.599124603E0,-1.904190216E0
2.009856667E-1,1.263103363E1,1.286275177E0,-2.739752655E0
2.109296667E-1,1.152513336E1,8.916957092E-1,-3.326233063E0
2.208736667E-1,1.063762894E1,4.478686523E-1,-3.840563507E0
2.308176667E-1,1.017164795E1,5.044509888E-2,-4.329297180E0
2.407616667E-1,1.009156448E1,-1.598675537E-1,-4.641847229E0
2.507066667E-1,1.013093262E1,-2.098635864E-1,-4.772076416E0
2.606506667E-1,1.007015900E1,-3.993695068E-1,-4.755460968E0
2.705946667E-1,9.967023468E0,-8.876541138E-1,-4.686604156E0
2.805386667E-1,9.734257507E0,-1.590442657E0,-4.498146057E0
2.904826667E-1,9.373657379E0,-2.108066254E0,-4.255949707E0
3.004266667E-1,8.898545380E0,-2.777174835E0,-4.719385986E0
3.103706667E-1,7.122638397E0,-4.507127380E0,-6.403533783E0
3.203146667E-1,6.220165100E0,-5.051994324E0,-5.577102356E0
3.302586667E-1,6.463558960E0,-4.913831635E0,-5.861810303E0
3.402026667E-1,7.556585999E0,-4.133204956E0,-6.092330933E0
3.501466667E-1,8.435109100E0,-3.579955444E0,-5.722450104E0
3.600916667E-1,8.539292450E0,-3.687282257E0,-5.404361572E0
3.700356667E-1,7.977810059E0,-3.633544006E0,-5.433850250E0
3.799796667E-1,7.768545227E0,-3.279979248E0,-5.674100647E0
3.899236667E-1,7.901618500E0,-3.377127228E0,-5.819897461E0
3.998676667E-1,8.079748077E0,-3.653901672E0,-4.809199219E0
4.098116667E-1,8.115673370E0,-3.452869720E0,-2.668650513E0
4.197556667E-1,8.663833466E0,-3.321742401E0,-1.414109344E0
4.296996667E-1,9.377399597E0,-3.869453430E0,-2.481838989E0
4.396436667E-1,9.573491821E0,-3.648812256E0,-3.542383575E0
4.495876667E-1,9.351204071E0,-3.266058197E0,-4.885839844E0
4.595316667E-1,8.842262421E0,-2.817740479E0,-6.312972107E0
4.694766667E-1,8.171956329E0,-2.247276764E0,-6.827901306E0
4.794206667E-1,7.544012146E0,-1.617386627E0,-6.724915466E0
4.893646667E-1,7.265740814E0,-1.116228790E0,-6.615193634E0
