"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.204766668E-2,-5.613915920E-1,-2.563158751E0,2.289126873E0
2.199266668E-2,-3.319444656E-1,-3.380273104E0,2.572610140E0
3.193666667E-2,-5.088005587E-2,-3.951083660E0,2.682713270E0
4.188066666E-2,2.210511863E-1,-4.292340755E0,2.601667643E0
5.182466668E-2,4.622704685E-1,-4.409619331E0,2.446468830E0
6.176866667E-2,6.490808725E-1,-4.358105183E0,2.338432550E0
7.171266666E-2,8.039071560E-1,-4.175987244E0,2.353210211E0
8.165666668E-2,9.658177495E-1,-3.906968594E0,2.512219667E0
9.160066667E-2,1.130093098E0,-3.571529388E0,2.773206711E0
1.015446667E-1,1.266208172E0,-3.202824593E0,2.965783119E0
1.114886667E-1,1.367394686E0,-2.802132607E0,3.042550325E0
1.214326667E-1,1.410553694E0,-2.425963640E0,2.956313133E0
1.313776667E-1,1.384805202E0,-2.108171940E0,2.694919586E0
1.413216667E-1,1.280933619E0,-1.790262103E0,2.290128469E0
1.512656667E-1,1.106620312E0,-1.463251472E0,1.833597779E0
1.612096667E-1,9.021517038E-1,-1.158068419E0,1.405559540E0
1.711536667E-1,7.048514485E-1,-9.355214238E-1,1.026910782E0
1.810976667E-1,5.156385899E-1,-7.120921612E-1,6.896882057E-1
1.910416667E-1,3.247565031E-1,-4.475342333E-1,3.937340379E-1
2.009856667E-1,1.261029243E-1,-2.518646121E-1,1.927890182E-1
2.109296667E-1,-8.161912113E-2,-2.039277107E-1,8.439171314E-2
2.208736667E-1,-2.948113084E-1,-2.403001487E-1,5.216963589E-3
2.308176667E-1,-4.849591553E-1,-2.914395034E-1,-1.082635224E-1
2.407616667E-1,-6.319562793E-1,-4.050342441E-1,-2.595594823E-1
2.507066667E-1,-7.279546857E-1,-5.564357638E-1,-4.360386431E-1
2.606506667E-1,-7.809915543E-1,-6.857269406E-1,-6.062645912E-1
2.705946667E-1,-7.938993573E-1,-7.824042439E-1,-7.192843556E-1
2.805386667E-1,-7.653532028E-1,-8.291388154E-1,-7.607799768E-1
2.904826667E-1,-6.987518072E-1,-8.459371924E-1,-7.628977299E-1
3.004266667E-1,-9.172568321E-1,-8.996017575E-1,-6.192968488E-1
3.103706667E-1,-1.159157038E0,-9.915327430E-1,-3.615446091E-1
3.203146667E-1,-1.339772582E0,-1.039009929E0,-1.381748617E-1
3.302586667E-1,-1.506167769E0,-1.027871847E0,-6.673316658E-2
3.402026667E-1,-1.560544014E0,-1.030547976E0,-1.433913708E-1
3.501466667E-1,-1.481011391E0,-1.043964386E0,-2.462700903E-1
3.600916667E-1,-1.320296764E0,-1.076417089E0,-2.829347849E-1
3.700356667E-1,-1.135055304E0,-1.125383854E0,-2.697358727E-1
3.799796667E-1,-9.924734235E-1,-1.123917580E0,-2.603774965E-1
3.899236667E-1,-7.897144556E-1,-1.113434076E0,-2.452310473E-1
3.998676667E-1,-3.432259858E-1,-1.093277335E0,-1.908702552E-1
4.098116667E-1,3.831141889E-1,-1.004086018E0,-1.328445077E-1
4.197556667E-1,1.029724479E0,-9.159397483E-1,-1.709882319E-1
4.296996667E-1,1.365541339E0,-9.612622261E-1,-2.765096128E-1
4.396436667E-1,1.351606607E0,-1.091535211E0,-4.176931977E-1
4.495876667E-1,1.035578847E0,-1.182182789E0,-5.446444750E-1
4.595316667E-1,5.730762482E-1,-1.267536044E0,-6.042519808E-1
4.694766667E-1,1.771531701E-1,-1.284945965E0,-5.442216396E-1
4.794206667E-1,-6.683375686E-2,-1.134202600E0,-4.137081802E-1
4.893646667E-1,-1.647832096E-1,-8.595983982E-1,-2.623700500E-1
4.993086667E-1,-1.921992749E-1,-6.025630236E-1,-1.302724928E-1
5.092526667E-1,-2.181744128E-1,-4.249796867E-1,-2.793840133E-2
5.191966667E-1,-2.578527927E-1,-3.726604283E-1,7.408709824E-2
5.291406667E-1,-2.521733046E-1,-4.062008262E-1,1.682223827E-1
5.390846667E-1,-1.970635951E-1,-4.907072783E-1,2.255726159E-1
5.490286667E-1,-1.118930355E-1,-4.984139204E-1,2.648859322E-1
5.589726667E-1,-1.177363377E-2,-4.959226847E-1,2.990914285E-1
5.689166667E-1,1.003273353E-1,-5.767922997E-1,3.391839862E-1
5.788616667E-1,1.646793187E-1,-7.070274949E-1,3.147373796E-1
5.888056667E-1,1.763575375E-1,-7.323355079E-1,2.147149146E-1
5.987496667E-1,1.362712830E-1,-7.328575253E-1,1.725594252E-1
6.086936667E-1,5.564671010E-3,-7.235910296E-1,2.398660332E-1
6.186376667E-1,-1.361099482E-1,-6.381871104E-1,4.730789363E-1
6.285816667E-1,-2.266947031E-1,-4.996393621E-1,8.615066409E-1
6.385250000E-1,-2.402904183E-1,-1.497587264E-1,1.326273799E0
6.484690000E-1,-3.363426328E-1,3.172957525E-2,1.720773458E0
6.584130000E-1,-3.805717230E-1,7.683353871E-2,2.036589861E0
6.683570000E-1,-3.740879893E-1,-3.942515701E-2,2.298349857E0
6.783020000E-1,-3.052186072E-1,-1.240825579E-1,2.411145449E0
6.882460000E-1,-1.828673929E-1,-2.759900689E-1,2.416536570E0
6.981900000E-1,3.350969777E-2,-4.795172215E-1,2.398315907E0
