"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.204766668E-2,-5.682840480E0,-4.444467740E0,-6.337081347E0
2.199266668E-2,-6.674872656E0,-5.005557491E0,-5.891743954E0
3.193666667E-2,-6.035347477E0,-5.506145225E0,-5.235836046E0
4.188066666E-2,-3.668122686E0,-4.923837975E0,-4.087430028E0
5.182466668E-2,-2.025938601E0,-3.891684544E0,-2.048120599E0
6.176866667E-2,-1.058944788E0,-3.384560208E0,-5.468397939E-1
7.171266666E-2,-9.234513527E-1,-2.701292009E0,8.913684844E-1
8.165666668E-2,-1.288100093E0,-2.154525013E0,2.372966465E0
9.160066667E-2,-1.412786120E0,-1.810637397E0,3.599368493E0
1.015446667E-1,-3.900718492E-1,-1.022010119E0,4.138686136E0
1.114886667E-1,9.231853044E-1,8.442399994E-2,4.317515041E0
1.214326667E-1,2.617250564E0,1.371125439E0,4.346104709E0
1.313776667E-1,4.391127977E0,2.896513875E0,4.274447374E0
1.413216667E-1,5.685881617E0,4.040083077E0,3.972351854E0
1.512656667E-1,6.258520496E0,4.558652168E0,3.628944587E0
1.612096667E-1,6.304207131E0,4.700638644E0,3.277805253E0
1.711536667E-1,6.105980088E0,5.067553765E0,2.719579761E0
1.810976667E-1,5.631738739E0,5.275805274E0,1.928323722E0
1.910416667E-1,4.797394860E0,5.125592058E0,1.013992271E0
2.009856667E-1,3.723766544E0,4.806117151E0,2.976317552E-1
2.109296667E-1,2.671922615E0,4.400645198E0,-2.179511628E-1
2.208736667E-1,1.941538137E0,3.955518013E0,-7.125224036E-1
2.308176667E-1,1.647103347E0,3.600512500E0,-1.108053213E0
2.407616667E-1,1.657332466E0,3.434851233E0,-1.304752086E0
2.507066667E-1,1.664571903E0,3.310488850E0,-1.301708318E0
2.606506667E-1,1.586886966E0,2.958962723E0,-1.180815088E0
2.705946667E-1,1.458970352E0,2.256409530E0,-9.977595234E-1
2.805386667E-1,1.156362909E0,1.511371345E0,-6.521662742E-1
2.904826667E-1,8.305221391E-1,9.876856479E-1,-3.801970714E-1
3.004266667E-1,-8.584998965E-2,-3.476181400E-1,-1.675907900E0
3.103706667E-1,-1.801568073E0,-1.750554625E0,-2.107100001E0
3.203146667E-1,-2.176700286E0,-2.115335220E0,-1.387672621E0
3.302586667E-1,-1.499551783E0,-1.735963775E0,-1.755789929E0
3.402026667E-1,-3.269798076E-1,-1.008307900E0,-1.556690775E0
3.501466667E-1,3.346478462E-1,-8.184800908E-1,-1.041924128E0
3.600916667E-1,1.628297532E-1,-1.030172394E0,-6.775227249E-1
3.700356667E-1,-3.452324760E-1,-9.295707563E-1,-7.068049961E-1
3.799796667E-1,-2.864439851E-1,-7.001809779E-1,-9.024686193E-1
3.899236667E-1,-9.425419271E-2,-1.083393166E0,-5.708484614E-1
3.998676667E-1,8.471212149E-2,-1.209382537E0,1.039958294E0
4.098116667E-1,2.653255963E-1,-9.282729667E-1,3.280436500E0
4.197556667E-1,1.090956540E0,-1.113572693E0,3.584986389E0
4.296996667E-1,1.605422055E0,-1.398657785E0,2.447135764E0
4.396436667E-1,1.712196890E0,-9.833408743E-1,1.332683943E0
4.495876667E-1,1.414533852E0,-5.663867435E-1,-2.558332264E-2
4.595316667E-1,8.842674065E-1,-8.534245133E-2,-1.162843963E0
4.694766667E-1,2.331594783E-1,5.175393963E-1,-1.222113095E0
4.794206667E-1,-1.929826748E-1,1.056298338E0,-1.012838323E0
4.893646667E-1,-3.532992947E-1,1.511421046E0,-8.097072208E-1
4.993086667E-1,-3.624811774E-1,1.839039662E0,-7.311352605E-1
5.092526667E-1,-3.657515252E-1,2.104042638E0,-6.917823297E-1
5.191966667E-1,-3.138908154E-1,1.926388586E0,-6.700844818E-1
5.291406667E-1,-3.286515266E-1,1.389015580E0,-3.231697619E-1
5.390846667E-1,-2.743279696E-1,1.216264564E0,-3.752158284E-3
5.490286667E-1,-3.144655967E-1,1.165168670E0,1.417908865E-1
5.589726667E-1,-1.761824548E-1,1.004370385E0,6.535900712E-2
5.689166667E-1,2.201014763E-1,1.164699431E0,-5.124090493E-2
5.788616667E-1,1.099764785E0,1.451504627E0,-5.174651366E-1
5.888056667E-1,1.921118490E0,1.586444624E0,-9.055033243E-1
5.987496667E-1,2.056902532E0,1.470189113E0,-9.458999830E-1
6.086936667E-1,1.353594171E0,1.520071125E0,-1.335326300E0
6.186376667E-1,-3.420510060E-1,1.487736899E0,-1.458021349E0
6.285816667E-1,-2.207997508E0,8.110699144E-1,-9.117779714E-1
6.385250000E-1,-3.480272112E0,-4.961385870E-1,-1.957507467E-1
6.484690000E-1,-3.963400644E0,-1.167901804E0,-4.913514715E-1
6.584130000E-1,-3.698496632E0,-1.200328124E0,5.057835692E-1
6.683570000E-1,-2.833556612E0,-1.601426360E0,1.516869482E0
6.783020000E-1,-7.899728680E-1,-2.248542978E0,2.638400527E0
6.882460000E-1,2.457403475E-1,-1.428248789E0,3.314678380E0
6.981900000E-1,7.020517945E-2,1.787216082E-1,3.647446346E0
7.081340000E-1,1.620433027E-1,9.502851024E-1,2.751171682E0
7.180780000E-1,1.624473453E-2,1.454381458E0,1.734263697E0
7.280220000E-1,3.484624779E-1,8.764756992E-1,5.762571359E-1
7.379660000E-1,2.617435920E-1,-3.627899104E-1,-2.354866701E-1
7.479100000E-1,-3.050545031E-1,-9.753474382E-1,-2.683953846E-1
7.578540000E-1,-1.113194670E0,-1.383703531E0,-1.560241789E-1
7.677980000E-1,-1.694696758E0,-2.280002168E0,-1.854851995E0
7.777420000E-1,5.412972182E-1,-1.433829372E0,-2.762097205E0
7.876870000E-1,2.388546664E0,3.274183488E-1,-2.804353278E0
7.976310000E-1,2.742992597E0,1.107069127E0,-2.174792925E0
8.075750000E-1,3.055798169E0,1.062816814E0,-1.682574896E0
8.175190000E-1,2.551580485E0,8.195188487E-1,-4.632684642E-1
8.274630000E-1,2.278728645E0,-2.074603808E-1,9.314129215E-1
8.374070000E-1,9.603867522E-1,-9.680129832E-1,1.997833959E0
8.473510000E-1,8.510096133E-2,-1.302477519E0,2.746065894E0
8.572950000E-1,-1.517314455E-1,-1.206666213E0,3.438361609E0
8.672390000E-1,-1.832391670E-1,-1.167663530E0,4.344014037E0
8.771830000E-1,-2.252528733E-1,-1.038611388E0,3.880053847E0
8.871270000E-1,1.246642165E0,-8.709559277E-1,3.158022117E0
8.970720000E-1,7.596030146E-1,-1.357822877E0,2.251194983E0
9.070160000E-1,2.352980974E-1,-2.008300475E0,1.700106602E0
9.169600000E-1,-6.958698258E-1,-2.318405803E0,1.084787142E-1
9.269040000E-1,-2.151256420E0,-2.489514045E0,-1.993267284E0
9.368480000E-1,-2.897030477E0,-3.028403379E0,-3.839570065E0
9.467920000E-1,-4.025376452E0,-3.260960594E0,-4.937138636E0
9.567360000E-1,-5.034975418E0,-2.770780320E0,-4.876662639E0
9.666800000E-1,-2.789286173E0,-2.129493375E0,-2.659890214E0
9.766240000E-1,-7.960447629E-1,-1.335588840E0,-7.601485598E-1
9.865680000E-1,-3.223020351E-1,-7.121382415E-1,2.925174880E-1
9.965120000E-1,1.241010126E-1,-5.357862175E-2,1.438264192E0
1.006457000E0,4.373799169E-1,3.757818389E-1,2.105228015E0
1.016401000E0,4.543549687E-2,3.526368052E-1,1.967222031E0
1.026345000E0,3.182446522E-1,1.227886051E-1,1.400499365E0
1.036289000E0,6.498317733E-1,-4.040946418E-1,3.068162692E-1
1.046233000E0,6.764266643E-1,-6.871197599E-1,-3.327609497E-1
1.056177000E0,6.863949975E-1,-5.788246483E-1,-6.037209231E-1
1.066121000E0,3.954164967E-1,-3.561158985E-1,-8.392923778E-1
1.076065000E0,6.785606056E-2,-1.714602435E-1,-6.886967540E-1
1.086009000E0,-4.780420393E-2,-2.844319582E-2,-2.765791476E-1
1.095953000E0,-3.448950917E-2,3.911056370E-2,1.370318377E-1
1.105898000E0,4.332903743E-2,6.619515896E-2,4.872578359E-1
1.115842000E0,2.127562040E-1,-2.105199364E-1,5.759408015E-1
1.125786000E0,3.842325273E-1,-1.408565015E-1,4.267262900E-1
1.135730000E0,2.921151996E-1,2.742621884E-1,5.636037612E-1
1.145674000E0,-9.404603183E-2,2.669566771E-1,2.816878599E-1
1.155618000E0,-5.167017826E-1,-1.940895528E-2,1.778740543E-1
1.165562000E0,-5.661429146E-1,-2.235337919E-1,-2.615073645E-1
1.175506000E0,-2.200564528E-1,-2.031354877E-1,-8.981545436E-1
1.185450000E0,-5.629874647E-2,-2.320350587E-1,-7.570273161E-1
1.195394000E0,-1.448609671E-1,-8.922500253E-2,-1.477456909E-1
1.205338000E0,-3.230659738E-1,1.876541072E-1,4.525949568E-1
1.215283000E0,1.957603946E-1,3.285573864E-1,7.828404343E-1
1.225227000E0,6.969275871E-1,5.158036503E-1,6.241926098E-1
1.235171000E0,6.364670849E-1,3.349647653E-1,3.790574491E-1
1.245115000E0,3.571306828E-1,4.187483490E-2,4.900200605E-2
1.255059000E0,1.454263929E-1,5.980403531E-1,-2.323625028E-1
1.265003000E0,2.922432536E-1,7.360746959E-1,-6.094202042E-2
1.274947000E0,6.184243315E-1,1.177518135E-1,1.026443624E-1
1.284891000E0,5.513441965E-1,-6.165532225E-1,4.783373237E-2
1.294835000E0,2.338886261E-2,-1.213518273E0,-1.504430115E-1
1.304779000E0,-1.500845772E-1,-1.158147187E0,-1.489917326E-1
1.314723000E0,-1.732527074E-1,-5.480507523E-1,1.318628991E-1
1.324668000E0,4.621142238E-2,1.368584678E-1,3.127453458E-1
1.334612000E0,1.389251661E-1,5.195099080E-1,4.414133263E-1
1.344556000E0,1.118268299E-1,8.044640225E-1,4.015616280E-1
1.354500000E0,-1.722788537E-1,9.075127199E-1,1.344362587E-1
1.364444000E0,-3.736905822E-1,8.109699270E-1,-1.605622029E-1
1.374388000E0,-6.494911730E-1,6.365553778E-1,-3.572192681E-1
1.384332000E0,-9.240243798E-1,9.211250380E-1,-3.730283850E-1
1.394276000E0,-9.282533786E-1,1.600005194E0,-2.446849251E-1
1.404220000E0,-5.840833417E-1,2.254772310E0,-1.374083984E-1
1.414164000E0,-6.500174224E-2,2.650492277E0,1.123495710E-1
1.424109000E0,-2.561668101E-1,3.117615518E0,3.078559041E-1
1.434053000E0,-7.723113531E-1,3.664995010E0,-1.410792804E-1
1.443997000E0,-1.107906448E0,2.869654983E0,-9.298254025E-1
1.453941000E0,-1.273420073E0,8.988620567E-1,-1.416428350E0
1.463885000E0,-1.203347918E0,-6.638019410E-1,-1.604877094E0
1.473829000E0,-4.479756564E-1,-2.612275752E0,-9.859627658E-1
1.483773000E0,4.796067542E-1,-3.786715621E0,2.860691786E-1
1.493717000E0,1.523744930E0,-3.265501250E0,1.049351261E0
1.503661000E0,1.953229352E0,-1.842209438E0,1.371696566E0
1.513605000E0,2.200107275E0,-7.184026560E-1,1.177933288E0
1.523549000E0,2.101864404E0,-1.845129830E-1,9.252704215E-1
1.533494000E0,1.112814016E0,3.406117138E-1,4.684754097E-1
1.543438000E0,4.053380522E-1,7.665948227E-1,-1.950303698E-1
1.553382000E0,-2.269181603E-1,9.697995999E-1,-5.370714355E-1
1.563326000E0,-7.331355929E-1,5.465053332E-1,-4.548163140E-1
1.573270000E0,-1.293152380E0,3.259749636E-1,-8.166595602E-1
1.583214000E0,-1.300006194E0,-2.452904043E-1,-1.148816493E0
1.593158000E0,-1.585730386E0,-8.752167937E-1,-6.940340924E-1
1.603102000E0,-2.330718578E0,-8.098668498E-1,-2.790560281E-1
1.613046000E0,-3.249266163E0,3.939693108E-1,-3.637161094E-1
1.622990000E0,-2.825271692E0,1.217921226E0,8.815905511E-2
1.632935000E0,-2.011189292E0,1.148171545E0,-9.383377790E-2
1.642878875E0,-1.540665603E0,8.916945398E-1,-1.241589586E0
1.652822875E0,-1.434398013E-1,-1.781933708E0,-8.446700621E-1
1.662766875E0,-2.104204752E0,-3.486256152E-1,4.756242156E-2
1.672710875E0,-4.268889303E0,3.223619106E0,6.373465061E-1
1.682654875E0,-2.072757550E0,1.193444781E0,1.714892457E0
1.692598875E0,-8.664474320E-1,2.301499164E-1,2.571020722E-3
1.702542875E0,-5.834611979E-1,-1.916123798E-1,-3.510387611E-1
1.712486875E0,4.927460325E-1,-8.888934311E-1,2.112476808E0
1.722430875E0,1.678209657E0,-1.987975846E0,1.871205488E0
1.732374875E0,2.220711694E0,-2.829532266E0,2.397405195E0
1.742319875E0,1.637411879E0,-3.222414579E0,1.864730281E0
1.752263875E0,1.751099001E0,-2.923349379E0,8.957156700E-1
1.762207875E0,1.440540806E0,-2.206333390E0,2.030679524E-1
1.772151875E0,9.619301248E-1,-1.308918812E0,-2.840407795E-1
1.782095875E0,5.383145535E-1,-7.118157676E-1,-1.010763731E0
1.792039875E0,1.253321439E-1,-8.475656033E-2,-8.724677253E-1
1.801983875E0,3.089727223E-2,4.390338019E-1,-7.027511215E-1
1.811927875E0,-1.088529360E-1,-7.763465166E-2,-1.043620405E0
1.821871875E0,3.205034316E-2,-1.193407944E0,-3.713993508E-1
1.831815875E0,1.466212714E-1,-1.994060459E0,-1.836259604E-1
1.841760875E0,2.901537511E-1,-2.154988113E0,4.810153484E-2
1.851704875E0,6.510114491E-2,-1.512264215E0,1.276809704E-1
1.861648875E0,-2.143264738E-1,-6.251003900E-1,1.134675586E-1
1.871592875E0,-1.931002039E-1,-1.258697954E-1,8.856894493E-2
1.881536875E0,-1.302022898E-1,-2.802582157E-1,6.501460612E-2
1.891480875E0,-2.281264874E-1,-4.728725159E-1,7.501392961E-2
1.901424875E0,-5.469175619E-1,-7.185578996E-1,1.049025571E-1
1.911368875E0,-7.379273862E-1,-8.773065886E-1,-3.454768896E-2
1.921312875E0,-4.921382144E-1,-3.629162103E-1,-4.122754812E-2
1.931256875E0,-4.769345766E-1,3.092691761E-1,1.568597460E-1
1.941201875E0,-5.729707083E-1,-6.593525022E-2,8.341871738E-2
1.951145875E0,-5.731297526E-1,-2.683462679E-1,-3.082476676E-2
1.961089875E0,-4.984932607E-1,7.198741078E-2,1.950865030E-2
1.971033875E0,-4.804423213E-1,9.026229858E-2,4.344013453E-2
1.980977875E0,-5.816432986E-1,-1.537700772E-1,3.301337957E-2
1.990921875E0,-6.983107460E-1,-5.491301483E-1,5.884637833E-3
2.000865875E0,-7.799633119E-1,-6.459056604E-1,-1.056802368E-1
2.010809875E0,-8.015041620E-1,-5.364957771E-1,-1.208338809E-1
2.020753875E0,-6.018027440E-1,-3.264193520E-1,4.941131115E-2
2.030698875E0,-1.283285496E-1,3.652580202E-2,5.017706251E-1
2.040642875E0,2.232665741E-1,1.701832116E-1,9.378308254E-1
2.050586875E0,7.500390163E-1,1.252362496E-1,8.730658954E-1
2.060530875E0,1.338690788E0,1.497091860E-2,2.952036989E-1
2.070474875E0,1.607501032E0,-2.139496207E-1,-3.704906934E-1
2.080418875E0,1.491596062E0,-8.008843571E-2,-7.465596306E-1
2.090362875E0,1.203522165E0,6.126098603E-2,-7.758764005E-1
2.100306875E0,5.940736020E-1,8.017848283E-2,-4.199809420E-1
2.110250875E0,1.901365426E-1,1.456260753E-1,-1.197626710E-1
2.120194875E0,7.128340602E-2,1.172451523E-1,2.362158179E-2
2.130139875E0,-3.032015204E-2,3.900092840E-4,7.669149578E-2
2.140083875E0,-1.284460786E-1,1.121729851E-2,7.354160070E-2
2.150027875E0,-1.130225855E-1,-3.162349641E-2,1.388783884E-1
2.159971875E0,-1.074937508E-1,-9.833671868E-2,1.661895633E-1
2.169915875E0,-2.466773638E-1,8.095762432E-3,9.345137000E-2
2.179859875E0,-2.820132574E-1,6.642144620E-2,2.667382836E-2
2.189803875E0,-3.267734009E-1,2.689409298E-1,6.352648973E-2
2.199747875E0,-2.631118405E-1,6.414395571E-3,4.364127874E-2
2.209692875E0,-1.732722956E-1,-7.936425805E-3,-2.271526337E-2
2.219636875E0,-1.662570986E-1,-2.135286212E-2,-1.605177641E-2
2.229580875E0,-5.811781526E-2,-9.173111916E-2,-6.574901640E-2
2.239524875E0,-2.774913132E-2,-1.488557848E-1,-1.733869010E-1
2.249468875E0,1.401343703E-2,-1.301277378E-1,-2.680644321E-1
2.259412875E0,-1.704404891E-2,-1.022447053E-1,-2.947452772E-1
2.269356875E0,-5.342951775E-2,-8.022467583E-2,-2.493767309E-1
2.279300875E0,-9.943394870E-2,-3.005059540E-2,-1.687447965E-1
2.289244875E0,-2.432079184E-1,-6.751926094E-2,-1.173822695E-1
2.299189875E0,-2.582256147E-1,-1.437450260E-2,-1.424381733E-2
2.309133875E0,-2.181473368E-1,-5.099269062E-2,1.235271084E-1
2.319077875E0,-2.082313362E-1,-5.763103455E-2,1.743031597E-1
2.329021875E0,-2.251964477E-1,-8.868179619E-3,1.529935670E-1
2.338965875E0,-2.169974819E-1,5.874405205E-3,1.526883423E-1
2.348909875E0,-1.204196057E-1,-3.888398409E-2,1.544723278E-1
2.358853875E0,-9.599724770E-2,-4.689730078E-2,9.456351042E-2
2.368797875E0,-4.427336276E-2,-3.664333105E-2,7.740485609E-2
2.378742875E0,-6.169894248E-2,-2.982957065E-2,4.805768073E-2
2.388686875E0,-1.102170914E-2,-4.739080578E-2,1.900929809E-2
2.398630875E0,5.688989997E-2,-1.674168938E-1,6.923863471E-2
2.408574875E0,8.993222326E-2,-1.927289057E-1,8.723636448E-2
2.418518875E0,8.528836459E-2,-1.597453469E-1,8.539741516E-2
2.428462875E0,6.091600031E-2,-1.208704260E-1,1.117367828E-1
2.438406875E0,7.270720303E-3,-1.011547843E-1,7.919410408E-2
2.448350875E0,5.424725085E-2,-1.325151560E-1,1.052300012E-1
2.458295875E0,7.195875943E-3,-1.042769051E-1,1.281773990E-1
2.468239875E0,-1.296503127E-2,-1.270038629E-1,1.138838804E-1
2.478183875E0,3.156034648E-2,-1.941693673E-1,1.199766791E-1
2.488127875E0,2.268310368E-2,-1.719379610E-1,8.397946537E-2
2.498071875E0,5.802192092E-2,-2.086432725E-1,8.859584212E-2
2.508015875E0,5.087194562E-2,-2.140876150E-1,3.690528631E-2
2.517959875E0,1.026157111E-1,-2.286147299E-1,1.588337660E-2
2.527903875E0,1.532853431E-1,-2.507446870E-1,-3.366358995E-2
2.537848875E0,1.254970354E-1,-2.240889850E-1,-2.942903638E-2
2.547792875E0,1.541858143E-1,-2.306942922E-1,3.074641407E-2
2.557736875E0,1.792078042E-1,-1.583162874E-1,6.670503616E-3
2.567680875E0,1.592038947E-1,-1.422075006E-1,5.864347994E-2
2.577624875E0,1.993345052E-1,-1.354361326E-1,8.565001488E-2
2.587568875E0,1.820454580E-1,-7.871814072E-2,7.341413140E-2
2.597512875E0,1.151737761E-1,2.143238425E-2,8.216975212E-2
2.607456875E0,7.867604077E-2,8.687880725E-2,1.345637280E-1
2.617401875E0,9.583761871E-2,1.042555627E-1,8.632946134E-2
2.627345875E0,4.869912028E-2,1.796551162E-1,5.845695376E-2
2.637289875E0,3.106859565E-2,1.638255340E-1,-2.591485977E-3
2.647234792E0,1.833160579E-2,2.033430639E-1,-6.826975107E-2
2.657178792E0,3.460908473E-2,1.779740417E-1,-6.989761591E-2
2.667122792E0,-2.021967173E-3,1.842293930E-1,-1.170314366E-1
2.677066792E0,-3.208308756E-2,1.439756986E-1,-1.499173468E-1
2.687011792E0,-6.600278556E-2,9.805575997E-2,-1.170717824E-1
