"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.204766668E-2,-3.184411621E1,1.294068909E1,-1.442072296E1
2.199266668E-2,-3.180164337E1,1.330026245E1,-1.409810638E1
3.193666667E-2,-3.174867630E1,1.367349243E1,-1.368842316E1
4.188066666E-2,-3.160937500E1,1.470452881E1,-1.219171906E1
5.182466668E-2,-3.141828156E1,1.550563240E1,-1.088358307E1
6.176866667E-2,-3.127280045E1,1.622144699E1,-9.703277588E0
7.171266666E-2,-3.110854340E1,1.681507301E1,-8.428962708E0
8.165666668E-2,-3.085193634E1,1.725748062E1,-7.323524475E0
9.160066667E-2,-3.061646271E1,1.773790169E1,-6.116119385E0
1.015446667E-1,-3.025371933E1,1.828578568E1,-4.953361511E0
1.114886667E-1,-3.025371933E1,1.828578568E1,-4.953361511E0
1.214326667E-1,-2.990512085E1,1.883897209E1,-4.020996094E0
1.313776667E-1,-2.937832642E1,1.927798271E1,-3.277374268E0
1.413216667E-1,-2.878948593E1,1.985301590E1,-2.358741760E0
1.512656667E-1,-2.810935974E1,2.053132248E1,-1.768997192E0
1.612096667E-1,-2.745234680E1,2.104970360E1,-1.444076538E0
1.711536667E-1,-2.689620972E1,2.147443008E1,-1.226692200E0
1.810976667E-1,-2.632862091E1,2.188653946E1,-1.005371094E0
1.910416667E-1,-2.599726868E1,2.222793388E1,-6.758041382E-1
2.009856667E-1,-2.572108459E1,2.248722267E1,-6.510467529E-1
2.109296667E-1,-2.539169312E1,2.261474800E1,-5.266342163E-1
2.208736667E-1,-2.515648651E1,2.256377983E1,-4.655838013E-1
2.308176667E-1,-2.501557922E1,2.236645317E1,-4.224319458E-1
2.407616667E-1,-2.502149200E1,2.231948280E1,-4.626541138E-1
2.507066667E-1,-2.504934692E1,2.232940865E1,-4.739303589E-1
2.606506667E-1,-2.501023865E1,2.238071251E1,-3.640289307E-1
2.705946667E-1,-2.494107819E1,2.236884308E1,-2.085266113E-1
2.805386667E-1,-2.489408875E1,2.228882408E1,-4.396057129E-2
2.904826667E-1,-2.496362305E1,2.226725006E1,2.778167725E-1
3.004266667E-1,-2.516989899E1,2.210123444E1,4.617462158E-1
3.103706667E-1,-2.533471680E1,2.186677551E1,6.908569336E-1
3.203146667E-1,-2.537558746E1,2.178144455E1,8.592185974E-1
3.302586667E-1,-2.538777161E1,2.175039101E1,1.291435242E0
3.402026667E-1,-2.535086823E1,2.163273239E1,1.842159271E0
3.501466667E-1,-2.547216034E1,2.153330231E1,2.406044006E0
3.600916667E-1,-2.541220093E1,2.147278976E1,2.850902557E0
3.700356667E-1,-2.542295074E1,2.135576248E1,3.309383392E0
3.799796667E-1,-2.539704132E1,2.131282806E1,3.905635834E0
3.899236667E-1,-2.529399109E1,2.131847763E1,4.502311707E0
3.998676667E-1,-2.524642181E1,2.139732742E1,5.059738159E0
4.098116667E-1,-2.518495178E1,2.124529839E1,5.547962189E0
4.197556667E-1,-2.506727600E1,2.124023438E1,5.964813232E0
4.296996667E-1,-2.507441711E1,2.123790932E1,6.390247345E0
4.396436667E-1,-2.511511993E1,2.128032112E1,6.811325073E0
4.495876667E-1,-2.498843384E1,2.121558762E1,6.748508453E0
