"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686134551684539E9,"2023-06-07 12:42:31.685 UTC+02:00"
"PAUSE",2.059776683335076E1,1.686134572281996E9,"2023-06-07 12:42:52.282 UTC+02:00"
"START",2.059776683335076E1,1.686134586038436E9,"2023-06-07 12:43:06.038 UTC+02:00"
"PAUSE",4.121079516669852E1,1.686134606651154E9,"2023-06-07 12:43:26.651 UTC+02:00"
"START",4.121079516669852E1,1.686134620883794E9,"2023-06-07 12:43:40.884 UTC+02:00"
"PAUSE",6.180074733335641E1,1.686134641473436E9,"2023-06-07 12:44:01.473 UTC+02:00"
"START",6.180074733335641E1,1.686134657737629E9,"2023-06-07 12:44:17.738 UTC+02:00"
"PAUSE",8.239696579167503E1,1.686134678333538E9,"2023-06-07 12:44:38.334 UTC+02:00"
"START",8.239696579167503E1,1.686134692207696E9,"2023-06-07 12:44:52.208 UTC+02:00"
"PAUSE",1.029894025833346E2,1.686134712799823E9,"2023-06-07 12:45:12.800 UTC+02:00"
"START",1.029894025833346E2,1.686134722796951E9,"2023-06-07 12:45:22.797 UTC+02:00"
"PAUSE",1.235796823750134E2,1.686134743386921E9,"2023-06-07 12:45:43.387 UTC+02:00"
"START",1.235796823750134E2,1.686134782104169E9,"2023-06-07 12:46:22.104 UTC+02:00"
"PAUSE",1.441727428750019E2,1.686134802696920E9,"2023-06-07 12:46:42.697 UTC+02:00"
"START",1.441727428750019E2,1.686134815591556E9,"2023-06-07 12:46:55.592 UTC+02:00"
"PAUSE",1.647709188333538E2,1.686134836189423E9,"2023-06-07 12:47:16.189 UTC+02:00"
"START",1.647709188333538E2,1.686134852185457E9,"2023-06-07 12:47:32.185 UTC+02:00"
"PAUSE",1.853634240000392E2,1.686134872777653E9,"2023-06-07 12:47:52.778 UTC+02:00"
"START",1.853634240000392E2,1.686134897391486E9,"2023-06-07 12:48:17.391 UTC+02:00"
"PAUSE",2.059614394167147E2,1.686134917989192E9,"2023-06-07 12:48:37.989 UTC+02:00"
"START",2.059614394167147E2,1.686134952825553E9,"2023-06-07 12:49:12.826 UTC+02:00"
"PAUSE",2.265603886667232E2,1.686134973424192E9,"2023-06-07 12:49:33.424 UTC+02:00"
"START",2.265603886667232E2,1.686135025364736E9,"2023-06-07 12:50:25.365 UTC+02:00"
"PAUSE",2.471607965000439E2,1.686135045964834E9,"2023-06-07 12:50:45.965 UTC+02:00"
"START",2.471607965000439E2,1.686135057866486E9,"2023-06-07 12:50:57.866 UTC+02:00"
"PAUSE",2.677532876250625E2,1.686135078458668E9,"2023-06-07 12:51:18.459 UTC+02:00"
"START",2.677532876250625E2,1.686135095134887E9,"2023-06-07 12:51:35.135 UTC+02:00"
"PAUSE",2.883428750000603E2,1.686135115724165E9,"2023-06-07 12:51:55.724 UTC+02:00"
"START",2.883428750000603E2,1.686135124871369E9,"2023-06-07 12:52:04.871 UTC+02:00"
"PAUSE",3.089344309167354E2,1.686135145462615E9,"2023-06-07 12:52:25.463 UTC+02:00"
"START",3.089344309167354E2,1.686135169042573E9,"2023-06-07 12:52:49.043 UTC+02:00"
"PAUSE",3.295308858334029E2,1.686135189638719E9,"2023-06-07 12:53:09.639 UTC+02:00"
"START",3.295308858334029E2,1.686135218123349E9,"2023-06-07 12:53:38.123 UTC+02:00"
"PAUSE",3.501251783334010E2,1.686135238717332E9,"2023-06-07 12:53:58.717 UTC+02:00"
"START",3.501251783334010E2,1.686135258729033E9,"2023-06-07 12:54:18.729 UTC+02:00"
"PAUSE",3.707201950000890E2,1.686135279323740E9,"2023-06-07 12:54:39.324 UTC+02:00"
"START",3.707201950000890E2,1.686135302739436E9,"2023-06-07 12:55:02.739 UTC+02:00"
"PAUSE",3.913115731667494E2,1.686135323330505E9,"2023-06-07 12:55:23.331 UTC+02:00"
"START",3.913115731667494E2,1.686135358603439E9,"2023-06-07 12:55:58.603 UTC+02:00"
"PAUSE",4.119087908750807E2,1.686135379200347E9,"2023-06-07 12:56:19.200 UTC+02:00"
"START",4.119087908750807E2,1.686135387588445E9,"2023-06-07 12:56:27.588 UTC+02:00"
"PAUSE",4.325029450417496E2,1.686135408182290E9,"2023-06-07 12:56:48.182 UTC+02:00"
