time,seconds_elapsed,dBFS
1686427007327000000,0.029,-65.64981842041016
1686427007427000000,0.129,-62.50756072998047
1686427007528000000,0.23,-64.7442398071289
1686427007628000000,0.33,-67.19658660888672
1686427007745000000,0.447,-66.15718841552734
1686427007845000000,0.547,-67.41815948486328
1686427007962000000,0.663999755859375,-70.0264663696289
1686427008079000000,0.781,-68.83524322509766
1686427008179000000,0.881,-59.27510452270508
1686427008279000000,0.981,-62.677581787109375
1686427008380000000,1.082,-63.52323913574219
1686427008479000000,1.181,-59.824520111083984
1686427008596000000,1.298,-57.22708511352539
1686427008696000000,1.398,-57.862037658691406
1686427008796000000,1.498,-46.909053802490234
1686427008897000000,1.599,-47.94388961791992
1686427008997000000,1.699,-50.71931076049805
1686427009113000000,1.815,-43.909873962402344
1686427009222000000,1.924000244140625,-37.22299575805664
1686427009330000000,2.031999755859375,-38.22663116455078
1686427009430000000,2.132000244140625,-33.90253829956055
1686427009530000000,2.231999755859375,-35.74531555175781
1686427009630000000,2.332000244140625,-33.753475189208984
1686427009730000000,2.431999755859375,-35.88298034667969
1686427009830000000,2.532000244140625,-37.434165954589844
1686427009931000000,2.633,-32.57008743286133
1686427010047000000,2.749,-26.782133102416992
1686427010147000000,2.849,-29.403940200805664
1686427010248000000,2.95,-30.853036880493164
1686427010363000000,3.065,-24.029443740844727
1686427010463000000,3.165,-19.18247413635254
1686427010564000000,3.266,-22.30577278137207
1686427010664000000,3.366,-20.19846534729004
1686427010764000000,3.466,-23.66244125366211
1686427010865000000,3.567,-28.03692626953125
1686427010964000000,3.666,-12.249847412109375
1686427011065000000,3.767,-17.061016082763672
1686427011181000000,3.883,-21.239748001098633
1686427011281000000,3.983,-23.967973709106445
1686427011382000000,4.084000244140625,-27.551393508911133
1686427011481000000,4.183,-29.096176147460938
1686427011582000000,4.284000244140625,-29.407012939453125
1686427011698000000,4.399999755859375,-29.81110382080078
1686427011815000000,4.517,-27.127944946289062
1686427011915000000,4.617,-30.61886978149414
1686427012015000000,4.717,-24.590272903442383
1686427012115000000,4.817,-21.97404670715332
1686427012215000000,4.917,-25.134401321411133
1686427012332000000,5.034,-23.810405731201172
1686427012432000000,5.134,-19.93242835998535
1686427012532000000,5.234,-22.412395477294922
1686427012632000000,5.334,-20.52414321899414
1686427012732000000,5.434,-11.570903778076172
1686427012832000000,5.534,-14.592689514160156
1686427012933000000,5.635,-17.44878387451172
1686427013032000000,5.734,-19.289915084838867
1686427013133000000,5.835,-24.102739334106445
1686427013232000000,5.934,-28.47583770751953
1686427013333000000,6.035,-32.040611267089844
1686427013449000000,6.151,-37.01145935058594
1686427013549000000,6.251,-39.31442642211914
1686427013650000000,6.351999755859375,-36.00318145751953
1686427013766000000,6.468000244140625,-39.75102233886719
1686427013866000000,6.567999755859375,-41.720458984375
1686427013966000000,6.668000244140625,-42.55326843261719
1686427014066000000,6.767999755859375,-45.16960906982422
1686427014168000000,6.87,-47.78670883178711
1686427014268000000,6.97,-49.379432678222656
1686427014383000000,7.085,-47.774200439453125
1686427014483000000,7.185,-49.672645568847656
1686427014584000000,7.286,-50.956764221191406
1686427014684000000,7.386,-48.98232650756836
1686427014784000000,7.486,-48.22068405151367
1686427014900000000,7.602,-45.58509063720703
1686427015000000000,7.702,-39.37955093383789
1686427015101000000,7.803,-41.83586502075195
1686427015201000000,7.903,-44.23619842529297
1686427015302000000,8.004000244140625,-46.6417236328125
1686427015417000000,8.119,-48.11113739013672
1686427015517000000,8.219,-49.77171325683594
1686427015618000000,8.319999755859374,-50.95107650756836
1686427015718000000,8.420000244140626,-49.688472747802734
1686427015819000000,8.521,-51.373130798339844
1686427015918000000,8.620000244140625,-51.29736328125
1686427016034000000,8.735999755859375,-44.65226745605469
1686427016135000000,8.837,-42.335086822509766
1686427016235000000,8.937,-44.29336166381836
1686427016336000000,9.038,-46.50881576538086
1686427016451000000,9.153,-49.88667678833008
1686427016551000000,9.253,-51.563331604003906
1686427016652000000,9.354,-52.79110336303711
1686427016752000000,9.454,-49.823585510253906
1686427016853000000,9.555,-51.812591552734375
1686427016969000000,9.671,-50.106964111328125
1686427017069000000,9.771,-51.51958084106445
1686427017169000000,9.871,-51.81956481933594
1686427017269000000,9.971,-45.67387771606445
1686427017385000000,10.087,-41.837684631347656
1686427017486000000,10.188000244140625,-42.55819320678711
1686427017586000000,10.287999755859374,-37.73042297363281
1686427017686000000,10.388000244140626,-24.09368324279785
1686427017786000000,10.487999755859375,-27.44915008544922
1686427017886000000,10.588000244140625,-28.37980842590332
1686427017987000000,10.689,-30.88743019104004
1686427018086000000,10.788000244140624,-33.003231048583984
1686427018186000000,10.887999755859376,-36.72936248779297
1686427018287000000,10.989,-38.77224349975586
1686427018386000000,11.087999755859375,-37.045291900634766
1686427018486000000,11.188000244140625,-40.825233459472656
1686427018586000000,11.287999755859374,-43.14720153808594
1686427018686000000,11.388000244140626,-44.1717529296875
1686427018787000000,11.489,-42.41783142089844
1686427018887000000,11.589,-38.02397155761719
1686427018987000000,11.689,-39.73463821411133
1686427019087000000,11.789,-42.66043472290039
1686427019187000000,11.889,-46.04178237915039
1686427019287000000,11.989,-48.76041030883789
1686427019404000000,12.106,-50.70518112182617
1686427019504000000,12.206,-51.63384246826172
1686427019604000000,12.306,-52.655948638916016
1686427019704000000,12.406,-54.06476593017578
1686427019827000000,12.529,-41.731510162353516
1686427019937000000,12.639,-32.16445541381836
1686427020038000000,12.740000244140624,-33.87348175048828
1686427020137000000,12.839,-35.31459045410156
1686427020238000000,12.940000244140625,-37.20611572265625
1686427020338000000,13.039999755859375,-37.91859817504883
1686427020438000000,13.140000244140625,-39.3642463684082
1686427020538000000,13.239999755859374,-41.50359344482422
1686427020638000000,13.340000244140626,-44.30360794067383
1686427020738000000,13.439999755859375,-41.2357063293457
1686427020838000000,13.540000244140625,-39.3007926940918
1686427020938000000,13.639999755859375,-35.58919906616211
1686427021038000000,13.740000244140624,-38.16285705566406
1686427021139000000,13.841,-40.85445785522461
1686427021255000000,13.957,-41.71995544433594
1686427021372000000,14.074,-39.57685470581055
1686427021472000000,14.174,-41.034423828125
1686427021572000000,14.274,-39.37628936767578
1686427021672000000,14.374,-41.29335403442383
1686427021772000000,14.474,-43.60759353637695
1686427021872000000,14.574,-45.47406768798828
1686427021972000000,14.674,-47.59955596923828
1686427022089000000,14.791,-27.771577835083008
1686427022189000000,14.891,-29.228239059448242
1686427022289000000,14.991,-31.64227867126465
1686427022389000000,15.091,-34.0133171081543
1686427022489000000,15.191,-27.692646026611328
1686427022606000000,15.308000244140626,-23.199541091918945
1686427022706000000,15.407999755859375,-24.56824493408203
1686427022806000000,15.508000244140625,-26.173519134521484
1686427022906000000,15.607999755859375,-15.080561637878418
1686427023006000000,15.708000244140624,-14.884354591369629
1686427023123000000,15.825,-15.894201278686523
1686427023223000000,15.925,-20.249826431274414
1686427023323000000,16.025,-22.214981079101562
1686427023423000000,16.125,-18.576852798461914
1686427023540000000,16.242,-23.541515350341797
1686427023640000000,16.342,-27.976667404174805
1686427023740000000,16.442,-31.125743865966797
1686427023840000000,16.542,-35.62030792236328
1686427023940000000,16.642,-40.000572204589844
1686427024040000000,16.742,-43.1988639831543
1686427024157000000,16.859,-46.49742889404297
1686427024257000000,16.959,-47.55095672607422
1686427024357000000,17.059,-46.48040008544922
1686427024457000000,17.159,-48.21770095825195
1686427024557000000,17.259,-48.654380798339844
1686427024674000000,17.375999755859375,-45.24711227416992
1686427024774000000,17.476000244140625,-40.22463607788086
1686427024874000000,17.575999755859375,-42.70134735107422
1686427024991000000,17.693,-46.074684143066406
1686427025091000000,17.793,-48.23812484741211
1686427025191000000,17.893,-46.662532806396484
1686427025291000000,17.993,-48.71858596801758
1686427025408000000,18.11,-50.33003616333008
1686427025508000000,18.21,-47.40724182128906
1686427025608000000,18.31,-49.972129821777344
1686427025708000000,18.41,-51.532684326171875
1686427025808000000,18.51,-51.26958465576172
1686427025908000000,18.61,-51.08425521850586
1686427026008000000,18.71,-49.48588943481445
1686427026108000000,18.81,-49.83419418334961
1686427026225000000,18.927,-50.56053924560547
1686427026325000000,19.027,-50.05674362182617
1686427026425000000,19.127,-47.72959518432617
1686427026525000000,19.227,-47.25017166137695
1686427026625000000,19.327,-48.5785026550293
1686427026725000000,19.427,-50.407527923583984
1686427026825000000,19.527,-51.7703857421875
1686427026926000000,19.628000244140626,-49.75565719604492
1686427027025000000,19.727,-51.04692459106445
1686427027126000000,19.828000244140625,-50.70496368408203
1686427027234000000,19.935999755859374,-47.98881530761719
1686427027342000000,20.044000244140626,-40.400146484375
1686427027443000000,20.145,-41.028770446777344
1686427027542000000,20.244000244140626,-43.7924919128418
1686427027643000000,20.345,-46.40512466430664
1686427027759000000,20.461,-47.8133544921875
1686427027859000000,20.561,-43.3966178894043
1686427027960000000,20.662,-43.791629791259766
1686427028060000000,20.762,-43.55835723876953
