time,seconds_elapsed,dBFS
1686334888741000000,0.039,-71.2413558959961
1686334888841000000,0.139,-60.90082550048828
1686334888941000000,0.239,-63.68148422241211
1686334889043000000,0.341,-59.13694381713867
1686334889142000000,0.440000244140625,-61.012935638427734
1686334889243000000,0.541,-57.88322830200195
1686334889359000000,0.657,-58.42982482910156
1686334889459000000,0.757,-50.106658935546875
1686334889575000000,0.873,-52.30797576904297
1686334889676000000,0.974,-54.09804916381836
1686334889776000000,1.074,-55.790382385253906
1686334889876000000,1.174,-52.84440612792969
1686334889976000000,1.274,-48.66331481933594
1686334890076000000,1.374,-51.33200454711914
1686334890176000000,1.474,-52.953514099121094
1686334890276000000,1.574,-54.223087310791016
1686334890377000000,1.675,-54.98086929321289
1686334890476000000,1.774,-52.55565643310547
1686334890593000000,1.891,-53.651424407958984
1686334890693000000,1.991,-51.13203430175781
1686334890793000000,2.091,-51.36189270019531
1686334890893000000,2.191,-52.7956657409668
1686334890998000000,2.296000244140625,-42.2474365234375
1686334891109000000,2.407,-45.207706451416016
1686334891209000000,2.507,-46.71668243408203
1686334891309000000,2.607,-45.47246170043945
1686334891409000000,2.707,-44.146297454833984
1686334891509000000,2.807,-40.47971725463867
1686334891610000000,2.907999755859375,-43.82304000854492
1686334891726000000,3.024000244140625,-46.87184524536133
1686334891826000000,3.123999755859375,-48.91570281982422
1686334891927000000,3.225,-46.86425018310547
1686334892026000000,3.323999755859375,-48.00746154785156
1686334892127000000,3.425,-45.263641357421875
1686334892244000000,3.542,-48.70254135131836
1686334892343000000,3.641,-48.936668395996094
1686334892443000000,3.741,-48.12621307373047
1686334892552000000,3.85,-36.54542922973633
1686334892661000000,3.959,-39.549320220947266
1686334892777000000,4.075,-32.447383880615234
1686334892878000000,4.176000244140625,-35.96559143066406
1686334892978000000,4.275999755859375,-35.42323684692383
1686334893078000000,4.376000244140625,-35.21126174926758
1686334893178000000,4.475999755859375,-38.14226531982422
1686334893278000000,4.576000244140625,-20.845516204833984
1686334893378000000,4.675999755859375,-25.408376693725586
1686334893478000000,4.776000244140625,-29.260168075561523
1686334893578000000,4.875999755859375,-33.290225982666016
1686334893678000000,4.976000244140625,-37.40898895263672
1686334893779000000,5.077,-41.19753646850586
1686334893878000000,5.176000244140625,-44.49449920654297
1686334893995000000,5.293,-47.48472213745117
1686334894095000000,5.393,-47.69049835205078
1686334894195000000,5.493,-37.42538070678711
1686334894295000000,5.593,-40.5567741394043
1686334894395000000,5.693,-43.289188385009766
1686334894512000000,5.81,-46.6235237121582
