"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-8.652916586E-4,-7.925718384E0,-4.159699860E0,9.443262634E0
9.079708339E-3,-5.785618744E0,-3.070115662E0,9.584269409E0
1.902470834E-2,-4.293820953E0,-3.310665436E0,1.074899734E1
2.897070834E-2,-3.716920624E0,-4.233197021E0,1.137664215E1
3.891570834E-2,-4.063300323E0,-5.007387085E0,1.059526703E1
4.886070834E-2,-4.785398712E0,-6.007906494E0,9.211245117E0
5.880670834E-2,-6.452931061E0,-6.940467224E0,7.859855347E0
6.875170834E-2,-8.451275482E0,-7.141349487E0,6.050867157E0
7.869670834E-2,-1.048584457E1,-7.174730072E0,4.273463287E0
8.864170834E-2,-1.206715622E1,-7.201075287E0,2.552342377E0
9.858770834E-2,-1.284194504E1,-7.090904388E0,1.413809967E0
1.085327083E-1,-1.272279282E1,-7.124135284E0,7.777825928E-1
1.184777083E-1,-1.227552292E1,-7.138804779E0,6.137237549E-2
1.284237083E-1,-1.175430679E1,-6.824907532E0,-3.263214111E-2
1.383687083E-1,-1.022628433E1,-6.837481384E0,2.967578888E0
1.483137083E-1,-8.468040619E0,-5.735622711E0,6.824009399E0
1.582597083E-1,-8.726702728E0,-4.713847504E0,3.502865753E0
1.682047083E-1,-7.519313507E0,-3.054398346E0,6.155050507E0
1.781497083E-1,-7.145241394E0,-3.030897217E0,6.652765503E0
1.880957083E-1,-7.347021790E0,-3.338806915E0,4.524042206E0
1.980407083E-1,-7.357050934E0,-3.918850708E0,2.652633820E0
2.079857083E-1,-7.124284973E0,-4.675676880E0,1.959575043E0
2.179307083E-1,-6.743327179E0,-4.655169525E0,2.554438019E0
2.278767083E-1,-6.319558411E0,-3.867806854E0,3.005150757E0
2.378217083E-1,-5.951324158E0,-3.233875122E0,3.319048004E0
2.477667083E-1,-6.045927429E0,-3.127596130E0,3.130739594E0
2.577127083E-1,-5.823340302E0,-2.934497681E0,3.578608246E0
2.676577083E-1,-5.585335236E0,-2.348915405E0,3.309767303E0
2.776027083E-1,-5.591921539E0,-1.717827759E0,2.142494659E0
2.875487084E-1,-5.340594177E0,-1.019230499E0,1.719923401E0
