"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.592708349E-3,-1.617068410E0,2.246782541E0,3.570483029E-1
1.653870833E-2,-1.441965222E0,1.912093401E0,6.604558975E-2
2.648370832E-2,-1.131549835E0,1.605805397E0,-2.457559854E-1
3.642870835E-2,-8.235978484E-1,1.220520139E0,-5.399323106E-1
4.637470833E-2,-6.188489795E-1,9.401385188E-1,-7.655411959E-1
5.631970832E-2,-5.716786981E-1,8.660402298E-1,-8.695933223E-1
6.626470835E-2,-7.071254253E-1,8.957749605E-1,-8.339772820E-1
7.620970835E-2,-1.022769213E0,1.036199927E0,-6.481547952E-1
8.615570833E-2,-1.490156412E0,1.168014407E0,-3.796261549E-1
9.610070832E-2,-1.980381608E0,1.240063310E0,-6.998107582E-2
1.060457084E-1,-2.447319984E0,1.169994831E0,2.127960324E-1
1.159917083E-1,-2.853376150E0,9.017646313E-1,3.339985609E-1
1.259367083E-1,-3.112526417E0,1.354539514E0,2.970876992E-1
1.358817083E-1,-2.860522985E0,2.078125000E0,5.357339978E-2
1.458277083E-1,-1.843571663E0,2.617093563E0,-3.937231600E-1
1.557727083E-1,-1.372066140E0,2.268076897E0,-6.602987051E-1
1.657177083E-1,-3.118603826E-1,2.500750303E0,-1.016297340E0
1.756637083E-1,3.508532643E-1,2.432986736E0,-1.146795869E0
1.856087083E-1,5.960512757E-1,2.147673130E0,-1.139492989E0
1.955537083E-1,3.340507150E-1,1.874586105E0,-1.021274805E0
2.054987083E-1,-2.081992328E-1,1.727659583E0,-8.797568083E-1
2.154447083E-1,-7.132689953E-1,1.557915688E0,-7.110050917E-1
2.253897083E-1,-1.111366272E0,1.170426846E0,-5.225201845E-1
2.353347083E-1,-1.427655220E0,7.320536375E-1,-2.836421728E-1
2.452807083E-1,-1.667958975E0,2.850540578E-1,-1.967816986E-2
2.552257083E-1,-1.824221015E0,6.859061122E-2,2.377329022E-1
2.651707083E-1,-1.951185703E0,-2.558236718E-1,4.468914568E-1
2.751167083E-1,-2.041682959E0,-7.042130232E-1,6.593633890E-1
2.850617083E-1,-2.068714142E0,-1.032211185E0,8.694908023E-1
2.950067083E-1,-2.046913862E0,-1.242091417E0,1.061238170E0
3.049527083E-1,-1.965876818E0,-1.451435924E0,1.159526944E0
3.148977083E-1,-1.897030830E0,-1.585151196E0,1.115005016E0
3.248427083E-1,-1.876467228E0,-1.652743816E0,9.944009185E-1
3.347877083E-1,-1.818384051E0,-1.581944108E0,9.873294830E-1
3.447337083E-1,-1.649607658E0,-1.449768543E0,1.076359272E0
3.546787083E-1,-1.249770045E0,-1.309768319E0,1.098084688E0
