"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.592708349E-3,-2.836168563E-1,-7.025169405E-1,4.355800270E0
1.653870833E-2,1.966567728E0,4.469936165E-1,4.708856320E0
2.648370832E-2,3.539529549E0,2.747501385E-1,6.056501534E0
3.642870835E-2,4.166941051E0,-5.721731481E-1,6.829364864E0
4.637470833E-2,3.844067159E0,-1.262832520E0,6.158154793E0
5.631970832E-2,3.130027403E0,-2.172953683E0,4.866675887E0
6.626470835E-2,1.466581088E0,-3.010810862E0,3.608357125E0
7.620970835E-2,-5.212061852E-1,-3.117114119E0,1.908931431E0
8.615570833E-2,-2.531831514E0,-3.059036942E0,2.696086818E-1
9.610070832E-2,-4.075224550E0,-2.999677178E0,-1.283459158E0
1.060457084E-1,-4.801868564E0,-2.813243677E0,-2.232407295E0
1.159917083E-1,-4.632868245E0,-2.776101579E0,-2.669510930E0
1.259367083E-1,-4.135739139E0,-2.717047917E0,-3.167884616E0
1.358817083E-1,-3.553460541E0,-2.325333585E0,-2.988314576E0
1.458277083E-1,-1.966519196E0,-2.257882151E0,3.143422204E-1
1.557727083E-1,-1.715409350E-1,-1.072613239E0,4.444820620E0
1.657177083E-1,-4.159639049E-1,3.834574789E-2,1.361747236E0
1.756637083E-1,7.895635629E-1,1.787592935E0,4.217582617E0
1.856087083E-1,1.149983597E0,1.896846113E0,4.879999645E0
1.955537083E-1,9.285916400E-1,1.669899302E0,2.892112384E0
2.054987083E-1,8.988363290E-1,1.166699032E0,1.164810235E0
2.154447083E-1,1.113960655E0,4.820070362E-1,6.307735048E-1
2.253897083E-1,1.480182881E0,5.644428366E-1,1.385833379E0
2.353347083E-1,1.893131962E0,1.398955116E0,1.980927320E0
2.452807083E-1,2.258172466E0,2.060013251E0,2.416268313E0
2.552257083E-1,2.170873536E0,2.172009650E0,2.334211412E0
2.651707083E-1,2.411110484E0,2.350801717E0,2.874665462E0
2.751167083E-1,2.674939778E0,2.904290380E0,2.671176510E0
2.850617083E-1,2.702622251E0,3.485256279E0,1.538701231E0
2.950067083E-1,2.996966409E0,4.116020574E0,1.128003986E0
3.049527083E-1,3.522346337E0,4.551268011E0,8.174126816E-1
3.148977083E-1,3.942769913E0,4.722496120E0,4.016797417E-1
3.248427083E-1,4.402696694E0,4.566751731E0,1.678986313E-1
3.347877083E-1,4.251576574E0,3.871094451E0,1.367996302E-1
3.447337083E-1,3.443257483E0,3.410831748E0,6.888137714E-1
3.546787083E-1,2.407931938E0,3.023218653E0,1.379475701E0
3.646237083E-1,2.041798589E0,3.744637595E0,2.412231395E0
3.745697083E-1,2.311440015E0,4.952045528E0,2.947909439E0
3.845147083E-1,2.546841316E0,5.311360438E0,2.976658444E0
3.944597083E-1,2.389964029E0,5.506922904E0,1.879274061E0
4.044057083E-1,1.646440272E0,5.382291257E0,4.630391803E-1
4.143507083E-1,7.154004031E-1,4.496389261E0,-3.824951003E-1
4.242957083E-1,-2.019686759E-1,3.355790446E0,-5.641709411E-1
4.342417083E-1,-7.096438193E-1,2.241639756E0,-7.992676020E-2
4.441867083E-1,-4.430096161E-1,8.086351338E-1,-1.349689985E0
4.541317083E-1,3.267096663E-1,-8.330925751E-1,-2.921315718E0
4.640767083E-1,9.253832728E-1,-1.770155369E0,-1.618218247E0
4.740227083E-1,7.112705147E-1,-1.973594327E0,1.342286094E-1
4.839677083E-1,-3.627226675E-1,-3.428084835E0,5.354435706E-1
4.939127083E-1,-1.268733530E0,-6.522577831E0,6.560932642E-1
5.038587083E-1,-4.800604981E-1,-6.254880604E0,1.172062537E0
5.138037083E-1,2.044452640E0,3.644046483E0,-1.869719126E0
5.237487083E-1,-5.250162309E-1,1.451421305E0,-9.458363946E-1
5.336947083E-1,-1.931719492E0,-1.066041261E0,1.010487596E0
5.436397083E-1,-2.611539003E0,-1.222644022E-1,-7.076984507E-1
5.535847083E-1,-4.134556832E0,-4.655108714E0,-1.105045844E0
5.635307083E-1,-3.209823185E0,-4.757451945E0,-3.245417526E0
5.734757083E-1,-1.990991548E0,-4.284974993E0,2.707658458E-1
5.834207083E-1,-1.858283726E0,-3.975882988E0,5.609913714E-1
5.933667083E-1,-1.829612489E0,-2.569521789E0,6.097574423E-1
6.033117083E-1,-1.642026794E0,-1.723623519E0,8.843116991E-1
6.132567083E-1,-1.513032539E0,-6.405148199E-1,6.219928873E-1
6.232017083E-1,-1.335156146E0,-5.541230857E-2,4.944006483E-1
6.331477083E-1,-8.663258100E-1,3.110657331E-1,3.145176369E-1
6.430927083E-1,-2.129351288E-1,5.424953127E-1,1.161647038E0
6.530377083E-1,1.136501087E0,2.349896568E-1,1.011501503E0
6.629837083E-1,1.663423510E0,-5.191801250E-2,1.369552392E-1
6.729287083E-1,1.954671568E0,-1.751118296E-1,-1.006583557E-2
6.828737083E-1,1.674336753E0,-4.926220715E-1,-4.028614640E-2
6.928197083E-1,1.239004532E0,-5.756759226E-2,2.483056672E-1
7.027647083E-1,1.388891473E0,1.169863545E0,4.400877625E-1
7.127097083E-1,8.087827760E-1,4.832616733E0,4.982277241E-1
7.226557083E-1,4.052336209E0,4.769953877E0,-2.076346278E-1
7.326007083E-1,5.004911374E0,4.813706253E0,-6.381424583E-2
7.425457083E-1,1.069516554E0,2.954427330E0,1.419112222E0
7.524917084E-1,-1.864119832E0,7.836403334E-1,1.842545360E-1
7.624367083E-1,-3.763297815E0,-7.096145833E-1,-1.756080244E0
7.723817083E-1,-4.129190843E0,-3.274269442E0,-9.625820893E-1
7.823267083E-1,-4.711684619E0,-4.703755794E0,8.113413714E-2
7.922727083E-1,-4.478920997E0,-4.198738795E0,-2.357233362E-1
8.022177083E-1,-2.877576206E0,-2.652162534E0,-4.291357814E-1
8.121627083E-1,-1.274678394E0,-8.493256152E-1,-2.486862478E-1
8.221087084E-1,-7.093549669E-1,5.414732194E-1,-1.391508687E-1
8.320537083E-1,-6.341948569E-1,1.521023929E0,-8.160915032E-2
8.419987083E-1,-4.547964334E-1,2.146933866E0,8.020084843E-2
8.519447083E-1,2.727761185E-1,1.789883582E0,4.010235380E-1
8.618897084E-1,6.993275768E-1,1.101441767E0,1.024697061E0
8.718347083E-1,5.854969060E-1,4.581433797E-1,1.202486769E0
8.817807083E-1,3.511054194E-1,2.836250424E-2,7.448563367E-1
8.917257083E-1,6.714644247E-1,-7.285583925E-1,3.476970774E-1
9.016707084E-1,6.629929787E-1,-1.064364572E0,5.206566931E-1
9.116157083E-1,3.076144141E-1,-1.034153178E0,4.305532926E-1
9.215617083E-1,3.628548145E-2,-6.498425907E-1,2.462917399E-1
9.315067084E-1,-2.820199817E-1,3.056064802E-1,2.391628146E-1
9.414517083E-1,-4.512997985E-1,9.172889721E-1,1.366658020E-1
9.513977083E-1,-6.106878805E-1,8.878248525E-1,-3.844778180E-2
9.613427083E-1,-7.526863432E-1,6.590712512E-1,-5.560716704E-2
9.712877084E-1,-7.845975226E-1,1.419756585E-1,-2.576867938E-3
9.812334167E-1,-6.080385071E-1,-7.753466427E-1,7.380516395E-2
9.911784167E-1,-2.844296193E-1,-1.771171322E0,1.234696595E-1
1.001123417E0,1.620316082E-1,-1.119659936E0,1.676342641E-1
1.011069417E0,3.015727785E-1,-6.174262118E-1,-2.866673487E-1
1.021014417E0,5.739091864E-1,-1.113486446E0,4.992294252E-2
1.030959417E0,9.853979248E-1,-2.116801994E0,3.126605612E-1
1.040905417E0,1.332809950E0,-8.049060720E-1,9.358702540E-2
1.050850417E0,9.922037914E-1,7.385600549E-1,-4.940385595E-2
1.060795417E0,1.602815366E-1,9.665389001E-1,-1.394166246E-2
1.070740417E0,-4.284021020E-1,1.350101629E0,1.998828278E-1
