"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.592708349E-3,2.640779877E1,6.094055176E0,-3.655780029E1
1.653870833E-2,2.681363678E1,6.378768921E0,-3.627631378E1
2.648370832E-2,2.716142273E1,6.610050201E0,-3.593085480E1
3.642870835E-2,2.817004395E1,7.351135254E0,-3.491792297E1
4.637470833E-2,2.870406342E1,7.886314392E0,-3.442204285E1
5.631970832E-2,2.924856567E1,8.557674408E0,-3.391529083E1
6.626470835E-2,2.951921844E1,9.043777466E0,-3.354749298E1
7.620970835E-2,2.983840179E1,9.459609985E0,-3.328377533E1
8.615570833E-2,3.015657043E1,1.004821014E1,-3.280120850E1
9.610070832E-2,3.037825012E1,1.046236801E1,-3.219390106E1
1.060457084E-1,3.051636505E1,1.115722656E1,-3.158396149E1
1.159917083E-1,3.067880249E1,1.176223373E1,-3.116191101E1
1.259367083E-1,3.089727020E1,1.242572021E1,-3.051867676E1
1.358817083E-1,3.098838806E1,1.316719818E1,-2.981134033E1
1.458277083E-1,3.123580170E1,1.400034332E1,-2.920687866E1
1.557727083E-1,3.146727753E1,1.488646698E1,-2.815248108E1
1.657177083E-1,3.182003021E1,1.570624161E1,-2.695716095E1
1.756637083E-1,3.215005493E1,1.641876984E1,-2.599432373E1
1.856087083E-1,3.244345856E1,1.714772415E1,-2.501815033E1
1.955537083E-1,3.281813812E1,1.762958527E1,-2.416978455E1
2.054987083E-1,3.319150543E1,1.810839844E1,-2.344818115E1
2.154447083E-1,3.340119171E1,1.845097542E1,-2.284638977E1
2.253897083E-1,3.358837128E1,1.889911842E1,-2.240720367E1
2.353347083E-1,3.378060150E1,1.929639816E1,-2.167746735E1
2.452807083E-1,3.387137604E1,1.973146820E1,-2.107327271E1
2.552257083E-1,3.395001221E1,2.003814697E1,-2.037841797E1
2.651707083E-1,3.392166901E1,2.040262032E1,-1.988486481E1
2.751167083E-1,3.398634338E1,2.080457878E1,-1.937224579E1
2.850617083E-1,3.401950836E1,2.111057663E1,-1.898733521E1
2.950067083E-1,3.402066803E1,2.138696098E1,-1.872048187E1
3.049527083E-1,3.410519409E1,2.150083733E1,-1.866648865E1
3.148977083E-1,3.410746002E1,2.148290443E1,-1.852069092E1
3.248427083E-1,3.402659607E1,2.145173264E1,-1.847203064E1
3.347877083E-1,3.395948792E1,2.138455772E1,-1.871977997E1
3.447337083E-1,3.393210602E1,2.140576363E1,-1.874475861E1
3.546787083E-1,3.393210602E1,2.140576363E1,-1.874475861E1
3.646237083E-1,3.393183136E1,2.147457695E1,-1.901654053E1
3.745697083E-1,3.387385559E1,2.140384293E1,-1.927024841E1
3.845147083E-1,3.380970001E1,2.129388428E1,-1.944947815E1
3.944597083E-1,3.385733795E1,2.108108711E1,-1.957927704E1
4.044057083E-1,3.387984467E1,2.077714157E1,-1.986437225E1
4.143507083E-1,3.393521881E1,2.058462906E1,-2.002172852E1
4.242957083E-1,3.395835876E1,2.045038223E1,-2.019845581E1
4.342417083E-1,3.394232941E1,2.037323570E1,-2.026039124E1
4.441867083E-1,3.391382599E1,2.010302734E1,-2.046488953E1
4.541317083E-1,3.409767151E1,1.985332489E1,-2.062931824E1
4.640767083E-1,3.408128357E1,1.961773109E1,-2.075626373E1
4.740227083E-1,3.410978699E1,1.933141899E1,-2.096432495E1
4.839677083E-1,3.414296722E1,1.901173401E1,-2.111930084E1
4.939127083E-1,3.434004211E1,1.866042519E1,-2.117153168E1
5.038587083E-1,3.437433624E1,1.825567436E1,-2.144663239E1
5.138037083E-1,3.445009613E1,1.777467346E1,-2.158360291E1
5.237487083E-1,3.440121460E1,1.734318542E1,-2.171268463E1
5.336947083E-1,3.445236969E1,1.717762184E1,-2.203656769E1
5.436397083E-1,3.432646179E1,1.722573280E1,-2.216387177E1
5.535847083E-1,3.427497864E1,1.728218269E1,-2.214322662E1
5.635307083E-1,3.419544220E1,1.764120865E1,-2.218711090E1
5.734757083E-1,3.411075592E1,1.792869949E1,-2.193015289E1
5.834207083E-1,3.414833832E1,1.816333580E1,-2.176744080E1
5.933667083E-1,3.401020813E1,1.857066154E1,-2.175955200E1
6.033117083E-1,3.379543304E1,1.891777992E1,-2.179916382E1
6.132567083E-1,3.351152039E1,1.934125900E1,-2.182781982E1
6.232017083E-1,3.327998352E1,1.985151863E1,-2.164953613E1
6.331477083E-1,3.304840851E1,2.032842636E1,-2.157862854E1
6.430927083E-1,3.278527069E1,2.101350594E1,-2.156143951E1
6.530377083E-1,3.236286926E1,2.161792374E1,-2.145545197E1
6.629837083E-1,3.192994690E1,2.228591347E1,-2.142942047E1
6.729287083E-1,3.141165924E1,2.304719925E1,-2.144924927E1
6.828737083E-1,3.083467102E1,2.378978920E1,-2.160012054E1
6.928197083E-1,3.028475189E1,2.442723274E1,-2.169893646E1
7.027647083E-1,2.971143341E1,2.499876022E1,-2.199667358E1
7.127097083E-1,2.927061462E1,2.546821594E1,-2.212390137E1
7.226557083E-1,2.887978363E1,2.592555237E1,-2.192884064E1
7.326007083E-1,2.874918365E1,2.653552628E1,-2.161536407E1
7.425457083E-1,2.875197601E1,2.695633507E1,-2.105120087E1
7.524917084E-1,2.863728333E1,2.739826584E1,-2.060201263E1
7.624367083E-1,2.832318878E1,2.787634468E1,-2.030867004E1
7.723817083E-1,2.797747040E1,2.837776947E1,-2.007437134E1
7.823267083E-1,2.758526611E1,2.888524818E1,-2.020393372E1
7.922727083E-1,2.718357086E1,2.925354767E1,-2.041179657E1
8.022177083E-1,2.677329254E1,2.934080505E1,-2.090097046E1
8.121627083E-1,2.655268860E1,2.941473961E1,-2.119833374E1
8.221087084E-1,2.634358978E1,2.943598938E1,-2.150768280E1
8.320537083E-1,2.611738586E1,2.933267975E1,-2.196852875E1
8.419987083E-1,2.578620148E1,2.918440247E1,-2.240349579E1
8.519447083E-1,2.539906311E1,2.899362373E1,-2.311992645E1
8.618897084E-1,2.527952576E1,2.857657623E1,-2.369065094E1
8.718347083E-1,2.526889038E1,2.831875610E1,-2.425726318E1
8.817807083E-1,2.515558624E1,2.788024902E1,-2.475390625E1
8.917257083E-1,2.506504059E1,2.752884102E1,-2.515080261E1
9.016707084E-1,2.505538940E1,2.737429047E1,-2.524699402E1
9.116157083E-1,2.486519623E1,2.756584930E1,-2.531442261E1
9.215617083E-1,2.454540253E1,2.777098846E1,-2.533312988E1
9.315067084E-1,2.429228210E1,2.797765541E1,-2.550885773E1
