"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686146778600402E9,"2023-06-07 16:06:18.600 UTC+02:00"
"PAUSE",2.059354283334687E1,1.686146799193397E9,"2023-06-07 16:06:39.193 UTC+02:00"
"START",2.059354283334687E1,1.686146812373661E9,"2023-06-07 16:06:52.374 UTC+02:00"
"PAUSE",4.120820954168448E1,1.686146832987780E9,"2023-06-07 16:07:12.988 UTC+02:00"
"START",4.120820954168448E1,1.686146852601402E9,"2023-06-07 16:07:32.601 UTC+02:00"
"PAUSE",6.180884054166381E1,1.686146873201485E9,"2023-06-07 16:07:53.201 UTC+02:00"
"START",6.180884054166381E1,1.686146885329644E9,"2023-06-07 16:08:05.330 UTC+02:00"
"PAUSE",8.240744341665413E1,1.686146905927700E9,"2023-06-07 16:08:25.928 UTC+02:00"
"START",8.240744341665413E1,1.686146923390185E9,"2023-06-07 16:08:43.390 UTC+02:00"
"PAUSE",1.030019565416733E2,1.686146943984150E9,"2023-06-07 16:09:03.984 UTC+02:00"
"START",1.030019565416733E2,1.686146968411914E9,"2023-06-07 16:09:28.412 UTC+02:00"
"PAUSE",1.236008670833544E2,1.686146989010277E9,"2023-06-07 16:09:49.010 UTC+02:00"
"START",1.236008670833544E2,1.686147010030983E9,"2023-06-07 16:10:10.031 UTC+02:00"
"PAUSE",1.441768960416957E2,1.686147030606464E9,"2023-06-07 16:10:30.606 UTC+02:00"
"START",1.441768960416957E2,1.686147106890531E9,"2023-06-07 16:11:46.891 UTC+02:00"
"PAUSE",1.647761242500274E2,1.686147127489211E9,"2023-06-07 16:12:07.489 UTC+02:00"
"START",1.647761242500274E2,1.686147141012334E9,"2023-06-07 16:12:21.012 UTC+02:00"
"PAUSE",1.853683451667021E2,1.686147161604007E9,"2023-06-07 16:12:41.604 UTC+02:00"
"START",1.853683451667021E2,1.686147172403134E9,"2023-06-07 16:12:52.403 UTC+02:00"
"PAUSE",2.059601034583757E2,1.686147192994345E9,"2023-06-07 16:13:12.994 UTC+02:00"
"START",2.059601034583757E2,1.686147211688332E9,"2023-06-07 16:13:31.688 UTC+02:00"
"PAUSE",2.265727523333917E2,1.686147232300433E9,"2023-06-07 16:13:52.300 UTC+02:00"
"START",2.265727523333917E2,1.686147389246441E9,"2023-06-07 16:16:29.246 UTC+02:00"
"PAUSE",2.471610243750620E2,1.686147409834166E9,"2023-06-07 16:16:49.834 UTC+02:00"
"START",2.471610243750620E2,1.686147428534417E9,"2023-06-07 16:17:08.534 UTC+02:00"
"PAUSE",2.677502203333715E2,1.686147449123065E9,"2023-06-07 16:17:29.123 UTC+02:00"
"START",2.677502203333715E2,1.686147462237069E9,"2023-06-07 16:17:42.237 UTC+02:00"
"PAUSE",2.883622513750452E2,1.686147482848551E9,"2023-06-07 16:18:02.849 UTC+02:00"
"START",2.883622513750452E2,1.686147511917818E9,"2023-06-07 16:18:31.918 UTC+02:00"
"PAUSE",3.089540810833569E2,1.686147532509099E9,"2023-06-07 16:18:52.509 UTC+02:00"
"START",3.089540810833569E2,1.686147543112947E9,"2023-06-07 16:19:03.113 UTC+02:00"
"PAUSE",3.295687455416773E2,1.686147563727063E9,"2023-06-07 16:19:23.727 UTC+02:00"
"START",3.295687455416773E2,1.686147637875802E9,"2023-06-07 16:20:37.876 UTC+02:00"
"PAUSE",3.501857428750082E2,1.686147658492251E9,"2023-06-07 16:20:58.492 UTC+02:00"
"START",3.501857428750082E2,1.686147675518579E9,"2023-06-07 16:21:15.519 UTC+02:00"
"PAUSE",3.707745155000011E2,1.686147696106804E9,"2023-06-07 16:21:36.107 UTC+02:00"
"START",3.707745155000011E2,1.686147738372697E9,"2023-06-07 16:22:18.373 UTC+02:00"
"PAUSE",3.913721775416634E2,1.686147758969811E9,"2023-06-07 16:22:38.970 UTC+02:00"
"START",3.913721775416634E2,1.686147770930071E9,"2023-06-07 16:22:50.930 UTC+02:00"
"PAUSE",4.119700982499926E2,1.686147791527444E9,"2023-06-07 16:23:11.527 UTC+02:00"
