time,seconds_elapsed,dBFS
1686426756860000000,0.032,-67.24955749511719
1686426756960000000,0.132,-68.90056610107422
1686426757060000000,0.232,-64.9012680053711
1686426757161000000,0.333,-61.518333435058594
1686426757260000000,0.432,-60.84341049194336
1686426757361000000,0.533,-53.527587890625
1686426757477000000,0.649,-55.477901458740234
1686426757578000000,0.749999755859375,-58.044471740722656
1686426757677000000,0.849,-60.295997619628906
1686426757778000000,0.949999755859375,-61.07270431518555
1686426757878000000,1.050000244140625,-47.28864288330078
1686426757995000000,1.167,-42.075889587402344
1686426758095000000,1.267,-43.8486328125
1686426758195000000,1.367,-39.350128173828125
1686426758295000000,1.467,-38.84701156616211
1686426758395000000,1.567,-30.163330078125
1686426758495000000,1.667,-19.467103958129883
1686426758595000000,1.767,-21.303552627563477
1686426758695000000,1.867,-15.687795639038086
1686426758800000000,1.972,-16.609619140625
1686426758898000000,2.069999755859375,-20.86964988708496
1686426758996000000,2.168,-23.763334274291992
1686426759097000000,2.269,-20.143064498901367
1686426759197000000,2.369,-24.451601028442383
1686426759296000000,2.468,-27.69051742553711
1686426759412000000,2.584,-25.502246856689453
1686426759516000000,2.688,-29.1912784576416
1686426759612000000,2.784,-31.98015022277832
1686426759712000000,2.884,-35.71889114379883
1686426759813000000,2.985,-38.60474395751953
1686426759929000000,3.101,-34.153629302978516
1686426760029000000,3.201,-26.655515670776367
1686426760129000000,3.301,-29.28939437866211
1686426760230000000,3.402000244140625,-28.922245025634766
1686426760330000000,3.501999755859375,-28.794063568115234
1686426760446000000,3.618000244140625,-27.416908264160156
1686426760546000000,3.717999755859375,-29.550058364868164
1686426760647000000,3.819,-32.12507629394531
1686426760755000000,3.927,-32.35322189331055
1686426760864000000,4.036,-25.763214111328125
1686426760963000000,4.135,-29.38324546813965
1686426761064000000,4.236,-33.51454162597656
1686426761164000000,4.336,-37.118507385253906
1686426761264000000,4.436,-22.671398162841797
1686426761365000000,4.537,-26.62351417541504
1686426761481000000,4.653,-30.882144927978516
1686426761581000000,4.753,-32.935394287109375
1686426761681000000,4.853,-33.05979919433594
1686426761781000000,4.953,-31.947124481201172
1686426761882000000,5.053999755859375,-34.06130599975586
1686426761981000000,5.153,-30.233375549316406
1686426762098000000,5.269999755859375,-33.4141731262207
1686426762199000000,5.371,-35.05697250366211
1686426762298000000,5.469999755859375,-36.928184509277344
1686426762399000000,5.571,-34.7766227722168
1686426762498000000,5.669999755859375,-35.762481689453125
1686426762598000000,5.770000244140625,-36.412071228027344
1686426762698000000,5.869999755859375,-32.50593185424805
1686426762798000000,5.970000244140625,-35.19899368286133
1686426762898000000,6.069999755859375,-35.79257583618164
1686426762999000000,6.171,-30.29273223876953
1686426763099000000,6.271,-27.466421127319336
1686426763199000000,6.371,-24.00571060180664
1686426763299000000,6.471,-27.634119033813477
1686426763399000000,6.571,-31.660091400146484
1686426763499000000,6.671,-34.27596664428711
1686426763599000000,6.771,-30.489887237548828
1686426763699000000,6.871,-33.50920486450195
1686426763799000000,6.971,-34.96245193481445
1686426763916000000,7.088,-27.555194854736328
1686426764016000000,7.188,-29.157909393310547
1686426764116000000,7.288,-27.802316665649414
1686426764216000000,7.388,-30.47491455078125
1686426764333000000,7.505,-29.563901901245117
1686426764433000000,7.605,-26.377283096313477
1686426764533000000,7.705,-25.793245315551758
1686426764633000000,7.805,-28.939064025878906
1686426764733000000,7.905,-32.77713394165039
1686426764833000000,8.005,-31.350996017456055
1686426764933000000,8.105,-26.172216415405273
1686426765034000000,8.205999755859375,-23.196048736572266
1686426765150000000,8.322000244140625,-22.376066207885742
1686426765250000000,8.421999755859375,-25.671192169189453
1686426765350000000,8.522000244140624,-29.272409439086914
1686426765451000000,8.623,-27.199146270751953
1686426765551000000,8.723,-28.421710968017578
1686426765667000000,8.839,-32.6045036315918
1686426765767000000,8.939,-35.01124954223633
1686426765884000000,9.056,-37.4958610534668
1686426765984000000,9.156,-34.03578186035156
1686426766084000000,9.256,-32.2503776550293
