time,seconds_elapsed,z,y,x
1686427923467615700,0.12461572265625,-47.829315185546875,-17.988224029541016,-16.331565856933594
1686427923477561900,0.134561767578125,-47.870025634765625,-17.901172637939453,-16.106277465820312
1686427923487507000,0.1445068359375,-47.99790954589844,-17.882259368896484,-15.938583374023438
1686427923497453000,0.154453125,-48.239112854003906,-17.874980926513672,-15.208366394042969
1686427923507399000,0.16439892578125,-48.813323974609375,-17.714420318603516,-14.912338256835938
1686427923517345000,0.174344970703125,-48.750022888183594,-17.682674407958984,-14.437324523925781
1686427923527289900,0.184289794921875,-49.04315185546875,-17.466785430908203,-13.936172485351562
1686427923537236000,0.194236083984375,-48.84590148925781,-17.499675750732422,-13.745223999023438
1686427923547181800,0.204181884765625,-49.17863464355469,-17.426067352294922,-13.1314697265625
1686427923557128000,0.2141279296875,-49.027915954589844,-17.791637420654297,-12.823905944824219
1686427923567072800,0.22407275390625,-49.13048553466797,-18.10000991821289,-12.202896118164062
1686427923577019000,0.234018798828125,-48.70978546142578,-18.21743392944336,-11.700889587402344
1686427923586964700,0.24396484375,-48.83123016357422,-18.130016326904297,-10.929916381835938
1686427923596910800,0.253910888671875,-49.17852783203125,-18.766521453857422,-10.221176147460938
1686427923606856000,0.26385595703125,-49.391685485839844,-18.754749298095703,-9.322830200195312
1686427923616802000,0.273802001953125,-49.590736389160156,-18.820362091064453,-8.657562255859375
1686427923626748000,0.283747802734375,-49.814979553222656,-18.934215545654297,-7.932647705078125
1686427923636694000,0.293694091796875,-50.297080993652344,-18.986080169677734,-7.344696044921875
1686427923646639000,0.30363916015625,-50.41638946533203,-18.79159164428711,-6.63922119140625
1686427923656585200,0.313585205078125,-50.74501037597656,-18.551708221435547,-6.087608337402344
1686427923666531000,0.323531005859375,-50.67174530029297,-18.186954498291016,-5.529197692871094
1686427923676477200,0.333477294921875,-50.87237548828125,-18.011150360107422,-5.1172637939453125
1686427923686422000,0.343422119140625,-51.34904479980469,-17.61130142211914,-4.365333557128906
