time,seconds_elapsed,dBFS
1686427923377000000,0.034,-77.60674285888672
1686427923477000000,0.134,-62.95274353027344
1686427923577000000,0.234,-64.82205963134766
1686427923678000000,0.335000244140625,-56.54759979248047
1686427923778000000,0.434999755859375,-57.81610107421875
1686427923878000000,0.535000244140625,-56.61082077026367
1686427923978000000,0.634999755859375,-56.59751510620117
1686427924078000000,0.735000244140625,-58.21251678466797
1686427924178000000,0.834999755859375,-49.45381164550781
1686427924278000000,0.935000244140625,-48.4967041015625
1686427924378000000,1.034999755859375,-44.76255798339844
1686427924479000000,1.136,-43.01179122924805
1686427924579000000,1.236,-45.41417694091797
1686427924695000000,1.352,-40.58046340942383
1686427924795000000,1.452,-42.850852966308594
1686427924895000000,1.552,-44.68778991699219
1686427924995000000,1.652,-39.27036666870117
1686427925097000000,1.754,-40.921634674072266
1686427925212000000,1.869,-44.04025650024414
1686427925312000000,1.969,-46.84682846069336
1686427925412000000,2.069,-48.398719787597656
1686427925512000000,2.169,-47.919918060302734
1686427925629000000,2.286,-47.3170280456543
1686427925729000000,2.386,-46.43201446533203
1686427925829000000,2.486,-45.513023376464844
1686427925929000000,2.586,-43.25862121582031
1686427926029000000,2.686,-34.684566497802734
1686427926130000000,2.786999755859375,-38.0706901550293
1686427926230000000,2.887000244140625,-40.88746643066406
1686427926346000000,3.002999755859375,-39.71976089477539
1686427926446000000,3.103000244140625,-42.49232864379883
1686427926546000000,3.202999755859375,-44.77339172363281
1686427926663000000,3.32,-44.299556732177734
1686427926763000000,3.42,-29.798694610595703
1686427926863000000,3.52,-33.304046630859375
1686427926963000000,3.62,-36.06454086303711
1686427927063000000,3.72,-38.139522552490234
1686427927180000000,3.837,-40.43094253540039
1686427927280000000,3.937,-42.50107192993164
1686427927380000000,4.037,-40.97585678100586
1686427927480000000,4.137,-39.911521911621094
1686427927581000000,4.238,-42.71379470825195
1686427927681000000,4.338,-44.72506332397461
1686427927781000000,4.438,-46.239261627197266
1686427927882000000,4.538999755859375,-45.670902252197266
1686427927997000000,4.654,-41.44881057739258
1686427928114000000,4.770999755859375,-39.034934997558594
1686427928214000000,4.871000244140625,-41.48554229736328
1686427928314000000,4.970999755859375,-42.93997573852539
1686427928414000000,5.071000244140625,-31.920969009399414
1686427928531000000,5.188,-36.10642623901367
1686427928631000000,5.288,-38.169158935546875
1686427928731000000,5.388,-35.11708068847656
1686427928831000000,5.488,-29.2476749420166
1686427928931000000,5.588,-31.792606353759766
1686427929031000000,5.688,-23.56842803955078
1686427929148000000,5.805,-28.926671981811523
1686427929248000000,5.905,-32.45867919921875
1686427929348000000,6.005,-30.225547790527344
1686427929448000000,6.105,-28.928077697753906
1686427929548000000,6.205,-31.404443740844727
1686427929665000000,6.322,-35.92405319213867
1686427929765000000,6.422,-39.07387924194336
1686427929865000000,6.522,-39.81084442138672
1686427929965000000,6.622,-40.15557098388672
1686427930065000000,6.722,-36.61159896850586
1686427930182000000,6.839000244140625,-39.21750259399414
1686427930282000000,6.938999755859375,-39.39411926269531
1686427930382000000,7.039000244140625,-39.5709342956543
1686427930482000000,7.138999755859375,-38.01603698730469
1686427930582000000,7.239000244140625,-40.36969757080078
1686427930699000000,7.356,-42.30204391479492
1686427930799000000,7.456,-44.311988830566406
1686427930899000000,7.556,-39.92886734008789
1686427930999000000,7.656,-42.28125762939453
1686427931099000000,7.756,-41.984779357910156
1686427931199000000,7.856,-44.25029754638672
1686427931316000000,7.973,-47.28908920288086
1686427931416000000,8.073,-42.40178680419922
1686427931516000000,8.173,-44.95517349243164
1686427931616000000,8.273,-44.22384262084961
1686427931733000000,8.39,-43.61907196044922
