time,seconds_elapsed,dBFS
1687351457390000000,0.002000244140625,-48.21268081665039
1687351457504000000,0.116,-46.6593132019043
1687351457604000000,0.216,-48.383880615234375
1687351457704000000,0.316,-46.3448371887207
1687351457804000000,0.416,-47.80029296875
1687351457904000000,0.516,-49.07283020019531
1687351458004000000,0.616,-50.08757400512695
1687351458105000000,0.717,-41.63044738769531
1687351458221000000,0.833,-42.03978729248047
1687351458321000000,0.933,-36.09146499633789
1687351458421000000,1.033,-25.651500701904297
1687351458521000000,1.133,-24.684350967407227
1687351458621000000,1.233,-24.805707931518555
1687351458722000000,1.333999755859375,-25.93341636657715
1687351458822000000,1.434000244140625,-25.46103286743164
1687351458938000000,1.549999755859375,-23.972366333007812
1687351459054000000,1.666000244140625,-20.51654624938965
1687351459154000000,1.765999755859375,-23.484712600708008
1687351459254000000,1.866000244140625,-26.3664608001709
1687351459354000000,1.965999755859375,-28.613140106201172
1687351459454000000,2.066000244140625,-24.831958770751953
1687351459554000000,2.165999755859375,-24.029502868652344
1687351459654000000,2.266000244140625,-26.08489990234375
1687351459754000000,2.365999755859375,-27.686952590942383
1687351459854000000,2.466000244140625,-30.16900634765625
1687351459954000000,2.565999755859375,-29.974210739135742
1687351460054000000,2.666000244140625,-22.430150985717773
1687351460154000000,2.765999755859375,-24.58260726928711
1687351460254000000,2.866000244140625,-27.707796096801758
1687351460354000000,2.965999755859375,-30.961904525756836
1687351460455000000,3.067,-33.06379699707031
1687351460571000000,3.183,-35.85170364379883
1687351460671000000,3.283,-30.630353927612305
1687351460771000000,3.383,-33.318782806396484
1687351460871000000,3.483,-35.297706604003906
1687351460971000000,3.583,-36.95092010498047
1687351461071000000,3.683,-24.279752731323242
1687351461171000000,3.783,-22.48055648803711
1687351461271000000,3.883,-20.681142807006836
1687351461371000000,3.983,-22.920915603637695
1687351461471000000,4.083,-17.411434173583984
1687351461571000000,4.183,-5.033760070800781
1687351461671000000,4.283,-8.387579917907715
1687351461771000000,4.383,-10.429079055786133
1687351461871000000,4.483,-9.092106819152832
1687351461971000000,4.583,-12.666461944580078
1687351462080000000,4.692,-16.259321212768555
1687351462188000000,4.8,-19.947927474975586
1687351462288000000,4.9,-20.670207977294922
1687351462389000000,5.001,-15.313984870910645
1687351462504000000,5.116,-18.05783462524414
1687351462604000000,5.216,-8.522453308105469
1687351462704000000,5.316,-12.407536506652832
1687351462804000000,5.416,-14.760443687438965
1687351462904000000,5.516,-17.5155029296875
1687351463004000000,5.616,-21.35843276977539
1687351463104000000,5.716,-20.724796295166016
1687351463204000000,5.816,-23.521913528442383
1687351463304000000,5.916,-14.985855102539062
1687351463404000000,6.016,-9.47490119934082
1687351463504000000,6.116,-8.689019203186035
1687351463604000000,6.216,-11.929369926452637
1687351463704000000,6.316,-1.1248760223388672
1687351463804000000,6.416,-4.906620025634766
1687351463904000000,6.516,-9.230212211608887
1687351464004000000,6.616,-13.18218994140625
1687351464115000000,6.727,-17.19666862487793
1687351464221000000,6.833,-15.557866096496582
1687351464322000000,6.933999755859375,-19.23398780822754
1687351464422000000,7.034000244140625,-13.863703727722168
1687351464522000000,7.133999755859375,-12.856328964233398
1687351464638000000,7.250000244140625,-15.418721199035645
1687351464737000000,7.349,-10.219954490661621
1687351464837000000,7.449,-13.15035343170166
1687351464937000000,7.549,-15.953389167785645
1687351465037000000,7.649,-18.520532608032227
1687351465137000000,7.749,-16.8052978515625
1687351465237000000,7.849,-13.560747146606445
1687351465337000000,7.949,-16.40986442565918
1687351465437000000,8.049,-15.347460746765137
1687351465537000000,8.149,-14.058150291442871
1687351465638000000,8.250000244140624,-4.564543724060059
1687351465754000000,8.365999755859375,-7.932054042816162
1687351465854000000,8.466000244140625,-10.440897941589355
1687351465954000000,8.565999755859375,-14.07089614868164
1687351466054000000,8.666000244140625,-11.467830657958984
1687351466154000000,8.765999755859376,-13.51598834991455
1687351466254000000,8.866000244140626,-15.0780611038208
1687351466355000000,8.967,-11.935160636901855
1687351466455000000,9.067,-12.759114265441895
1687351466571000000,9.183,-14.686600685119629
1687351466670000000,9.282000244140624,-14.823310852050781
1687351466770000000,9.381999755859376,-16.353036880493164
1687351466870000000,9.482000244140625,-12.938536643981934
1687351466970000000,9.581999755859375,-14.845096588134766
1687351467071000000,9.683,-12.3479585647583
1687351467171000000,9.783,-15.485677719116211
1687351467270000000,9.882000244140626,-19.022602081298828
1687351467370000000,9.981999755859375,-20.64629554748535
1687351467470000000,10.082000244140625,-12.392948150634766
1687351467572000000,10.184,-14.088685035705566
1687351467670000000,10.282000244140624,-16.41830062866211
1687351467770000000,10.381999755859376,-17.11250877380371
1687351467870000000,10.482000244140625,-18.473291397094727
1687351467970000000,10.581999755859375,-12.24380111694336
1687351468070000000,10.682000244140625,-14.14050579071045
1687351468180000000,10.792,-14.719637870788574
1687351468287000000,10.899,-17.214521408081055
1687351468387000000,10.999,-20.38135528564453
1687351468487000000,11.099,-15.418379783630371
1687351468588000000,11.2,-10.659931182861328
1687351468688000000,11.3,-10.168309211730957
1687351468787000000,11.399,-8.788304328918457
1687351468887000000,11.499,-11.05770492553711
1687351468987000000,11.599,-13.227279663085938
1687351469087000000,11.699,-10.206550598144531
1687351469196000000,11.808,-12.501747131347656
1687351469303000000,11.915,-16.08711051940918
1687351469403000000,12.015,-20.127788543701172
1687351469503000000,12.115,-17.697254180908203
1687351469603000000,12.215,-20.255659103393555
1687351469703000000,12.315,-18.599132537841797
1687351469803000000,12.415,-19.866628646850586
1687351469903000000,12.515,-21.884937286376953
1687351470003000000,12.615,-9.121254920959473
1687351470104000000,12.716,-10.33499813079834
1687351470213000000,12.825,-13.175901412963867
1687351470321000000,12.933,-5.667850017547607
1687351470421000000,13.033,-8.871400833129883
1687351470521000000,13.133,-13.042354583740234
1687351470620000000,13.232,-17.277528762817383
1687351470720000000,13.332,-19.704137802124023
1687351470820000000,13.432,-22.61659049987793
1687351470920000000,13.532,-12.383784294128418
1687351471020000000,13.632,-9.646136283874512
1687351471120000000,13.732,-9.51901912689209
1687351471230000000,13.842000244140625,-11.559666633605957
1687351471336000000,13.948,-14.593661308288574
1687351471436000000,14.048,-12.658308982849121
1687351471536000000,14.148,-15.446680068969727
1687351471636000000,14.248,-17.36400032043457
1687351471736000000,14.348,-18.782289505004883
1687351471837000000,14.449,-21.487621307373047
1687351471936000000,14.548,-12.09785270690918
1687351472036000000,14.648,-13.586066246032715
1687351472136000000,14.748,-17.53059196472168
1687351472244000000,14.856,-19.433902740478516
1687351472353000000,14.965,-13.426468849182129
1687351472453000000,15.065,-9.542125701904297
1687351472553000000,15.165,-11.327210426330566
1687351472672000000,15.284,-14.355907440185547
1687351472769000000,15.381,-16.88134002685547
1687351472869000000,15.481,-18.23348045349121
1687351472969000000,15.581,-15.848244667053223
1687351473069000000,15.681,-12.194697380065918
1687351473169000000,15.781,-14.687421798706055
1687351473269000000,15.881,-14.0241117477417
1687351473370000000,15.981999755859375,-16.1007022857666
1687351473469000000,16.081,-17.958669662475586
1687351473569000000,16.181,-12.553567886352539
1687351473669000000,16.281,-14.298026084899902
1687351473769000000,16.381,-16.020462036132812
1687351473869000000,16.481,-17.110593795776367
1687351473969000000,16.581,-13.656217575073242
1687351474069000000,16.681,-15.804560661315918
1687351474169000000,16.781,-10.077140808105469
1687351474270000000,16.882000244140624,-12.370020866394043
1687351474369000000,16.981,-13.44797134399414
1687351474469000000,17.081,-16.01820945739746
1687351474569000000,17.181,-18.589521408081055
1687351474669000000,17.281,-17.473052978515625
1687351474769000000,17.381,-20.561054229736328
1687351474870000000,17.482000244140625,-17.909988403320312
1687351474970000000,17.581999755859375,-20.509122848510742
1687351475086000000,17.698000244140626,-21.01751708984375
1687351475186000000,17.797999755859376,-23.011816024780273
1687351475302000000,17.914000244140624,-24.88412857055664
1687351475402000000,18.013999755859373,-18.657827377319336
1687351475502000000,18.114000244140627,-21.231395721435547
1687351475602000000,18.213999755859376,-20.599863052368164
1687351475704000000,18.316,-21.77281951904297
1687351475802000000,18.413999755859376,-20.335617065429688
1687351475902000000,18.514000244140625,-22.705812454223633
1687351476002000000,18.613999755859375,-15.864672660827637
1687351476102000000,18.714000244140625,-18.25501823425293
1687351476202000000,18.813999755859374,-19.872848510742188
1687351476303000000,18.915,-23.423263549804688
1687351476402000000,19.013999755859373,-25.76186752319336
1687351476505000000,19.117,-18.981325149536133
1687351476619000000,19.231,-17.051837921142578
1687351476736000000,19.348,-18.07880401611328
1687351476835000000,19.447,-17.823179244995117
1687351476936000000,19.548,-10.548503875732422
1687351477035000000,19.647,-12.27864933013916
1687351477135000000,19.747,-11.68215274810791
1687351477235000000,19.847,-13.609665870666504
1687351477335000000,19.947,-11.783757209777832
1687351477435000000,20.047,-11.131113052368164
1687351477535000000,20.147,-10.57973575592041
1687351477635000000,20.247,-10.113910675048828
1687351477735000000,20.347,-11.496515274047852
1687351477835000000,20.447,-7.506261348724365
1687351477935000000,20.547,-8.935866355895996
1687351478035000000,20.647,-11.144259452819824
1687351478135000000,20.747,-13.295049667358398
1687351478235000000,20.847,-16.976076126098633
1687351478335000000,20.947,-19.5468807220459
1687351478436000000,21.048,-11.1809663772583
1687351478552000000,21.164,-12.650408744812012
1687351478652000000,21.264,-13.464340209960938
1687351478751000000,21.363,-9.476494789123535
1687351478851000000,21.463,-12.062682151794434
1687351478952000000,21.564,-14.072277069091797
1687351479052000000,21.664,-16.730060577392578
1687351479151000000,21.763,-8.21549129486084
1687351479252000000,21.864,-9.628396987915039
1687351479368000000,21.98,-11.910200119018555
1687351479468000000,22.08,-13.971485137939453
1687351479568000000,22.18,-15.167987823486328
1687351479668000000,22.28,-7.999260425567627
1687351479768000000,22.38,-10.651089668273926
1687351479868000000,22.48,-13.687694549560547
1687351479969000000,22.581,-16.9258975982666
1687351480068000000,22.68,-19.553518295288086
1687351480169000000,22.781,-21.63056755065918
1687351480269000000,22.881,-16.33708953857422
1687351480385000000,22.997,-18.406105041503906
1687351480501000000,23.113,-13.884224891662598
1687351480601000000,23.213,-15.586112976074219
1687351480701000000,23.313,-15.283937454223633
1687351480801000000,23.413,-12.037054061889648
1687351480901000000,23.513,-10.21643352508545
1687351481001000000,23.613,-11.892045974731445
1687351481101000000,23.713,-14.417584419250488
1687351481201000000,23.813,-15.882622718811035
1687351481301000000,23.913,-17.66172981262207
1687351481401000000,24.013,-17.36509895324707
1687351481501000000,24.113,-16.658504486083984
1687351481601000000,24.213,-15.834480285644531
1687351481702000000,24.314000244140626,-17.27342414855957
1687351481802000000,24.413999755859376,-16.006370544433594
1687351481902000000,24.514000244140625,-18.276409149169922
1687351482003000000,24.615,-15.33156681060791
1687351482118000000,24.730000244140626,-19.206729888916016
1687351482234000000,24.845999755859374,-22.259174346923828
1687351482334000000,24.946000244140624,-19.844938278198242
1687351482434000000,25.045999755859373,-15.715557098388672
1687351482534000000,25.146000244140627,-17.9561824798584
1687351482634000000,25.245999755859376,-14.501629829406738
1687351482734000000,25.346000244140626,-17.39048957824707
1687351482835000000,25.447,-20.091087341308594
