"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.361908340E-1,2.272859955E1,3.345240021E1,2.242359924E1
1.461908340E-1,2.276519966E1,3.333039856E1,2.258219910E1
1.561908340E-1,2.275300026E1,3.267160034E1,2.316779900E1
1.661908340E-1,2.278960037E1,3.215919876E1,2.364360046E1
1.761908340E-1,2.291160011E1,3.161019897E1,2.396080017E1
1.861908340E-1,1.250500011E1,1.627479935E1,2.237479973E1
1.961908340E-1,1.272459984E1,1.570139980E1,2.260659981E1
2.061908340E-1,1.312720013E1,1.495720005E1,2.275300026E1
2.161908340E-1,1.379819965E1,1.370059967E1,2.322879982E1
2.261908340E-1,1.445699978E1,1.230980015E1,2.368019867E1
2.361908340E-1,1.514019966E1,1.107759953E1,2.396080017E1
2.461908340E-1,1.589659977E1,9.698999405E0,2.420479965E1
2.561908340E-1,1.656760025E1,8.369199753E0,2.448539925E1
2.661908340E-1,1.721419907E1,7.112599850E0,2.469279861E1
2.761908340E-1,1.786079979E1,5.831599712E0,2.481480026E1
2.861908340E-1,1.832439995E1,4.684800148E0,2.499779892E1
2.961908340E-1,1.865379906E1,3.598999977E0,2.513199997E1
3.061908340E-1,1.901980019E1,2.598599911E0,2.529059982E1
3.161908340E-1,1.934919930E1,1.585999966E0,2.546139908E1
3.261908340E-1,1.955660057E1,7.197999954E-1,2.554679871E1
3.361908340E-1,1.977619934E1,-1.586000025E-1,2.554679871E1
3.461908340E-1,1.997139931E1,-9.515999556E-1,2.582740021E1
3.561908340E-1,2.019099998E1,-1.646999955E0,2.597379875E1
3.661908340E-1,2.026420021E1,-2.232599974E0,2.615679932E1
3.761908340E-1,2.037400055E1,-2.720599890E0,2.631539917E1
3.861908340E-1,2.037400055E1,-3.147599936E0,2.649839973E1
3.961908340E-1,2.037400055E1,-3.489199877E0,2.663259888E1
4.061908340E-1,2.032519913E1,-3.757599831E0,2.679119873E1
4.161908340E-1,2.032519913E1,-3.769799948E0,2.699860001E1
4.261908340E-1,2.019099998E1,-3.806399822E0,2.705959892E1
4.361908340E-1,1.993479919E1,-3.720999956E0,2.716939926E1
4.461908340E-1,1.977619934E1,-3.513599873E0,2.727919960E1
4.561908340E-1,1.945899963E1,-3.257400036E0,2.748659897E1
4.661908340E-1,1.920279884E1,-2.927999973E0,2.760859871E1
4.761908340E-1,1.887339973E1,-2.549799919E0,2.775499916E1
4.861908340E-1,1.864159966E1,-2.159399986E0,2.807219887E1
4.961908340E-1,1.831220055E1,-1.854399920E0,2.834059906E1
5.061908340E-1,1.806819916E1,-1.463999987E0,2.845039940E1
5.161908340E-1,1.790959930E1,-1.134599924E0,2.864559937E1
5.261908340E-1,1.769000053E1,-8.051999807E-1,2.871879959E1
5.361908340E-1,1.751919937E1,-4.513999820E-1,2.868219948E1
5.461908340E-1,1.732399940E1,-4.879999906E-2,2.873099899E1
5.561908340E-1,1.725079918E1,4.269999862E-1,2.860899925E1
5.661908340E-1,1.710439873E1,9.759999514E-1,2.837719917E1
5.761908340E-1,1.692140007E1,1.585999966E0,2.813319969E1
5.861908340E-1,1.665299988E1,2.317999840E0,2.809659958E1
5.961908340E-1,1.629920006E1,3.062199831E0,2.799899864E1
6.061908340E-1,1.600639915E1,3.794199944E0,2.786479950E1
6.161908340E-1,1.572579956E1,4.587199688E0,2.776719856E1
6.261908340E-1,1.546959972E1,5.343599796E0,2.754759979E1
6.361908340E-1,1.515240002E1,6.112199783E0,2.744999886E1
6.461908340E-1,1.487179947E1,6.868599892E0,2.736459923E1
6.561908340E-1,1.462779999E1,7.539599895E0,2.715719986E1
6.661908340E-1,1.446920013E1,8.149600029E0,2.686439896E1
6.761908340E-1,1.422519970E1,8.857199669E0,2.653499985E1
6.861908340E-1,1.390799999E1,9.601399422E0,2.619339943E1
6.961908340E-1,1.362739944E1,1.032119942E1,2.594939995E1
7.061908340E-1,1.333459949E1,1.094339943E1,2.569319916E1
7.161908340E-1,1.306619930E1,1.154119968E1,2.536380005E1
7.261908340E-1,1.280999947E1,1.218779945E1,2.487579918E1
7.361908340E-1,1.250500011E1,1.279780006E1,2.458300018E1
7.461908340E-1,1.212679958E1,1.334679985E1,2.419260025E1
7.561908340E-1,1.194379997E1,1.387139988E1,2.380220032E1
7.661908340E-1,1.180959988E1,1.440819931E1,2.347279930E1
7.761908340E-1,1.166319942E1,1.492059994E1,2.297259903E1
7.861908340E-1,1.151679993E1,1.539639950E1,2.253339958E1
7.961908340E-1,1.127279949E1,1.582339954E1,2.213080025E1
8.061908340E-1,1.107759953E1,1.625040054E1,2.167939949E1
8.161908340E-1,1.093120003E1,1.665299988E1,2.119140053E1
8.261908340E-1,1.087020016E1,1.705559921E1,2.075219917E1
8.361908340E-1,1.072379971E1,1.742160034E1,2.034959984E1
8.461908340E-1,1.065059948E1,1.777540016E1,1.978839874E1
8.561908340E-1,1.061399937E1,1.809259987E1,1.942239952E1
8.661908340E-1,1.051639938E1,1.842199898E1,1.890999985E1
8.761908340E-1,1.049199963E1,1.873920059E1,1.842199898E1
8.861908340E-1,1.044320011E1,1.905640030E1,1.793400002E1
8.961908340E-1,1.052859974E1,1.937360001E1,1.747039986E1
9.061908340E-1,1.056519985E1,1.956879997E1,1.698239899E1
9.161908340E-1,1.065059948E1,1.973959923E1,1.653100014E1
9.261908340E-1,1.074819946E1,1.994700050E1,1.614060020E1
9.361908340E-1,1.077260017E1,1.999580002E1,1.556719971E1
9.461908340E-1,1.095559978E1,2.017879868E1,1.516459942E1
9.561908340E-1,1.106540012E1,2.025199890E1,1.483519936E1
9.661908340E-1,1.123619938E1,2.027639961E1,1.461559963E1
9.761908340E-1,1.127279949E1,2.034959984E1,1.442039967E1
9.861908340E-1,1.133379936E1,2.048379898E1,1.426179981E1
9.961908340E-1,1.133379936E1,2.053260040E1,1.411539936E1
1.006190834E0,1.124839973E1,2.055699921E1,1.407880020E1
1.016190834E0,1.128499985E1,2.072780037E1,1.404220009E1
1.026190834E0,1.123619938E1,2.077659988E1,1.384700012E1
1.036190834E0,1.121179962E1,2.093519974E1,1.361520004E1
1.046190834E0,1.122399998E1,2.103279877E1,1.327359962E1
1.056190834E0,1.123619938E1,2.115480042E1,1.284659958E1
1.066190834E0,1.126060009E1,2.128899956E1,1.240740013E1
1.076190834E0,1.132159996E1,2.148419952E1,1.194379997E1
1.086190834E0,1.133379936E1,2.158180046E1,1.151679993E1
1.096190834E0,1.127279949E1,2.171599960E1,1.116300011E1
1.106190834E0,1.113859940E1,2.183799934E1,1.090679932E1
1.116190834E0,1.104099941E1,2.189900017E1,1.063840008E1
1.126190834E0,1.089459991E1,2.211859894E1,1.051639938E1
1.136190834E0,1.074819946E1,2.221619987E1,1.032119942E1
1.146190834E0,1.061399937E1,2.228940010E1,1.018700027E1
1.156190834E0,1.047980022E1,2.231379890E1,1.008939934E1
1.166190834E0,1.049199963E1,2.233819962E1,9.991799355E0
1.176190834E0,1.060179996E1,2.228940010E1,9.869799614E0
1.186190834E0,1.073600006E1,2.213080025E1,9.991799355E0
1.196190834E0,1.096780014E1,2.194779968E1,1.013819981E1
1.206190834E0,1.121179962E1,2.154520035E1,1.039439964E1
1.216190834E0,1.152899933E1,2.114259911E1,1.073600006E1
1.226190834E0,1.196819973E1,2.064239883E1,1.122399998E1
1.236190834E0,1.248059940E1,2.002019882E1,1.189499950E1
1.246190834E0,1.294419956E1,1.932480049E1,1.266359997E1
1.256190834E0,1.331019974E1,1.851959991E1,1.359079933E1
1.266190834E0,1.378599930E1,1.755579948E1,1.453020000E1
1.276190834E0,1.412759972E1,1.655539894E1,1.560379982E1
1.286190834E0,1.440819931E1,1.548180008E1,1.664080048E1
1.296190834E0,1.460339928E1,1.429839993E1,1.786079979E1
1.306190834E0,1.462779999E1,1.318820000E1,1.910519981E1
1.316190834E0,1.451799965E1,1.200479984E1,2.033740044E1
1.326190834E0,1.434719944E1,1.085799980E1,2.145979881E1
1.336190834E0,1.415199947E1,9.747799873E0,2.263099861E1
1.346190834E0,1.390799999E1,8.796199799E0,2.359479904E1
1.356190834E0,1.374940014E1,7.722599983E0,2.444879913E1
1.366190834E0,1.370059967E1,6.685599804E0,2.531499863E1
1.376190834E0,1.366399956E1,5.672999859E0,2.599819946E1
1.386190834E0,1.378599930E1,4.611599922E0,2.642519951E1
1.396190834E0,1.404220009E1,3.476999998E0,2.682779884E1
1.406190834E0,1.432279968E1,2.305799961E0,2.727919960E1
1.416190834E0,1.467659950E1,1.049199939E0,2.757199860E1
1.426190834E0,1.503039932E1,-2.317999899E-1,2.788920021E1
1.436190834E0,1.542079926E1,-1.463999987E0,2.804780006E1
