"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.626484400E-2,-4.739355087E0,-2.515281439E-1,9.089100957E-1
6.878536500E-2,-4.464524746E0,-2.476666868E-2,8.790835738E-1
7.130588600E-2,-4.296217918E0,3.382114694E-2,8.620398045E-1
7.382640700E-2,-4.113131046E0,1.318225861E-1,8.386046886E-1
7.634692700E-2,-3.894758224E0,2.426068187E-1,8.077129126E-1
7.886744800E-2,-3.655080795E0,3.725652397E-1,7.714950442E-1
8.140526100E-2,-3.418732166E0,5.226299763E-1,7.278204560E-1
8.389385500E-2,-3.182250500E0,6.909367442E-1,6.809502244E-1
8.637588600E-2,-2.940575838E0,8.645697236E-1,6.266233325E-1
8.898687500E-2,-2.709420204E0,1.052982807E0,5.616441369E-1
9.146921900E-2,-2.481460333E0,1.251116157E0,4.955996573E-1
9.395125000E-2,-2.268546820E0,1.443923354E0,4.295552075E-1
9.660520900E-2,-2.071478844E0,1.627010345E0,3.636439145E-1
9.904463600E-2,-1.887193441E0,1.799578071E0,3.018604219E-1
1.015697400E-1,-1.722215533E0,1.947645426E0,2.390116602E-1
1.040517710E-1,-1.585865617E0,2.064821005E0,1.846847683E-1
1.066352090E-1,-1.470820546E0,2.153235435E0,1.431406885E-1
1.092186460E-1,-1.377079964E0,2.199040413E0,1.111836955E-1
1.116702610E-1,-1.314231277E0,2.207562208E0,8.561810106E-2
1.141953650E-1,-1.285470009E0,2.178801060E0,6.218297780E-2
1.167205210E-1,-1.279078603E0,2.113821745E0,4.194355011E-2
1.192456250E-1,-1.301448464E0,2.016885519E0,2.383458801E-2
1.217707820E-1,-1.339796782E0,1.892253280E0,1.957365684E-2
1.242958860E-1,-1.396254182E0,1.749512076E0,2.703028731E-2
1.268210420E-1,-1.467624784E0,1.587729812E0,3.981308267E-2
1.293461980E-1,-1.553908706E0,1.394922614E0,6.218297780E-2
1.318712500E-1,-1.658301473E0,1.164832354E0,8.668334037E-2
1.343964070E-1,-1.773213506E0,9.018529058E-1,1.101184636E-1
1.369215630E-1,-1.905302405E0,6.153052449E-1,1.367492825E-1
1.394466670E-1,-2.038456440E0,3.150426745E-1,1.697715074E-1
1.419717710E-1,-2.174806356E0,8.255556226E-3,2.049241960E-1
1.444969270E-1,-2.305830002E0,-2.994636297E-1,2.496639937E-1
1.470220840E-1,-2.438851118E0,-6.051855087E-1,2.890776098E-1
1.495471360E-1,-2.564548492E0,-9.129046798E-1,3.284912407E-1
1.520722920E-1,-2.691311121E0,-1.211169958E0,3.753614724E-1
1.545973960E-1,-2.811682463E0,-1.491193056E0,4.274247587E-1
1.571225520E-1,-2.932053804E0,-1.760697007E0,4.785559475E-1
1.596477090E-1,-3.053357363E0,-2.025939941E0,5.296871066E-1
1.621728130E-1,-3.168402433E0,-2.284658432E0,5.808182955E-1
1.646979170E-1,-3.287708521E0,-2.554162502E0,6.266233325E-1
1.672230730E-1,-3.411275625E0,-2.813946247E0,6.660369635E-1
1.697481770E-1,-3.546560287E0,-3.053623676E0,7.022548914E-1
1.722733340E-1,-3.689168215E0,-3.264406681E0,7.363423109E-1
1.747984380E-1,-3.832974672E0,-3.439104795E0,7.661688328E-1
1.773235420E-1,-3.969324589E0,-3.557345629E0,7.906692028E-1
1.798486980E-1,-4.091826439E0,-3.620194435E0,8.236914277E-1
1.823738020E-1,-4.174914360E0,-3.662803650E0,8.471265435E-1
1.848989590E-1,-4.193955421E0,-3.699021578E0,8.567136526E-1
1.874240630E-1,-4.157870770E0,-3.700086832E0,8.652355075E-1
1.899492190E-1,-4.080108643E0,-3.642564297E0,8.673660159E-1
1.924743230E-1,-3.974650621E0,-3.504084110E0,8.684312105E-1
1.949994270E-1,-3.857475042E0,-3.282515526E0,8.684312105E-1
1.975245840E-1,-3.731777668E0,-2.982253075E0,8.641703129E-1
2.000496880E-1,-3.603949547E0,-2.636185408E0,8.620398045E-1
2.025748440E-1,-3.483711481E0,-2.259093046E0,8.503222466E-1
2.050999480E-1,-3.366535902E0,-1.894916415E0,8.449960947E-1
2.076251050E-1,-3.250425339E0,-1.582803130E0,8.428656459E-1
