"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.324053800E-2,-4.054936886E0,-1.641805267E1,-1.406381488E0
3.576866300E-2,-4.263411522E0,-1.674856186E1,-1.198205948E0
3.829121500E-2,-4.359423637E0,-1.696182251E1,-9.681958556E-1
4.081652700E-2,-4.457529545E0,-1.710539246E1,-7.932206988E-1
4.334189200E-2,-4.397708893E0,-1.719661903E1,-6.014958024E-1
4.586720500E-2,-4.234697819E0,-1.720379639E1,-4.555336237E-1
4.839256900E-2,-3.983152390E0,-1.715594101E1,-2.709871531E-1
5.095736100E-2,-3.604787350E0,-1.706232071E1,-1.537388563E-1
5.348272500E-2,-3.128017426E0,-1.689960861E1,-9.122636169E-2
5.606397500E-2,-2.684746981E0,-1.669831276E1,-5.054837838E-2
5.858928800E-2,-2.162513494E0,-1.654487228E1,-5.533402413E-2
6.111460000E-2,-1.686042666E0,-1.648266029E1,-7.686942816E-2
6.363996500E-2,-1.328913927E0,-1.639173317E1,-1.007976532E-1
6.364001700E-2,-9.385846853E-1,-1.635823250E1,-1.103689447E-1
6.863663200E-2,-6.607181430E-1,-1.637737465E1,-9.122636169E-2
7.116199600E-2,-5.335994363E-1,-1.641087532E1,-9.870393202E-3
7.368543400E-2,-4.689932466E-1,-1.648266029E1,6.669992954E-2
7.621079800E-2,-4.809573591E-1,-1.646830368E1,8.105687052E-2
7.876361100E-2,-6.415755749E-1,-1.642283821E1,1.405783277E-2
8.131637100E-2,-7.707880139E-1,-1.628614998E1,-1.489532143E-1
8.384173600E-2,-9.002995491E-1,-1.608036613E1,-3.547359705E-1
8.635939200E-2,-1.098903775E0,-1.576630878E1,-5.297111273E-1
8.892913200E-2,-1.285843015E0,-1.534487247E1,-7.334001660E-1
9.136559000E-2,-1.520638824E0,-1.486810303E1,-1.066301584E0
9.389090200E-2,-1.760220170E0,-1.437458324E1,-1.315454245E0
9.641626700E-2,-2.038086653E0,-1.386431313E1,-1.607677698E0
9.899220500E-2,-2.268096685E0,-1.333490181E1,-1.859223247E0
1.014669440E-1,-2.543570518E0,-1.283659649E1,-2.113161564E0
1.039922570E-1,-2.775973320E0,-1.233858967E1,-2.359921217E0
1.065176210E-1,-2.883650303E0,-1.192164040E1,-2.568396091E0
1.090429340E-1,-2.960220814E0,-1.157198906E1,-2.786142826E0
1.115682980E-1,-3.070589542E0,-1.127498055E1,-2.977867842E0
1.140936630E-1,-3.092125177E0,-1.102582741E1,-3.198306561E0
1.166603820E-1,-3.065804005E0,-1.083888817E1,-3.385245800E0
1.192003820E-1,-3.087339401E0,-1.077667522E1,-3.586242914E0
1.216696520E-1,-3.123231649E0,-1.070728302E1,-3.785146236E0
1.241949650E-1,-3.132802963E0,-1.064955616E1,-3.938585997E0
1.267203300E-1,-3.137588739E0,-1.065912724E1,-4.173381805E0
1.293230900E-1,-3.135195971E0,-1.062802124E1,-4.367200375E0
1.317710070E-1,-3.080160856E0,-1.059691429E1,-4.570889473E0
1.342963190E-1,-3.025125980E0,-1.059212875E1,-4.796113968E0
1.368216840E-1,-2.967399120E0,-1.056580734E1,-5.023731232E0
1.393469960E-1,-2.893221617E0,-1.058734322E1,-5.299204826E0
1.418723610E-1,-2.888436079E0,-1.051795101E1,-5.555535793E0
1.443977250E-1,-2.886043310E0,-1.048684406E1,-5.835795403E0
1.469230380E-1,-2.909971476E0,-1.050837994E1,-6.096911907E0
1.494483500E-1,-2.924328327E0,-1.050359440E1,-6.319743633E0
1.519737150E-1,-2.960220814E0,-1.048445129E1,-6.513562202E0
1.544990270E-1,-2.945863724E0,-1.048205853E1,-6.710072994E0
1.570243920E-1,-2.969791889E0,-1.052512932E1,-6.885047913E0
1.595497570E-1,-2.919542789E0,-1.054666519E1,-7.057331085E0
1.620750690E-1,-2.917150021E0,-1.053709316E1,-7.201199532E0
1.646003820E-1,-3.000898600E0,-1.064716339E1,-7.304090977E0
1.671257460E-1,-3.061018467E0,-1.075274658E1,-7.464709282E0
1.696510590E-1,-3.070589542E0,-1.093460083E1,-7.565207958E0
1.721764230E-1,-3.111267567E0,-1.112632656E1,-7.730611801E0
1.747017360E-1,-3.223730326E0,-1.135633659E1,-7.886444569E0
1.772271000E-1,-3.230908871E0,-1.161984539E1,-8.049156189E0
1.797524650E-1,-3.247658491E0,-1.185703468E1,-8.108976364E0
1.822777770E-1,-3.247658491E0,-1.216122246E1,-8.094619751E0
1.848030900E-1,-3.242872953E0,-1.250130177E1,-8.053941727E0
1.873284550E-1,-3.216551781E0,-1.286560917E1,-7.915158272E0
1.898537670E-1,-3.125624657E0,-1.321765327E1,-7.649255753E0
1.923791320E-1,-2.991327524E0,-1.354337597E1,-7.339983463E0
1.949044440E-1,-2.737389088E0,-1.387627792E1,-6.964011192E0
1.974298090E-1,-2.569891453E0,-1.409671593E1,-6.523133755E0
1.999551730E-1,-2.404487610E0,-1.425015640E1,-6.049055576E0
2.024804860E-1,-2.155334949E0,-1.442722511E1,-5.536393166E0
2.050057980E-1,-1.879861236E0,-1.458545017E1,-4.913362026E0
2.075311630E-1,-1.712363720E0,-1.468834209E1,-4.273880482E0
2.100564750E-1,-1.551745534E0,-1.472931862E1,-3.701397419E0
2.125818400E-1,-1.338485122E0,-1.476281834E1,-2.901297569E0
2.151071520E-1,-1.012762189E0,-1.488724518E1,-2.189731836E0
2.176325170E-1,-6.655037999E-1,-1.495903015E1,-1.749153376E0
2.201578300E-1,-4.881358147E-1,-1.491595936E1,-1.258026481E0
2.226831940E-1,-3.469592929E-1,-1.483699608E1,-6.062814593E-1
2.252085590E-1,-2.006980032E-1,-1.459262848E1,-1.800599098E-1
2.277338710E-1,1.495514158E-2,-1.428604889E1,4.286143482E-1
2.302591840E-1,3.957130313E-1,-1.408235931E1,1.463211060E0
2.327845480E-1,8.892326951E-1,-1.381406403E1,1.602293849E0
2.353098610E-1,1.279860973E0,-1.357448292E1,1.633400559E0
2.378352250E-1,1.500000715E0,-1.332293701E1,1.856232166E0
2.403605900E-1,1.696511269E0,-1.299960709E1,2.112563372E0
2.428858500E-1,1.809273005E0,-1.273131180E1,2.169991016E0
2.454112150E-1,1.986341953E0,-1.246062374E1,2.284846544E0
2.479365800E-1,2.038984060E0,-1.214447212E1,2.205883265E0
2.504618920E-1,1.936092615E0,-1.178524971E1,2.038385868E0
2.529872570E-1,1.840379715E0,-1.139940739E1,2.040778637E0
2.555125690E-1,1.893021822E0,-1.107846928E1,2.306680918E0
2.580379340E-1,1.900200248E0,-1.081735325E1,2.704188585E0
2.605632460E-1,1.936092615E0,-1.060887814E1,3.113959551E0
2.630886110E-1,1.919342875E0,-1.045095158E1,3.533002615E0
2.656139230E-1,1.893021822E0,-1.035015392E1,4.167997837E0
2.681392360E-1,1.842772484E0,-1.013928699E1,4.493721008E0
2.706646000E-1,1.713261008E0,-9.964611053E0,4.431507587E0
2.731899130E-1,1.660618901E0,-9.717850685E0,4.404887199E0
2.757152770E-1,1.562513232E0,-9.576375008E0,4.433900356E0
2.782405900E-1,1.500000715E0,-9.514162064E0,4.426422596E0
2.807659550E-1,1.394716501E0,-9.423234940E0,4.385744572E0
2.832912670E-1,1.157527924E0,-9.312865257E0,4.254139423E0
2.858166320E-1,9.394819736E-1,-9.150154114E0,3.945166349E0
2.883419440E-1,7.719843984E-1,-9.025427818E0,3.509074450E0
