"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.851637100E-2,-1.447999477E-2,8.964538574E-5,-4.427433014E-4
8.355939200E-2,-1.698634028E-1,1.741333008E-1,-2.066369653E-1
8.856559000E-2,-3.672028780E-1,6.001491547E-1,-4.392489195E-1
9.361626700E-2,-6.198487282E-1,1.225707054E0,-7.891829014E-1
9.866694400E-2,-9.065426588E-1,1.869862556E0,-1.090143919E0
1.037176210E-1,-1.167955756E0,2.465407372E0,-1.335619211E0
1.087682980E-1,-1.200814843E0,2.885357857E0,-1.514075994E0
1.138603820E-1,-1.150450349E0,3.083800316E0,-1.660149336E0
1.188696520E-1,-9.663016796E-1,3.068555832E0,-1.791605711E0
1.239203300E-1,-8.529040813E-1,2.887067795E0,-1.899419308E0
1.289710070E-1,-7.099604607E-1,2.652610779E0,-2.033849239E0
1.340216840E-1,-4.910185337E-1,2.461799622E0,-2.166492939E0
1.390723610E-1,-2.483410835E-1,2.263436317E0,-2.352478027E0
1.441230380E-1,-9.040546417E-2,2.134649277E0,-2.579904556E0
1.491737150E-1,-5.209684372E-3,1.941663742E0,-2.773157358E0
1.542243920E-1,7.507371902E-2,1.782647133E0,-2.852061033E0
1.592750690E-1,1.977572441E-1,1.556830406E0,-2.883516312E0
1.643257460E-1,2.953104973E-1,1.333484650E0,-2.837567329E0
1.693764230E-1,3.012087345E-1,9.285011292E-1,-2.772860527E0
1.744271000E-1,3.106658459E-1,3.946018219E-1,-2.737251282E0
1.794777770E-1,3.470749855E-1,-2.208728790E-1,-2.677455425E0
1.845284550E-1,4.437274933E-1,-9.138402939E-1,-2.352751732E0
1.895791320E-1,6.122739315E-1,-1.703234673E0,-1.763664722E0
1.946298090E-1,9.960205555E-1,-2.432446480E0,-8.737130165E-1
1.996804860E-1,1.431012392E0,-2.945460320E0,2.066130638E-1
2.047311630E-1,1.934190512E0,-3.318274498E0,1.430483818E0
2.097818400E-1,2.331053734E0,-3.551586151E0,2.774179935E0
2.148325170E-1,2.772857189E0,-3.688893318E0,4.261648655E0
2.198831940E-1,3.326149940E0,-3.809634209E0,5.304661751E0
2.249338710E-1,3.562971354E0,-3.591264725E0,6.371888638E0
2.299845480E-1,3.952822924E0,-3.069841385E0,7.618713379E0
2.350352250E-1,4.710823059E0,-2.591620445E0,8.172814369E0
2.400858500E-1,5.083594799E0,-2.074606895E0,8.409202576E0
2.451365800E-1,5.229724407E0,-1.531958580E0,8.517082214E0
2.501872570E-1,5.161467552E0,-9.338283539E-1,8.284492493E0
2.552379340E-1,4.885840416E0,-2.557878494E-1,8.214638710E0
2.602886110E-1,4.784502983E0,2.125053406E-1,8.816490173E0
2.653392360E-1,4.627179623E0,4.633817673E-1,9.607038498E0
2.703899130E-1,4.366881847E0,7.448234558E-1,1.006017494E1
2.754405900E-1,4.082961082E0,1.074919701E0,9.868684769E0
2.804912670E-1,3.817647457E0,1.175348282E0,9.718156815E0
2.855419440E-1,3.340876579E0,1.328621864E0,9.292987823E0
2.905926210E-1,2.929041386E0,1.494561195E0,8.344791412E0
2.956432980E-1,2.633616447E0,1.562758446E0,7.050996780E0
3.006939750E-1,2.254333258E0,1.651929855E0,5.490938663E0
3.057446520E-1,1.855104804E0,1.634435654E0,4.066819191E0
3.107953300E-1,1.442698359E0,1.603084564E0,2.907873869E0
3.158460070E-1,1.072155595E0,1.611033440E0,2.432803154E0
3.208966840E-1,8.633153439E-1,1.961441040E0,2.267481804E0
3.259473610E-1,4.118978977E-1,2.585620403E0,2.057544947E0
3.309980380E-1,-7.398104668E-2,3.351251602E0,1.643418550E0
3.360487150E-1,-2.457456589E-1,4.052843094E0,1.189414978E0
3.410993920E-1,-2.866637707E-1,4.475977898E0,7.791724205E-1
3.461500690E-1,-3.985764980E-1,4.721877098E0,5.886721611E-1
3.512007460E-1,-4.484560490E-1,4.771912575E0,4.216351509E-1
3.562514230E-1,-4.287164211E-1,4.791306973E0,6.873202324E-1
3.613020480E-1,-2.734644413E-1,4.747779369E0,1.469589233E0
3.663527250E-1,3.453016281E-2,4.608824253E0,2.581326008E0
3.714034550E-1,3.114199638E-1,4.460146904E0,3.737313986E0
3.764540800E-1,4.630222321E-1,4.287909508E0,4.622795105E0
3.815048090E-1,5.512783527E-1,4.209682941E0,5.121180534E0
3.865554340E-1,5.866405964E-1,4.105337143E0,5.297074318E0
3.916061110E-1,5.597522259E-1,4.045870781E0,5.314726353E0
3.966567880E-1,5.751261711E-1,4.033004761E0,5.059886456E0
4.017074650E-1,4.231235981E-1,3.927419662E0,4.724944592E0
4.067581420E-1,3.903064728E-1,3.686613798E0,4.424511909E0
4.118088190E-1,2.589702606E-1,3.474233627E0,4.179082394E0
4.168594960E-1,2.775311470E-1,3.214321852E0,4.046446800E0
4.219101730E-1,4.486141205E-1,2.856212139E0,4.008855820E0
4.269608500E-1,5.292267799E-1,2.479667664E0,3.822419167E0
4.320115270E-1,6.628186703E-1,2.091345310E0,3.652152538E0
4.370622050E-1,7.404503822E-1,1.708346844E0,3.558227777E0
4.421128820E-1,9.043335915E-1,1.333377361E0,3.532438993E0
4.471635590E-1,1.031257153E0,1.102984428E0,3.604274988E0
4.522141840E-1,1.172243595E0,9.438691139E-1,3.737941265E0
4.572648610E-1,1.308638811E0,9.799327850E-1,3.715282917E0
4.623155380E-1,1.304222584E0,1.208112240E0,3.749849796E0
4.673662150E-1,1.247410536E0,1.373522758E0,3.738644838E0
4.724168920E-1,1.139129639E0,1.584057331E0,3.521654606E0
4.774675690E-1,9.342513084E-1,1.794120312E0,3.189815521E0
4.825182460E-1,6.804709435E-1,1.965662003E0,2.766705751E0
4.875689230E-1,3.281927109E-1,2.283342838E0,2.324004173E0
4.926196000E-1,-2.126789093E-2,2.459590912E0,1.989513397E0
4.976702250E-1,-1.373243332E-1,2.606041431E0,1.718372345E0
5.027209550E-1,-1.954412460E-1,2.655588627E0,1.484867096E0
5.077715800E-1,-2.029361725E-1,2.662558079E0,1.202945709E0
5.127038710E-1,1.934957504E-2,2.471910477E0,8.513517380E-1
5.178729340E-1,3.155803680E-1,2.228387833E0,4.837603569E-1
5.229236110E-1,5.344076157E-1,1.979601383E0,1.411747932E-1
5.279742880E-1,6.064534187E-1,1.792393208E0,-7.647848129E-2
5.330249650E-1,5.709333420E-1,1.667081118E0,-2.164435387E-1
5.380756420E-1,4.561572075E-1,1.525408745E0,-4.958281517E-1
5.431263190E-1,4.004588127E-1,1.402395248E0,-9.090170860E-1
5.482953300E-1,3.335657120E-1,1.314302444E0,-1.580970287E0
5.533460590E-1,3.218863010E-1,1.305508614E0,-2.376556396E0
5.583967360E-1,3.836200237E-1,1.394937992E0,-2.697957039E0
5.634473610E-1,6.189501286E-1,1.425904751E0,-2.483179569E0
5.684980380E-1,9.542586803E-1,1.413414955E0,-1.805804253E0
5.735487150E-1,1.101543903E0,1.407009602E0,-1.236505985E0
5.785993920E-1,1.144344807E0,1.366487026E0,-1.394345760E0
5.836895480E-1,5.966992378E-1,1.422712326E0,-1.954513550E0
5.887007460E-1,-7.411367893E-1,1.494788170E0,-3.952531815E0
5.937514230E-1,-2.278452873E0,1.139646053E0,-6.272854328E0
5.988021000E-1,-3.292448521E0,4.745969772E-1,-6.390850067E0
6.038527770E-1,-3.363738298E0,-5.553245544E-1,-3.642098427E0
6.089034020E-1,-3.234433889E0,-2.732223034E0,-2.409410477E-2
6.139541320E-1,-3.815832615E0,-5.705643177E0,-1.433901787E-1
6.190047570E-1,-4.925984383E0,-8.935770035E0,-4.440146923E0
6.240564230E-1,-6.375365257E0,-1.274046803E1,-8.829216003E0
6.291080380E-1,-7.487637043E0,-1.646432877E1,-9.493006706E0
6.341596520E-1,-6.287540436E0,-1.962243843E1,-5.710640907E0
6.392113190E-1,-2.571184397E0,-1.977961540E1,7.763834000E-1
6.442629340E-1,1.841006279E0,-1.520084572E1,6.000337601E0
6.493087670E-1,5.079557419E0,-9.001035690E0,8.046880722E0
6.543604340E-1,5.647295952E0,-3.307122231E0,6.540202141E0
6.594120480E-1,4.664172649E0,1.462905407E0,4.311901093E0
6.644636630E-1,3.287469149E0,5.022865772E0,2.896178007E0
6.695153300E-1,1.986209989E0,7.421901703E0,2.270896912E0
6.745669440E-1,7.284295559E-1,8.599373817E0,1.325994253E0
6.796128300E-1,-4.468398094E-1,8.906000137E0,-2.918267250E-1
6.846644960E-1,-1.150071383E0,8.419513702E0,-1.119928360E0
6.897161110E-1,-1.040266514E0,7.665184498E0,-7.421035767E-1
6.947677250E-1,-7.357721329E-1,6.953996658E0,5.767550468E-1
6.998193920E-1,-5.099413395E-1,6.229190350E0,1.946179152E0
7.048710070E-1,-4.159853458E-1,5.129111290E0,2.783084869E0
7.099168400E-1,-4.357728958E-1,3.794045925E0,2.871081829E0
7.149685070E-1,-7.032427788E-1,2.225908279E0,2.317855597E0
7.200201210E-1,-1.063992023E0,7.342376709E-1,1.391777992E0
7.250717360E-1,-1.454553843E0,-7.403545380E-1,5.360541344E-1
7.301234020E-1,-1.686903238E0,-2.251455784E0,-1.618618965E-1
7.351750170E-1,-1.552342653E0,-3.825392723E0,-5.045094490E-1
7.402209020E-1,-1.243360043E0,-5.277478218E0,-5.283951759E-1
7.452725690E-1,-4.941017628E-1,-6.535611153E0,-2.068438530E-1
7.503241840E-1,5.393247604E-1,-7.428548813E0,4.151122570E-1
7.553757980E-1,1.669507265E0,-7.554200172E0,1.161626339E0
7.604274650E-1,2.642691135E0,-7.084824562E0,1.911102533E0
7.654790800E-1,3.249166965E0,-6.227696419E0,2.359335423E0
7.705249130E-1,3.379033804E0,-5.113142967E0,2.450127602E0
7.755765800E-1,3.195246696E0,-3.906561852E0,2.083444118E0
7.806281940E-1,2.968939781E0,-2.761818886E0,1.674729586E0
7.856798090E-1,2.830536366E0,-1.806683540E0,1.299862146E0
7.907314750E-1,2.623603106E0,-1.178462029E0,9.745202065E-1
7.957830900E-1,2.340325594E0,-7.742204666E-1,6.935420036E-1
8.008289750E-1,1.900920272E0,-4.999637604E-1,3.929579258E-1
8.058806420E-1,1.361576080E0,-3.050746918E-1,9.153127670E-3
8.109322570E-1,8.984741569E-1,-1.461868286E-1,-1.637094021E-1
8.159838710E-1,5.378441811E-1,-8.716964722E-2,-1.205110550E-1
8.210355380E-1,2.269059420E-1,-6.183528900E-2,-1.485934258E-1
8.260871520E-1,-9.617233276E-2,-6.942749023E-3,-1.690104008E-1
8.311329860E-1,-3.034015894E-1,4.390811920E-2,-2.484228611E-1
8.361846520E-1,-3.110730648E-1,1.241712570E-1,-2.724921703E-1
8.412362670E-1,-3.994493484E-1,2.979125977E-1,-1.157612801E-1
8.462878820E-1,-7.219387293E-1,5.097923279E-1,3.107380867E-2
8.513395480E-1,-9.680370092E-1,7.202215195E-1,-5.800318718E-2
8.563911630E-1,-1.201084733E0,9.779443741E-1,-7.169485092E-2
8.614370480E-1,-1.239696145E0,1.209988594E0,4.101657867E-2
8.664887150E-1,-1.147394896E0,1.382141113E0,9.123277664E-2
8.715403300E-1,-1.076321840E0,1.447225571E0,1.413269043E-1
8.765919440E-1,-9.695459604E-1,1.475077629E0,2.256059647E-1
8.816436110E-1,-9.723332524E-1,1.551667690E0,3.115913868E-1
8.866952250E-1,-1.171946764E0,1.673083782E0,4.703865051E-1
8.917410590E-1,-1.350399852E0,1.836518764E0,6.566597223E-1
8.967927250E-1,-1.429102182E0,1.852511406E0,8.534618616E-1
9.018443400E-1,-1.473833799E0,1.869475365E0,9.125573635E-1
9.068959550E-1,-1.480424047E0,1.715920448E0,8.463172913E-1
9.119476210E-1,-1.431795001E0,1.570294380E0,7.893136144E-1
9.169992360E-1,-1.263446331E0,1.334939003E0,6.707030535E-1
9.220451210E-1,-9.994832277E-1,1.155755043E0,5.790824890E-1
9.270967880E-1,-7.183967233E-1,1.003942490E0,4.523540735E-1
9.321484020E-1,-3.780018091E-1,9.318275452E-1,3.563145399E-1
9.372000170E-1,5.501568317E-3,9.926710129E-1,3.808823824E-1
9.422516840E-1,2.647503018E-1,1.169170380E0,4.248673916E-1
9.473032980E-1,4.456541538E-1,1.360723495E0,4.115285873E-1
9.523491840E-1,5.698714256E-1,1.558959007E0,3.972766399E-1
9.574008500E-1,5.459329486E-1,1.786511421E0,3.130583167E-1
9.624524650E-1,4.078782201E-1,1.974158287E0,1.978225112E-1
9.675040800E-1,1.031751037E-1,2.134027958E0,-5.034321547E-2
9.725557460E-1,-2.251316905E-1,2.213847160E0,-3.156422973E-1
9.776073610E-1,-6.109066606E-1,2.184301376E0,-5.645555258E-1
9.826531940E-1,-1.085441113E0,2.060282707E0,-8.921129704E-1
9.877048610E-1,-1.391706467E0,1.911430836E0,-1.227830410E0
9.927564750E-1,-1.304440260E0,1.598583221E0,-1.436374307E0
9.978080900E-1,-1.219584465E0,1.265699387E0,-1.575486898E0
1.002859757E0,-1.120542049E0,9.963426590E-1,-1.705120444E0
1.007911371E0,-8.991104364E-1,7.616214752E-1,-2.025230646E0
1.012957205E0,-5.906016231E-1,6.078023911E-1,-2.383399725E0
1.018008871E0,-3.268433213E-1,4.308147430E-1,-2.855534554E0
1.023060486E0,-1.504794955E-1,3.153343201E-1,-3.211434603E0
1.028112100E0,-2.895057201E-3,1.919307709E-1,-3.456895113E0
1.033163767E0,3.254705667E-2,4.158210754E-2,-3.549230814E0
1.038215382E0,2.439987659E-2,-1.141452789E-1,-3.571913481E0
1.043261267E0,-6.437695026E-2,-3.359642029E-1,-3.498959303E0
