time,seconds_elapsed,dBFS
1686426574519000000,0.027,-71.76066589355469
1686426574619000000,0.127,-69.50170135498047
1686426574720000000,0.228,-70.17536163330078
1686426574820000000,0.328,-69.51206970214844
1686426574919000000,0.427,-51.153709411621094
1686426575020000000,0.528,-52.7187614440918
1686426575120000000,0.628,-47.652320861816406
1686426575220000000,0.728,-45.882205963134766
1686426575320000000,0.828,-38.16928482055664
1686426575421000000,0.929,-41.481380462646484
1686426575521000000,1.029,-44.020328521728516
1686426575621000000,1.129,-46.52656555175781
1686426575737000000,1.245,-40.728309631347656
1686426575837000000,1.345,-34.62065505981445
1686426575937000000,1.445,-26.938308715820312
1686426576038000000,1.546000244140625,-30.13083267211914
1686426576138000000,1.645999755859375,-33.780006408691406
1686426576237000000,1.745,-28.664064407348633
1686426576338000000,1.845999755859375,-14.706910133361816
1686426576438000000,1.946000244140625,-16.007375717163086
1686426576538000000,2.045999755859375,-19.29657554626465
1686426576638000000,2.146000244140625,-14.606088638305664
1686426576738000000,2.245999755859375,-8.902976989746094
1686426576838000000,2.346000244140625,-12.529720306396484
1686426576938000000,2.445999755859375,-17.222848892211914
1686426577038000000,2.546000244140625,-20.25726890563965
1686426577138000000,2.645999755859375,-22.97811508178711
1686426577238000000,2.746000244140625,-26.560169219970703
1686426577338000000,2.845999755859375,-16.145370483398438
1686426577439000000,2.947,-12.1862154006958
1686426577538000000,3.045999755859375,-13.30747127532959
1686426577639000000,3.147,-14.770004272460938
1686426577739000000,3.247,-13.694045066833496
1686426577839000000,3.347,-16.85275650024414
1686426577939000000,3.447,-18.84097671508789
1686426578039000000,3.547,-21.0683536529541
1686426578140000000,3.648,-24.03997802734375
1686426578239000000,3.747,-23.01014518737793
1686426578340000000,3.848,-25.12714958190918
1686426578456000000,3.964,-17.4672908782959
1686426578556000000,4.064,-18.048675537109375
1686426578656000000,4.164,-14.709131240844727
1686426578756000000,4.264,-18.393220901489258
1686426578857000000,4.365,-20.81014060974121
1686426578957000000,4.465,-23.95145034790039
1686426579057000000,4.565,-16.38164710998535
1686426579157000000,4.665,-18.129297256469727
1686426579257000000,4.765,-19.99482536315918
1686426579357000000,4.865,-22.624771118164062
1686426579457000000,4.965,-24.312082290649414
1686426579557000000,5.065,-14.928297996520996
1686426579657000000,5.165,-19.2379150390625
1686426579774000000,5.282000244140625,-22.861835479736328
1686426579874000000,5.381999755859375,-24.976716995239258
1686426579974000000,5.482000244140625,-28.275346755981445
1686426580074000000,5.581999755859375,-18.84063148498535
1686426580174000000,5.682000244140625,-12.60263729095459
1686426580275000000,5.783,-15.877116203308105
1686426580391000000,5.899,-19.606021881103516
1686426580491000000,5.999,-22.662254333496094
1686426580592000000,6.1,-25.165380477905273
1686426580691000000,6.199,-21.816797256469727
1686426580792000000,6.3,-25.451107025146484
1686426580891000000,6.399,-25.278072357177734
1686426580992000000,6.5,-27.38880157470703
1686426581092000000,6.6,-29.200475692749023
1686426581192000000,6.7,-25.60211753845215
1686426581292000000,6.8,-12.71077823638916
1686426581392000000,6.9,-15.412592887878418
1686426581492000000,7,-19.05224609375
1686426581592000000,7.1,-21.94081687927246
1686426581692000000,7.2,-24.32782554626465
1686426581792000000,7.3,-19.603260040283203
1686426581892000000,7.4,-22.779672622680664
1686426582009000000,7.517,-27.35851287841797
1686426582109000000,7.617,-20.8187198638916
1686426582209000000,7.717,-23.884695053100586
1686426582309000000,7.817,-27.38787078857422
