time,seconds_elapsed,dBFS
1686428459514000000,0.022999755859375,-66.76773071289062
1686428459614000000,0.123000244140625,-68.19483947753906
1686428459714000000,0.222999755859375,-66.29060363769531
1686428459815000000,0.324,-40.53895568847656
1686428459915000000,0.424,-31.639406204223633
1686428460014000000,0.523000244140625,-25.02271270751953
1686428460115000000,0.624,-27.03692054748535
1686428460216000000,0.725,-30.1134090423584
1686428460332000000,0.841,-33.17182159423828
1686428460432000000,0.941,-36.62324905395508
1686428460532000000,1.041,-38.84761428833008
1686428460632000000,1.141,-42.79351806640625
1686428460732000000,1.241,-46.457279205322266
1686428460832000000,1.341,-48.6209602355957
1686428460949000000,1.458,-36.546119689941406
1686428461049000000,1.558,-41.19099807739258
1686428461149000000,1.658,-39.95832824707031
1686428461250000000,1.758999755859375,-39.508567810058594
1686428461368000000,1.877,-33.241851806640625
1686428461466000000,1.974999755859375,-33.55204391479492
1686428461566000000,2.075000244140625,-36.66164016723633
1686428461666000000,2.174999755859375,-39.020851135253906
1686428461767000000,2.276,-38.6179313659668
1686428461882000000,2.390999755859375,-19.44617462158203
1686428461982000000,2.491000244140625,-22.651487350463867
1686428462083000000,2.592,-27.222036361694336
1686428462183000000,2.692,-25.21343421936035
1686428462283000000,2.792,-27.1513671875
1686428462384000000,2.893,-30.131303787231445
1686428462484000000,2.993,-34.09919357299805
1686428462600000000,3.109,-37.81731033325195
1686428462700000000,3.209,-41.199058532714844
1686428462800000000,3.309,-43.81694793701172
1686428462901000000,3.41,-45.87000274658203
1686428463000000000,3.509,-47.92131805419922
1686428463117000000,3.626,-45.615291595458984
1686428463217000000,3.726,-40.67359924316406
1686428463317000000,3.826,-35.786834716796875
1686428463417000000,3.926,-34.73455047607422
1686428463519000000,4.028,-37.7132453918457
1686428463634000000,4.142999755859375,-41.85149383544922
1686428463734000000,4.243000244140625,-44.3697624206543
1686428463834000000,4.342999755859375,-47.12294387817383
1686428463934000000,4.443000244140625,-41.75359344482422
1686428464035000000,4.544,-44.06758499145508
1686428464150000000,4.659000244140625,-43.14409637451172
1686428464251000000,4.76,-45.839866638183594
1686428464351000000,4.86,-48.0232048034668
1686428464451000000,4.96,-50.32994842529297
1686428464552000000,5.061,-46.63792037963867
1686428464651000000,5.16,-33.63522720336914
1686428464768000000,5.277,-38.228023529052734
1686428464869000000,5.378,-41.92942810058594
1686428464968000000,5.477,-44.626529693603516
1686428465068000000,5.577,-46.66619873046875
1686428465168000000,5.677,-47.12852478027344
1686428465285000000,5.794,-36.95463180541992
1686428465385000000,5.894,-31.15411376953125
1686428465485000000,5.994,-30.134347915649414
1686428465586000000,6.094999755859375,-32.778663635253906
1686428465685000000,6.194,-36.70743942260742
1686428465801000000,6.31,-28.209266662597656
1686428465901000000,6.41,-31.594249725341797
1686428466002000000,6.510999755859375,-35.70118713378906
1686428466102000000,6.611000244140625,-39.06068801879883
1686428466203000000,6.712,-42.65275955200195
1686428466303000000,6.812,-46.001243591308594
1686428466419000000,6.928,-36.7364387512207
1686428466518000000,7.027000244140625,-22.04320526123047
1686428466619000000,7.128,-24.46050453186035
1686428466720000000,7.229,-23.17972183227539
1686428466819000000,7.328,-25.117219924926758
1686428466936000000,7.445,-29.621814727783203
1686428467036000000,7.545,-32.33633804321289
1686428467136000000,7.645,-36.018211364746094
1686428467237000000,7.746,-39.35748291015625
1686428467353000000,7.862,-42.174434661865234
1686428467453000000,7.962,-44.472965240478516
1686428467552000000,8.061,-46.90290069580078
1686428467652000000,8.161,-37.81587219238281
1686428467753000000,8.262,-40.81331253051758
1686428467855000000,8.364,-43.46377182006836
1686428467969000000,8.478,-47.08436965942383
1686428468069000000,8.578,-49.44511413574219
1686428468170000000,8.678999755859374,-48.932464599609375
1686428468270000000,8.779000244140626,-35.051368713378906
1686428468370000000,8.878999755859375,-39.12259292602539
1686428468470000000,8.979000244140625,-42.339881896972656
1686428468571000000,9.08,-45.80103302001953
1686428468687000000,9.196,-49.513031005859375
1686428468787000000,9.296,-41.52717971801758
1686428468887000000,9.396,-44.492103576660156
1686428468987000000,9.496,-46.65540313720703
1686428469103000000,9.612,-49.27347946166992
1686428469204000000,9.713,-50.13945388793945
1686428469304000000,9.813,-46.178955078125
1686428469414000000,9.923000244140624,-31.347368240356445
1686428469520000000,10.029,-35.610660552978516
1686428469620000000,10.129,-38.707027435302734
1686428469720000000,10.229,-42.94615173339844
1686428469820000000,10.329,-45.99384307861328
1686428469921000000,10.43,-48.00740051269531
1686428470021000000,10.53,-46.640323638916016
1686428470121000000,10.63,-47.13933563232422
1686428470237000000,10.746,-49.10268783569336
1686428470337000000,10.846,-51.260929107666016
1686428470438000000,10.947000244140625,-50.9986686706543
1686428470538000000,11.046999755859375,-36.81553649902344
1686428470637000000,11.146,-39.63179397583008
1686428470738000000,11.246999755859376,-43.0902099609375
1686428470838000000,11.347000244140625,-45.586116790771484
1686428470937000000,11.446,-47.96989822387695
1686428471038000000,11.547000244140625,-49.79494094848633
1686428471138000000,11.646999755859374,-50.38141632080078
1686428471238000000,11.747000244140626,-44.46311569213867
1686428471338000000,11.846999755859375,-42.783782958984375
1686428471438000000,11.947000244140625,-44.85475540161133
1686428471538000000,12.046999755859375,-46.98646545410156
1686428471638000000,12.147000244140624,-48.797035217285156
1686428471738000000,12.246999755859376,-50.95846176147461
1686428471838000000,12.347000244140625,-31.38792610168457
1686428471938000000,12.446999755859375,-35.28649139404297
1686428472055000000,12.564,-39.3481559753418
1686428472155000000,12.664,-43.141822814941406
1686428472255000000,12.764,-45.883277893066406
1686428472355000000,12.864,-48.45612716674805
1686428472455000000,12.964,-46.292266845703125
1686428472572000000,13.081,-43.73554992675781
1686428472672000000,13.181,-37.97013473510742
1686428472772000000,13.281,-39.950355529785156
1686428472872000000,13.381,-42.62784194946289
1686428472972000000,13.481,-44.7541389465332
1686428473072000000,13.581,-47.96194839477539
1686428473189000000,13.698,-45.88629150390625
1686428473289000000,13.798,-43.70810317993164
1686428473389000000,13.898,-43.26005554199219
1686428473489000000,13.998,-27.936845779418945
1686428473589000000,14.098,-28.80217933654785
1686428473689000000,14.198,-31.189687728881836
1686428473789000000,14.298,-34.95865249633789
1686428473889000000,14.398,-37.91600036621094
1686428473990000000,14.499000244140625,-40.605445861816406
1686428474090000000,14.598999755859374,-32.781494140625
1686428474189000000,14.698,-35.62900924682617
1686428474289000000,14.798,-38.49491882324219
1686428474390000000,14.899000244140625,-41.88393020629883
1686428474489000000,14.998,-44.20741271972656
1686428474589000000,15.098,-41.78563690185547
1686428474689000000,15.198,-35.14039611816406
1686428474790000000,15.299000244140625,-38.0753059387207
1686428474890000000,15.398999755859375,-40.406951904296875
1686428474990000000,15.499000244140625,-42.34477233886719
1686428475090000000,15.598999755859374,-43.201759338378906
1686428475190000000,15.699000244140626,-41.16188049316406
1686428475290000000,15.798999755859375,-34.33329772949219
1686428475390000000,15.899000244140625,-36.56036376953125
1686428475490000000,15.998999755859375,-35.913795471191406
1686428475590000000,16.099000244140626,-37.96604919433594
