time,seconds_elapsed,dBFS
1686909971821000000,0.303,-80
1686909971928000000,0.41,-76
1686909972037000000,0.519,-61
1686909972144000000,0.626,-56
1686909972252000000,0.734,-48
1686909972361000000,0.843,-51
1686909972468000000,0.95,-53
1686909972577000000,1.059,-53
1686909972685000000,1.167,-44
1686909972792000000,1.274,-48
1686909972900000000,1.382,-48
1686909973008000000,1.49,-49
1686909973117000000,1.599,-41
1686909973225000000,1.707,-42
1686909973333000000,1.815,-42
1686909973440000000,1.922,-2
1686909973548000000,2.03,-18
1686909973656000000,2.138,-36
1686909973764000000,2.246,-36
1686909973872000000,2.354,-9
1686909973981000000,2.463,-17
1686909974089000000,2.571,-27
1686909974199000000,2.681,-27
1686909974305000000,2.787,-27
1686909974413000000,2.895,-23
1686909974521000000,3.003,-24
1686909974629000000,3.111,-25
1686909974736000000,3.218,-40
1686909974847000000,3.329,-30
1686909974953000000,3.435,-15
1686909975061000000,3.543,-15
1686909975169000000,3.651,-18
1686909975278000000,3.760000244140625,-27
1686909975385000000,3.867,-18
1686909975494000000,3.976000244140625,-22
1686909975601000000,4.083,-17
1686909975709000000,4.191,-2
1686909975817000000,4.299,-20
1686909975926000000,4.408000244140625,-17
1686909976033000000,4.515,-6
1686909976142000000,4.624000244140625,-2
1686909976250000000,4.731999755859375,-14
1686909976359000000,4.841,-5
1686909976466000000,4.947999755859375,-2
1686909976573000000,5.055,-3
1686909976681000000,5.163,-9
1686909976792000000,5.274,-13
1686909976898000000,5.379999755859375,-21
1686909977006000000,5.488000244140625,-27
1686909977113000000,5.595,-12
1686909977230000000,5.712000244140625,-7
1686909977347000000,5.829,-10
1686909977462000000,5.944000244140625,-21
1686909977578000000,6.059999755859375,-17
1686909977698000000,6.179999755859375,-15
1686909977811000000,6.293,-13
1686909977928000000,6.41,-17
1686909978044000000,6.526,-9
1686909978162000000,6.643999755859375,-18
1686909978276000000,6.758,-3
1686909978394000000,6.875999755859375,-13
1686909978511000000,6.993,-31
1686909978627000000,7.109,-13
1686909978743000000,7.225,-11
1686909978858000000,7.339999755859375,-12
1686909978975000000,7.457,-21
1686909979090000000,7.571999755859375,-19
1686909979208000000,7.69,-14
1686909979324000000,7.806,-7
1686909979440000000,7.922,-7
1686909979558000000,8.040000244140625,-19
1686909979674000000,8.155999755859375,-24
1686909979790000000,8.272000244140624,-15
1686909979906000000,8.387999755859376,-7
1686909980024000000,8.506,-12
1686909980139000000,8.621,-17
