"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.532466340E-1,-2.130119896E1,-2.063019943E1,-2.459519958E1
1.632466340E-1,-2.116699982E1,-2.069120026E1,-2.509539986E1
1.732466340E-1,-2.092300034E1,-2.061800003E1,-2.507099915E1
1.832466340E-1,-2.083759880E1,-2.049600029E1,-2.519299889E1
1.932466340E-1,-2.075219917E1,-2.039839935E1,-2.529059982E1
2.032466340E-1,-2.067899895E1,-2.032519913E1,-2.518079948E1
2.132466340E-1,-2.064239883E1,-2.020319939E1,-2.526619911E1
2.232466340E-1,-2.066679955E1,-2.010560036E1,-2.527840042E1
2.332466340E-1,-2.053260040E1,-1.989819908E1,-2.540040016E1
2.432466340E-1,-2.042280006E1,-1.960540009E1,-2.542479897E1
2.532466340E-1,-2.044719887E1,-1.942239952E1,-2.546139908E1
2.632466340E-1,-2.037400055E1,-1.922719955E1,-2.547360039E1
2.732466340E-1,-2.027639961E1,-1.908079910E1,-2.559560013E1
2.832466340E-1,-2.026420021E1,-1.893440056E1,-2.575419998E1
2.932466340E-1,-2.015439987E1,-1.882460022E1,-2.583959961E1
3.032466340E-1,-1.999580002E1,-1.865379906E1,-2.590060043E1
3.132466340E-1,-1.987380028E1,-1.858059883E1,-2.592499924E1
3.232466340E-1,-1.970299911E1,-1.856839943E1,-2.596159935E1
3.332466340E-1,-1.949559975E1,-1.853179932E1,-2.605920029E1
3.432466340E-1,-1.930039978E1,-1.859280014E1,-2.620559883E1
3.532466340E-1,-1.915399933E1,-1.862940025E1,-2.620559883E1
3.632466340E-1,-1.892219925E1,-1.869039917E1,-2.630319977E1
3.732466340E-1,-1.881239891E1,-1.872699928E1,-2.627879906E1
3.832466340E-1,-1.869039917E1,-1.890999985E1,-2.643739891E1
3.932466340E-1,-1.856839943E1,-1.899539948E1,-2.653499985E1
4.032466340E-1,-2.389979935E1,-1.034560013E1,-3.606319809E1
4.132466340E-1,-2.386319923E1,-1.041879940E1,-3.617300034E1
4.232466340E-1,-2.381439972E1,-1.045539951E1,-3.616080093E1
4.332466340E-1,-2.385099983E1,-1.049199963E1,-3.628279877E1
4.432466340E-1,-2.391199875E1,-1.051639938E1,-3.619739914E1
4.532466340E-1,-2.394859886E1,-1.057740021E1,-3.620959854E1
4.632466340E-1,-2.398519897E1,-1.060179996E1,-3.619739914E1
4.732466340E-1,-2.405839920E1,-1.060179996E1,-3.614859772E1
4.832466340E-1,-2.410719872E1,-1.049199963E1,-3.608760071E1
4.932466340E-1,-2.407059860E1,-1.044320011E1,-3.600220108E1
5.032466340E-1,-2.410719872E1,-1.032119942E1,-3.598999786E1
5.132466340E-1,-2.414379883E1,-1.028460026E1,-3.595339966E1
5.232466340E-1,-2.411940002E1,-1.017479992E1,-3.601440048E1
5.332466340E-1,-2.413159943E1,-1.010159969E1,-3.602659988E1
5.432466340E-1,-2.415600014E1,-1.000399971E1,-3.591679764E1
5.532466340E-1,-2.420479965E1,-9.955200195E0,-3.596559906E1
5.632466340E-1,-2.433899879E1,-9.930799484E0,-3.598999786E1
5.732466340E-1,-2.444879913E1,-9.881999969E0,-3.601440048E1
5.832466340E-1,-2.453419876E1,-9.918600082E0,-3.591679764E1
5.932466340E-1,-2.455859947E1,-9.894199371E0,-3.578260040E1
6.032466340E-1,-2.470499992E1,-9.808799744E0,-3.570940018E1
6.132466340E-1,-2.483919907E1,-9.698999405E0,-3.563619995E1
6.232466340E-1,-2.502219963E1,-9.637999535E0,-3.558739853E1
6.332466340E-1,-2.514419937E1,-9.637999535E0,-3.550199890E1
6.432466340E-1,-2.524180031E1,-9.613599777E0,-3.540439987E1
6.532466340E-1,-2.544919968E1,-9.589200020E0,-3.529459763E1
6.632466340E-1,-2.568099976E1,-9.528200150E0,-3.527019882E1
6.732466340E-1,-2.587619972E1,-9.406199455E0,-3.509939957E1
6.832466340E-1,-2.605920029E1,-9.394000053E0,-3.501399994E1
6.932466340E-1,-2.629100037E1,-9.345199585E0,-3.485540009E1
7.032466340E-1,-2.643739891E1,-9.271999359E0,-3.472119904E1
7.132466340E-1,-2.664480019E1,-9.174399376E0,-3.457479858E1
7.232466340E-1,-2.690099907E1,-9.040200233E0,-3.440399933E1
7.332466340E-1,-2.712059975E1,-8.954799652E0,-3.425759888E1
7.432466340E-1,-2.730360031E1,-8.845000267E0,-3.409899902E1
7.532466340E-1,-2.758419991E1,-8.808400154E0,-3.407460022E1
