"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.305328100E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.807328100E-2,2.847156525E-1,2.730798721E-2,3.009319305E-1
8.310562500E-2,5.547747612E-1,-1.473140717E-2,4.373369217E-1
8.813447900E-2,8.173699379E-1,-8.276987076E-2,5.501079559E-1
9.322390600E-2,1.124064445E0,-2.310330868E-1,5.860309601E-1
9.827411400E-2,1.436017036E0,-3.847994804E-1,2.897596359E-1
1.033832290E-1,1.637301207E0,-5.166046619E-1,-2.198057175E-1
1.083745830E-1,1.644530296E0,-5.505027771E-1,-7.221889496E-1
1.134069270E-1,1.270856142E0,-4.991741180E-1,-1.863346100E0
1.184750000E-1,1.034620404E0,-3.251483440E-1,-2.539572716E0
1.235252080E-1,1.211216211E0,-2.956910133E-1,-1.304354668E0
1.285754170E-1,1.140326023E0,-4.233421087E-1,-7.196426392E-2
1.336256770E-1,6.105952263E-1,-6.187887192E-1,7.059507370E-1
1.386758850E-1,-2.406775951E-1,-8.891389370E-1,1.343357086E0
1.437260940E-1,-1.007935166E0,-1.143272877E0,1.580242157E0
1.488938020E-1,-1.592343926E0,-1.364163160E0,1.450506210E0
1.539440100E-1,-1.905016065E0,-1.470472813E0,9.091529846E-1
1.589942710E-1,-2.067273617E0,-1.364745140E0,2.767333984E-1
1.640444270E-1,-2.151431561E0,-1.240037560E0,-2.702579498E-1
1.690946870E-1,-2.226336956E0,-1.193711877E0,-6.023645401E-1
1.741448960E-1,-2.224542618E0,-1.148289204E0,-9.039592743E-1
1.791951040E-1,-2.153457165E0,-1.019273520E0,-1.169246674E0
1.842844790E-1,-2.013871193E0,-8.778582215E-1,-1.306488991E0
1.892955210E-1,-1.879620790E0,-7.223674059E-1,-1.339315414E0
1.943457810E-1,-1.749104738E0,-5.977617502E-1,-1.383332253E0
1.993959890E-1,-1.709768176E0,-5.888837576E-1,-1.599308014E0
2.044461980E-1,-1.691481709E0,-5.996644497E-1,-1.920188904E0
