time,seconds_elapsed,dBFS
1686424984757000000,0.034,-44.6387939453125
1686424984857000000,0.134,-40.05461120605469
1686424984958000000,0.235000244140625,-33.91257095336914
1686424985058000000,0.334999755859375,-34.40825653076172
1686424985158000000,0.435000244140625,-35.77136993408203
1686424985258000000,0.534999755859375,-35.320499420166016
1686424985358000000,0.635000244140625,-36.32966613769531
1686424985458000000,0.734999755859375,-35.0122184753418
1686424985558000000,0.835000244140625,-33.00750732421875
1686424985658000000,0.934999755859375,-34.51919937133789
1686424985758000000,1.035000244140625,-30.309537887573242
1686424985858000000,1.134999755859375,-31.82493782043457
1686424985958000000,1.235000244140625,-30.995573043823242
1686424986058000000,1.334999755859375,-25.28220558166504
1686424986158000000,1.435000244140625,-13.485318183898926
1686424986259000000,1.536,-17.562013626098633
1686424986359000000,1.636,-20.4893741607666
1686424986475000000,1.752,-23.351839065551758
1686424986575000000,1.852,-24.74418830871582
1686424986675000000,1.952,-26.889127731323242
1686424986775000000,2.052,-16.284624099731445
1686424986876000000,2.153,-18.969955444335938
1686424986992000000,2.269,-20.672636032104492
1686424987092000000,2.369,-22.853742599487305
1686424987192000000,2.469,-22.62389373779297
1686424987292000000,2.569,-22.029401779174805
1686424987393000000,2.67,-24.59114646911621
1686424987509000000,2.786,-24.869680404663086
1686424987609000000,2.886,-14.8674955368042
1686424987709000000,2.986,-14.0628023147583
1686424987809000000,3.086,-17.202844619750977
1686424987909000000,3.186,-20.04128074645996
1686424988009000000,3.286,-23.14381980895996
1686424988126000000,3.403000244140625,-21.416322708129883
1686424988226000000,3.502999755859375,-11.147714614868164
1686424988326000000,3.603000244140625,-13.939940452575684
1686424988426000000,3.702999755859375,-16.7265682220459
1686424988526000000,3.803000244140625,-18.969642639160156
1686424988643000000,3.92,-21.2590389251709
1686424988743000000,4.02,-12.559616088867188
1686424988843000000,4.12,-11.89806842803955
1686424988943000000,4.22,-14.565021514892578
1686424989044000000,4.321,-18.4153995513916
1686424989160000000,4.437,-20.434629440307617
1686424989260000000,4.537,-22.544809341430664
1686424989359000000,4.636,-12.673402786254883
1686424989460000000,4.737,-15.980302810668945
1686424989560000000,4.837,-18.164745330810547
1686424989660000000,4.937,-20.397865295410156
1686424989760000000,5.037,-19.22392463684082
1686424989859000000,5.136,-12.725301742553711
1686424989960000000,5.237,-9.163324356079102
1686424990060000000,5.337,-13.1361083984375
1686424990160000000,5.437,-15.974822044372559
1686424990260000000,5.537,-19.42262840270996
1686424990360000000,5.637,-22.561552047729492
1686424990460000000,5.737,-7.730697154998779
1686424990560000000,5.837,-11.763425827026367
1686424990660000000,5.937,-14.670040130615234
1686424990760000000,6.037,-18.17690086364746
1686424990860000000,6.137,-20.921525955200195
1686424990977000000,6.254,-16.272645950317383
1686424991094000000,6.371000244140625,-15.838528633117676
1686424991194000000,6.470999755859375,-19.182411193847656
1686424991294000000,6.571000244140625,-21.11825942993164
1686424991394000000,6.670999755859375,-22.954519271850586
1686424991494000000,6.771000244140625,-16.556053161621094
1686424991594000000,6.870999755859375,-16.91223907470703
1686424991694000000,6.971000244140625,-19.18865394592285
1686424991794000000,7.070999755859375,-22.322338104248047
1686424991894000000,7.171000244140625,-24.636438369750977
1686424991994000000,7.270999755859375,-24.655872344970703
1686424992094000000,7.371000244140625,-6.393796920776367
1686424992194000000,7.470999755859375,-10.521097183227539
1686424992294000000,7.571000244140625,-13.582344055175781
1686424992395000000,7.672,-16.913616180419922
1686424992495000000,7.772,-14.798932075500488
1686424992611000000,7.888,-13.056577682495117
1686424992711000000,7.988,-16.6754207611084
1686424992812000000,8.089,-14.02590560913086
1686424992911000000,8.188,-16.240739822387695
1686424993012000000,8.289,-19.74834632873535
1686424993128000000,8.405,-10.758157730102539
1686424993228000000,8.505,-13.782803535461426
1686424993328000000,8.605,-17.150360107421875
1686424993428000000,8.705,-14.181819915771484
1686424993529000000,8.806,-16.869735717773438
1686424993645000000,8.922,-7.28547477722168
1686424993745000000,9.022,-9.270627975463867
1686424993845000000,9.122,-13.383451461791992
1686424993945000000,9.222,-9.664695739746094
1686424994046000000,9.323000244140625,-13.429994583129883
1686424994146000000,9.422999755859376,-13.257307052612305
1686424994262000000,9.539000244140626,-9.310240745544434
1686424994362000000,9.638999755859375,-11.98035717010498
1686424994462000000,9.739000244140625,-14.340753555297852
1686424994562000000,9.838999755859374,-18.13309669494629
1686424994662000000,9.939000244140624,-18.82452964782715
1686424994762000000,10.038999755859376,-15.89316177368164
1686424994862000000,10.139000244140625,-14.584665298461914
1686424994962000000,10.238999755859375,-17.599353790283203
1686424995062000000,10.339000244140625,-13.914087295532227
1686424995162000000,10.438999755859374,-17.419710159301758
1686424995263000000,10.54,-15.835190773010254
1686424995379000000,10.656,-14.303421020507812
1686424995479000000,10.756,-17.448631286621094
1686424995579000000,10.856,-20.496929168701172
1686424995679000000,10.956,-22.744626998901367
1686424995779000000,11.056,-8.164729118347168
1686424995879000000,11.156,-10.181172370910645
1686424995980000000,11.257,-14.194802284240723
1686424996080000000,11.357,-17.160629272460938
1686424996180000000,11.457,-20.164522171020508
1686424996280000000,11.557,-19.666929244995117
1686424996380000000,11.657,-9.867596626281738
1686424996480000000,11.757,-13.10327434539795
1686424996580000000,11.857,-15.987229347229004
1686424996680000000,11.957,-19.08599281311035
1686424996780000000,12.057,-21.110431671142578
1686424996881000000,12.158,-15.617582321166992
1686424996997000000,12.274,-11.326009750366211
1686424997097000000,12.374,-15.044459342956543
1686424997197000000,12.474,-15.659595489501953
1686424997297000000,12.574,-18.671192169189453
1686424997398000000,12.675000244140625,-17.9140682220459
1686424997513000000,12.79,-14.399239540100098
1686424997613000000,12.89,-17.145126342773438
1686424997714000000,12.990999755859375,-19.809900283813477
1686424997814000000,13.091000244140625,-15.194010734558105
1686424997930000000,13.206999755859375,-13.71268367767334
1686424998031000000,13.308,-15.23741340637207
1686424998131000000,13.408,-18.47701644897461
1686424998231000000,13.508,-20.270967483520508
1686424998331000000,13.608,-21.83524513244629
1686424998431000000,13.708,-19.51201629638672
1686424998532000000,13.809,-12.05593490600586
1686424998648000000,13.925,-15.612743377685547
1686424998748000000,14.025,-17.007415771484375
1686424998848000000,14.125,-19.891328811645508
1686424998948000000,14.225,-21.332048416137695
1686424999049000000,14.326,-17.177734375
1686424999164000000,14.441,-15.315645217895508
1686424999265000000,14.542,-12.982669830322266
1686424999364000000,14.641,-16.19499969482422
1686424999465000000,14.742,-18.44767189025879
1686424999565000000,14.842,-12.729827880859375
1686424999665000000,14.942,-15.601692199707031
1686424999765000000,15.042,-18.200101852416992
1686424999865000000,15.142,-20.078697204589844
1686424999965000000,15.242,-22.279756546020508
1686425000065000000,15.342,-12.992157936096191
