"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.020041651E-3,-5.252577209E-1,-1.087638245E1,4.263434143E0
1.296504165E-2,-6.137237549E-3,-1.005054977E1,4.262086945E0
2.291004165E-2,4.953199768E-1,-9.347012787E0,4.226161652E0
3.285604165E-2,1.070424042E0,-8.445737000E0,4.455185394E0
4.280104165E-2,2.146685944E0,-8.034392395E0,4.687651978E0
5.274604165E-2,3.245251465E0,-8.384214935E0,4.978347473E0
6.269204165E-2,4.322112122E0,-9.570048981E0,5.224136353E0
7.263704165E-2,5.662574615E0,-1.115405502E1,5.369633789E0
8.258204165E-2,6.566245422E0,-1.217852463E1,5.343138885E0
9.252704165E-2,7.726183319E0,-1.252804779E1,5.078788605E0
1.024730417E-1,8.631650391E0,-1.242191849E1,4.710105286E0
1.124180417E-1,9.038204956E0,-1.206386307E1,4.536166992E0
1.223630416E-1,7.702532501E0,-1.130254623E1,3.904630280E0
1.323080416E-1,5.441783752E0,-1.009291168E1,2.725831604E0
1.422540417E-1,3.636088715E0,-9.151669006E0,1.387764130E0
1.521990417E-1,2.123933258E0,-8.480015717E0,4.110452271E-1
1.621440416E-1,1.013692017E0,-7.976462860E0,-1.288819885E-1
1.720890416E-1,4.041595459E-2,-7.688012695E0,-3.888912964E-1
1.820350417E-1,-9.518705750E-1,-7.707322540E0,-5.854325867E-1
1.919800417E-1,-2.353406067E0,-8.051007843E0,-8.991801453E-1
2.019250416E-1,-3.731739807E0,-8.581055603E0,-1.487307129E0
2.118700416E-1,-4.251159668E0,-8.911418610E0,-1.536405029E0
2.218160417E-1,-4.353247375E0,-8.447233887E0,-1.377585297E0
2.317610417E-1,-3.827241211E0,-7.376809845E0,-1.031654663E0
2.417060416E-1,-3.408861237E0,-6.300697632E0,-8.439450073E-1
2.516510417E-1,-2.889141998E0,-5.661975861E0,-6.641688538E-1
2.615970417E-1,-2.030228119E0,-5.033432922E0,-5.514532471E-1
2.715420416E-1,-1.536854095E0,-4.489015045E0,-2.710862732E-1
2.814870416E-1,-1.194366302E0,-4.112996979E0,3.832031250E-2
2.914320417E-1,-9.678872681E-1,-3.907773743E0,3.126997375E-1
3.013780417E-1,-9.518705750E-1,-3.631897430E0,3.995191956E-1
3.113230416E-1,-7.228468323E-1,-3.414399719E0,-3.457809448E-2
3.212680416E-1,-4.944218445E-1,-3.978127441E0,-1.013991394E0
3.312140417E-1,-5.968089294E-1,-5.470074921E0,-2.150877228E0
3.411590417E-1,-4.599934387E-1,-6.450386353E0,-2.980003052E0
3.511040416E-1,-7.137158203E-1,-7.472760315E0,-3.516337738E0
3.610490416E-1,-6.472540283E-1,-8.638536072E0,-3.941603394E0
3.709950417E-1,-6.366261292E-1,-9.694290619E0,-4.108206940E0
3.809400417E-1,-6.393205261E-1,-1.060544586E1,-4.167333984E0
3.908850416E-1,-2.656974792E-1,-1.135733231E1,-3.717369690E0
4.008300417E-1,2.505789185E-1,-1.192794571E1,-2.376009064E0
4.107760417E-1,8.324189758E-1,-1.288236099E1,-3.839515686E-1
4.207210416E-1,1.039737854E0,-1.445349380E1,1.782193909E0
