"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.749041670E-3,-1.163067698E0,-1.462408066E0,7.554199696E-1
1.669404167E-2,-1.047627687E0,-1.275388479E0,7.214810252E-1
2.663904167E-2,-8.716462851E-1,-1.073203206E0,6.629713774E-1
3.658504167E-2,-6.446260810E-1,-9.279308319E-1,5.337275267E-1
4.653004167E-2,-3.817020357E-1,-7.987393141E-1,3.438745737E-1
5.647504167E-2,-1.157424524E-1,-6.664791703E-1,1.385641843E-1
6.642104167E-2,1.120393127E-1,-5.746361017E-1,-5.968259275E-2
7.636604167E-2,2.551242113E-1,-4.566671550E-1,-1.218076944E-1
8.631104167E-2,3.131755292E-1,-4.188476205E-1,-1.331754029E-1
9.625604167E-2,2.312008739E-1,-6.343179345E-1,-1.548795551E-1
1.062020417E-1,9.588112682E-2,-8.281662464E-1,-2.712354660E-1
1.161470417E-1,-2.450881526E-2,-7.971448898E-1,-3.675571382E-1
1.260920417E-1,-1.367623806E-1,-5.155971050E-1,-4.283427298E-1
1.360370417E-1,-2.942946851E-1,-2.642275989E-1,-4.357070327E-1
1.459830417E-1,-4.807364643E-1,-7.424194366E-2,-3.686757982E-1
1.559280417E-1,-6.635742188E-1,9.535963833E-2,-2.607538104E-1
1.658730417E-1,-8.083793521E-1,3.056039512E-1,-1.157926321E-1
1.758180417E-1,-8.974680901E-1,5.360653400E-1,7.980825379E-3
1.857640417E-1,-9.718016982E-1,7.687747478E-1,1.215694398E-1
1.957090417E-1,-1.099886894E0,1.002005219E0,3.107041717E-1
2.056540417E-1,-1.211413980E0,1.114235163E0,5.060534477E-1
2.155990417E-1,-1.253548980E0,1.032956481E0,7.160373330E-1
2.255450417E-1,-1.141600370E0,6.758325100E-1,8.418141603E-1
2.354900417E-1,-9.123851657E-1,5.554915592E-2,8.957390785E-1
2.454350417E-1,-6.838966012E-1,-5.292607546E-1,8.777547479E-1
2.553800417E-1,-5.107675791E-1,-9.424028397E-1,7.791228294E-1
2.653260417E-1,-3.519760966E-1,-1.225310445E0,6.287365556E-1
2.752710417E-1,-1.999004930E-1,-1.337791562E0,4.391459823E-1
2.852160417E-1,-2.644722536E-2,-1.212413669E0,2.313839942E-1
2.951610417E-1,1.759468317E-1,-8.527797461E-1,5.335253477E-2
3.051070417E-1,3.524172306E-1,-3.189139962E-1,-1.364224553E-1
3.150520417E-1,4.359594584E-1,3.676567674E-1,-3.404977620E-1
3.249970417E-1,4.402876198E-1,8.930723667E-1,-4.111415744E-1
3.349430417E-1,3.896492720E-1,1.131779075E0,-4.654556215E-1
3.448880417E-1,3.065184355E-1,1.222997069E0,-4.849531651E-1
3.548330417E-1,2.017269135E-1,1.240438819E0,-5.301287174E-1
3.647780417E-1,9.251307696E-2,1.357093811E0,-5.781255364E-1
3.747240417E-1,-3.979856893E-2,1.531366944E0,-6.057181358E-1
3.846690417E-1,-1.451676041E-1,1.758993149E0,-6.617193818E-1
3.946140417E-1,-1.440006196E-1,1.967267632E0,-7.637562156E-1
4.045590417E-1,1.066485047E-2,2.006551981E0,-9.274830818E-1
4.145050417E-1,3.094359934E-1,1.716431022E0,-1.121199846E0
4.244500417E-1,5.893014669E-1,1.107595444E0,-1.313088298E0
4.343949167E-1,6.352428794E-1,3.580017388E-1,-1.515667558E0
4.443399167E-1,3.966867328E-1,-2.006484717E-1,-1.407359242E0
4.542859167E-1,-5.438856781E-3,-5.663546920E-1,-6.865915060E-1
4.642309167E-1,-4.465395808E-1,-6.437405944E-1,-1.102166548E-1
4.741759167E-1,-7.567453384E-1,-3.626624346E-1,1.650335193E-1
4.841209167E-1,-8.641309142E-1,-7.236083597E-2,2.863287628E-1
4.940669167E-1,-8.499311209E-1,8.680045605E-2,2.498563230E-1
5.040119167E-1,-7.926497459E-1,1.053365916E-1,1.668338776E-1
5.139569167E-1,-6.197907925E-1,-1.381094754E-1,3.140836209E-2
5.239019167E-1,-2.356559336E-1,-7.356581092E-1,-1.508288085E-1
5.338479167E-1,2.975542843E-1,-1.517207623E0,-3.847042322E-1
5.437929167E-1,7.775379419E-1,-2.222977877E0,-6.266736984E-1
5.537379167E-1,1.017331481E0,-2.520380259E0,-7.109429240E-1
5.636829167E-1,9.837756157E-1,-2.312939644E0,-6.478185058E-1
5.736289167E-1,7.446114421E-1,-1.653032660E0,-4.985050559E-1
5.835739167E-1,4.062525928E-1,-8.284069896E-1,-3.035550117E-1
5.935189167E-1,1.220646054E-1,-2.032440603E-1,-1.089021787E-1
6.034649167E-1,-1.351398975E-2,4.444349930E-2,6.784676015E-2
6.134099167E-1,8.850229532E-2,3.984934092E-2,2.143154889E-1
6.233549167E-1,3.766448796E-1,4.961994663E-2,3.960471749E-1
6.332999167E-1,7.304713130E-1,1.943533123E-1,6.456552744E-1
6.432459167E-1,1.047937155E0,5.539833903E-1,9.560413957E-1
6.531909167E-1,1.210892320E0,1.009108186E0,1.209642649E0
6.631359167E-1,1.144668818E0,1.449036598E0,1.241008639E0
6.730809167E-1,9.020233154E-1,1.839248896E0,1.133357525E0
6.830269167E-1,6.294122934E-1,1.985417008E0,1.000984788E0
6.929719167E-1,4.250733554E-1,1.841219902E0,8.920820951E-1
7.029169167E-1,3.393821716E-1,1.305639863E0,8.195114732E-1
7.128619167E-1,3.322191238E-1,3.996569216E-1,7.614179254E-1
7.228079167E-1,3.334170282E-1,-6.836813092E-1,6.905048490E-1
7.327529167E-1,2.706471384E-1,-1.715948343E0,6.133264899E-1
7.426979167E-1,1.473081559E-1,-2.487441778E0,4.905742109E-1
7.526429167E-1,1.558363903E-2,-2.857809782E0,4.009755552E-1
7.625889167E-1,-6.332768500E-2,-2.767657042E0,3.839587271E-1
7.725339167E-1,-6.747055799E-2,-2.292968750E0,4.199479520E-1
7.824789167E-1,-1.760522253E-3,-1.571428657E0,4.224779606E-1
7.924239167E-1,1.535924077E-1,-1.016289234E0,3.700855076E-1
8.023699167E-1,3.483405709E-1,-8.912111521E-1,2.559069991E-1
8.123149167E-1,5.352900624E-1,-1.050305247E0,1.315898299E-1
8.222599167E-1,7.095662355E-1,-1.233979940E0,2.684263885E-2
8.322059167E-1,8.767312765E-1,-1.274003625E0,-5.727872252E-2
8.421509167E-1,9.985778332E-1,-1.154569149E0,-1.322392523E-1
8.520959167E-1,1.067083955E0,-1.009812951E0,-1.732378751E-1
8.620409167E-1,1.081928253E0,-9.796164036E-1,-1.668079495E-1
8.719869167E-1,1.027812362E0,-1.021615863E0,-1.337725967E-1
8.819319167E-1,8.767400384E-1,-1.094838619E0,-8.729271591E-2
8.918769167E-1,6.821720004E-1,-1.181009769E0,-2.851393819E-2
9.018219167E-1,4.908534586E-1,-1.231733918E0,4.234185815E-2
9.117679167E-1,3.498046100E-1,-1.191233039E0,1.061987579E-1
9.217129167E-1,2.459301353E-1,-1.047698021E0,1.752611697E-1
9.316579167E-1,1.737480909E-1,-8.232880235E-1,2.648199499E-1
9.416029167E-1,1.695384234E-1,-5.907884240E-1,3.720484078E-1
9.515489167E-1,1.833277494E-1,-4.645126164E-1,4.018375576E-1
9.614939167E-1,1.423121393E-1,-4.788947403E-1,3.821322918E-1
9.714389167E-1,-3.484084271E-3,-5.672277808E-1,3.632149398E-1
9.813839167E-1,-2.191673666E-1,-5.733528137E-1,3.202733397E-1
9.913299167E-1,-4.488135874E-1,-4.720525742E-1,2.624790967E-1
1.001274917E0,-6.446864009E-1,-3.820624948E-1,2.596715987E-1
1.011219917E0,-8.176277876E-1,-3.553650379E-1,2.910428941E-1
1.021165917E0,-9.887750149E-1,-4.607556462E-1,3.467511535E-1
1.031110917E0,-1.146819949E0,-5.949655175E-1,4.586771131E-1
1.041055917E0,-1.210319638E0,-6.327528358E-1,5.905874372E-1
1.051000917E0,-1.185167432E0,-5.190674663E-1,6.839031577E-1
1.060946917E0,-1.107281923E0,-2.859753668E-1,7.284762263E-1
