"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.749041670E-3,-1.000139413E0,-1.641910434E0,2.809934446E0
1.669404167E-2,-5.834723076E-1,-6.833442128E-1,3.101608180E0
2.663904167E-2,4.928393321E-2,4.387165904E-3,3.093998614E0
3.658504167E-2,5.395075317E-1,8.817174357E-1,3.312689157E0
4.653004167E-2,1.423227931E0,1.609650761E0,3.589195215E0
5.647504167E-2,2.603138016E0,1.646180071E0,3.882613174E0
6.642104167E-2,3.600686747E0,8.988076776E-1,4.163697016E0
7.636604167E-2,4.875389115E0,-6.257544011E-1,4.341044236E0
8.631104167E-2,5.979807699E0,-2.001432336E0,4.396820827E0
9.625604167E-2,6.919865144E0,-2.663557588E0,4.213666152E0
1.062020417E-1,8.060224809E0,-2.788219641E0,3.853837856E0
1.161470417E-1,8.685241876E0,-2.487983243E0,3.578746240E0
1.260920417E-1,8.331142682E0,-2.026163719E0,3.285368042E0
1.360370417E-1,6.210326575E0,-9.492691487E-1,2.355703292E0
1.459830417E-1,4.105805488E0,1.835230494E-1,1.073582269E0
1.559280417E-1,2.420456674E0,9.591304779E-1,-7.304860733E-2
1.658730417E-1,1.104703709E0,1.562911043E0,-7.475689331E-1
1.758180417E-1,7.808704343E-2,1.976210956E0,-1.035558410E0
1.857640417E-1,-8.463621001E-1,2.115117411E0,-1.163294199E0
1.957090417E-1,-1.980533218E0,1.954283897E0,-1.259250516E0
2.056540417E-1,-3.473786965E0,1.459876086E0,-1.697877059E0
2.155990417E-1,-4.362672795E0,1.014759718E0,-1.909506505E0
2.255450417E-1,-4.569027759E0,9.947160476E-1,-1.713854576E0
2.354900417E-1,-4.263206394E0,1.869336718E0,-1.338835799E0
2.454350417E-1,-3.611388906E0,3.016769174E0,-9.740022862E-1
2.553800417E-1,-3.164918031E0,3.854064143E0,-7.514280224E-1
2.653260417E-1,-2.332732944E0,4.456325601E0,-5.646094823E-1
2.752710417E-1,-1.563925827E0,5.067181882E0,-3.673595095E-1
2.852160417E-1,-1.155909896E0,5.526017572E0,-2.710418344E-2
2.951610417E-1,-8.436313042E-1,5.818118738E0,2.469559836E-1
3.051070417E-1,-7.184596664E-1,6.006944042E0,4.405619717E-1
3.150520417E-1,-7.164287822E-1,6.334144290E0,2.703284740E-1
3.249970417E-1,-3.496246120E-1,6.264507460E0,-5.213669837E-1
3.349430417E-1,-4.899693359E-1,5.092930681E0,-1.660067208E0
3.448880417E-1,-4.251136645E-1,3.793125046E0,-2.746597406E0
3.548330417E-1,-5.483492892E-1,2.880525541E0,-3.389980577E0
3.647780417E-1,-7.686450027E-1,1.757763657E0,-3.911796627E0
3.747240417E-1,-6.741202301E-1,6.112006813E-1,-4.205703413E0
3.846690417E-1,-8.467883621E-1,-3.399115098E-1,-4.298881719E0
3.946140417E-1,-6.911913954E-1,-1.219490619E0,-4.190961998E0
4.045590417E-1,-3.189796106E-1,-1.828348905E0,-3.282018757E0
4.145050417E-1,1.646164064E-1,-2.512672527E0,-1.598387854E0
4.244500417E-1,4.954529644E-1,-3.837516523E0,5.323942477E-1
4.343949167E-1,3.892552856E-1,-5.454008526E0,2.236337793E0
4.443399167E-1,5.364319693E-1,-6.713781783E0,2.021775384E0
4.542859167E-1,9.063028579E-1,-7.098603417E0,1.427978136E-1
4.642309167E-1,1.604035680E0,-6.597628598E0,-2.331917549E0
4.741759167E-1,3.910518426E0,-4.714533382E0,-4.927400683E0
4.841209167E-1,4.129306617E0,-1.780678310E0,-6.512140551E0
4.940669167E-1,1.777078911E0,-9.739367974E-1,-6.563864436E0
5.040119167E-1,1.138131583E0,-1.516612789E0,-5.720353877E0
5.139569167E-1,1.867344279E0,-2.639816723E0,-4.188450619E0
5.239019167E-1,3.116648973E0,-3.672637905E0,-1.838030140E0
5.338479167E-1,4.347134696E0,-4.132175846E0,1.666095103E0
5.437929167E-1,5.207371801E0,-3.566326169E0,5.134747628E0
5.537379167E-1,5.482278644E0,-2.170657774E0,6.730921726E0
5.636829167E-1,4.422615234E0,-1.212026648E0,6.299835168E0
5.736289167E-1,2.465760900E0,-5.817044020E-2,4.546003763E0
5.835739167E-1,1.070868649E0,1.754296843E0,3.049822315E0
5.935189167E-1,4.353179694E-1,3.130574117E0,2.537197503E0
6.034649167E-1,1.961322045E-1,3.689986010E0,2.977080613E0
6.134099167E-1,2.881104416E-1,3.454619207E0,3.885098825E0
6.233549167E-1,3.836080447E-1,2.884771205E0,4.987704188E0
6.332999167E-1,-2.052074486E-1,1.927870855E0,5.867050577E0
6.432459167E-1,-1.436762920E0,5.088276297E-1,6.045360249E0
6.531909167E-1,-2.704669946E0,-8.799246794E-1,5.758057893E0
