"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.749041670E-3,1.816955566E1,4.255271912E1,-9.925899506E0
1.669404167E-2,1.834754181E1,4.254555511E1,-9.896305084E0
2.663904167E-2,1.849003601E1,4.253743362E1,-9.838550568E0
3.658504167E-2,1.875455475E1,4.253279114E1,-9.687183380E0
4.653004167E-2,1.892201996E1,4.224842834E1,-9.470790863E0
5.647504167E-2,1.916697693E1,4.218404770E1,-9.228801727E0
6.642104167E-2,1.932334137E1,4.206684494E1,-9.294437408E0
7.636604167E-2,1.930409241E1,4.194264603E1,-9.275867462E0
8.631104167E-2,1.930596924E1,4.185414886E1,-9.413478851E0
9.625604167E-2,1.918634033E1,4.190651703E1,-9.675243378E0
1.062020417E-1,1.915261078E1,4.180952454E1,-9.993206024E0
1.161470417E-1,1.885382080E1,4.184698868E1,-1.013198471E1
1.260920417E-1,1.872839355E1,4.182189178E1,-1.030259323E1
1.360370417E-1,1.849425507E1,4.194205856E1,-1.034987259E1
1.459830417E-1,1.827343750E1,4.200175095E1,-1.052267075E1
1.559280417E-1,1.815481567E1,4.195114899E1,-1.044219589E1
1.658730417E-1,1.793651581E1,4.213396454E1,-1.017875290E1
1.758180417E-1,1.785410309E1,4.216603088E1,-9.931209564E0
1.857640417E-1,1.771137238E1,4.222388458E1,-9.610759735E0
1.957090417E-1,1.764036560E1,4.238104630E1,-9.333309174E0
2.056540417E-1,1.756968689E1,4.237918854E1,-8.951915741E0
2.155990417E-1,1.763813019E1,4.241572952E1,-8.478839874E0
2.255450417E-1,1.794083405E1,4.240924072E1,-7.906368256E0
2.354900417E-1,1.827883148E1,4.242118454E1,-7.157161713E0
2.454350417E-1,1.861925507E1,4.220785522E1,-6.493198395E0
2.553800417E-1,1.902201843E1,4.214191055E1,-5.884639740E0
2.653260417E-1,1.937882996E1,4.184806061E1,-5.599872589E0
2.752710417E-1,1.937882996E1,4.184806061E1,-5.599872589E0
2.852160417E-1,1.968309021E1,4.166445923E1,-5.376834869E0
2.951610417E-1,1.987911224E1,4.159798050E1,-5.407276154E0
3.051070417E-1,2.010971832E1,4.145120239E1,-5.560588837E0
3.150520417E-1,2.019586945E1,4.130995941E1,-5.659191132E0
3.249970417E-1,2.012908173E1,4.127090836E1,-5.921718597E0
3.349430417E-1,2.015925598E1,4.126946259E1,-6.134166718E0
3.448880417E-1,2.016858673E1,4.130971527E1,-6.331745148E0
3.548330417E-1,2.005390930E1,4.131422806E1,-6.324283600E0
3.647780417E-1,1.998505402E1,4.148519135E1,-6.237606049E0
3.747240417E-1,1.985467529E1,4.156404114E1,-6.261318207E0
3.846690417E-1,1.965667725E1,4.162627411E1,-6.218105316E0
3.946140417E-1,1.934260559E1,4.160446930E1,-5.978862762E0
4.045590417E-1,1.921185303E1,4.169832993E1,-5.760814667E0
4.145050417E-1,1.905793762E1,4.180152130E1,-5.618579865E0
4.244500417E-1,1.886173248E1,4.196065903E1,-5.251544952E0
4.343949167E-1,1.854881287E1,4.207853317E1,-4.792354584E0
4.443399167E-1,1.807740784E1,4.234428406E1,-4.459926605E0
4.542859167E-1,1.761034393E1,4.249525452E1,-4.367061615E0
4.642309167E-1,1.703517151E1,4.273558044E1,-4.339473724E0
4.741759167E-1,1.651159668E1,4.295388031E1,-4.306171417E0
4.841209167E-1,1.606388092E1,4.308646011E1,-4.386013031E0
4.940669167E-1,1.587982178E1,4.323984909E1,-4.517581940E0
5.040119167E-1,1.588938141E1,4.319823074E1,-4.454402924E0
5.139569167E-1,1.605582428E1,4.325911713E1,-4.276920319E0
5.239019167E-1,1.620848083E1,4.320391083E1,-3.941753387E0
5.338479167E-1,1.611448669E1,4.319404602E1,-3.706958771E0
5.437929167E-1,1.604216003E1,4.317342758E1,-3.458774567E0
5.537379167E-1,1.603456116E1,4.321044540E1,-3.282245636E0
5.636829167E-1,1.597833252E1,4.317993927E1,-3.469692230E0
5.736289167E-1,1.574227142E1,4.319182205E1,-3.965335846E0
5.835739167E-1,1.544111633E1,4.329492188E1,-4.751567841E0
5.935189167E-1,1.507198334E1,4.334826660E1,-5.607044220E0
6.034649167E-1,1.483908844E1,4.333632660E1,-6.237537384E0
6.134099167E-1,1.463040161E1,4.335686493E1,-6.628932953E0
6.233549167E-1,1.450863647E1,4.353211594E1,-6.967502594E0
6.332999167E-1,1.435488129E1,4.349023438E1,-7.133441925E0
6.432459167E-1,1.440090942E1,4.334778976E1,-7.135456085E0
6.531909167E-1,1.444809723E1,4.331222916E1,-7.231578827E0
6.631359167E-1,1.475373840E1,4.332911301E1,-7.442211151E0
6.730809167E-1,1.513529968E1,4.317772293E1,-7.580120087E0
6.830269167E-1,1.561318970E1,4.296623230E1,-7.974765778E0
6.929719167E-1,1.617596436E1,4.251212692E1,-8.310756683E0
7.029169167E-1,1.676101685E1,4.224394608E1,-8.505123138E0
7.128619167E-1,1.725022888E1,4.205916977E1,-8.696002960E0
7.228079167E-1,1.774043274E1,4.196189880E1,-8.601573944E0
7.327529167E-1,1.813401794E1,4.183841705E1,-8.594631195E0
7.426979167E-1,1.832232666E1,4.161518860E1,-8.594028473E0
7.526429167E-1,1.870936584E1,4.141602707E1,-8.618778229E0
7.625889167E-1,1.899703217E1,4.125736618E1,-8.880779266E0
7.725339167E-1,1.918724060E1,4.115332794E1,-9.308673859E0
7.824789167E-1,1.910531616E1,4.101694870E1,-9.808040619E0
7.924239167E-1,1.894012451E1,4.089334869E1,-1.046368027E1
8.023699167E-1,1.908400726E1,4.091057968E1,-1.088685989E1
8.123149167E-1,1.921870422E1,4.077565002E1,-1.128358841E1
8.222599167E-1,1.918515015E1,4.059602737E1,-1.144755936E1
8.322059167E-1,1.910013580E1,4.049713516E1,-1.161955643E1
8.421509167E-1,1.910306549E1,4.040592957E1,-1.212418747E1
8.520959167E-1,1.898963165E1,4.033388519E1,-1.277970505E1
8.620409167E-1,1.888937378E1,4.028150558E1,-1.340933609E1
8.719869167E-1,1.873120117E1,4.029651642E1,-1.415099716E1
8.819319167E-1,1.872991180E1,4.023639679E1,-1.466337967E1
8.918769167E-1,1.858700562E1,4.007629776E1,-1.523337173E1
9.018219167E-1,1.841557312E1,3.994636154E1,-1.586766434E1
9.117679167E-1,1.815649414E1,3.964493179E1,-1.652671432E1
9.217129167E-1,1.785785675E1,3.950793457E1,-1.705449295E1
9.316579167E-1,1.763824463E1,3.943865204E1,-1.750114822E1
9.416029167E-1,1.743254089E1,3.944519424E1,-1.788372421E1
9.515489167E-1,1.723308563E1,3.916004562E1,-1.829611588E1
9.614939167E-1,1.731172180E1,3.911893845E1,-1.853104782E1
9.714389167E-1,1.737953949E1,3.898609161E1,-1.864865494E1
9.813839167E-1,1.732894135E1,3.887929535E1,-1.878849411E1
9.913299167E-1,1.735820007E1,3.870899963E1,-1.895950699E1
1.001274917E0,1.746194458E1,3.875327682E1,-1.905367661E1
1.011219917E0,1.750231171E1,3.866946411E1,-1.917246628E1
1.021165917E0,1.750830841E1,3.877215195E1,-1.919102097E1
1.031110917E0,1.765095520E1,3.884190750E1,-1.905464554E1
1.041055917E0,1.758887482E1,3.890927887E1,-1.887220383E1
