"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686158421705909E9,"2023-06-07 19:20:21.706 UTC+02:00"
"PAUSE",2.059292541665491E1,1.686158442298394E9,"2023-06-07 19:20:42.298 UTC+02:00"
"START",2.059292541665491E1,1.686158451100222E9,"2023-06-07 19:20:51.100 UTC+02:00"
"PAUSE",4.118259970832150E1,1.686158471675909E9,"2023-06-07 19:21:11.676 UTC+02:00"
"START",4.118259970832150E1,1.686158480766609E9,"2023-06-07 19:21:20.767 UTC+02:00"
"PAUSE",6.177648008332471E1,1.686158501354349E9,"2023-06-07 19:21:41.354 UTC+02:00"
"START",6.177648008332471E1,1.686158510395004E9,"2023-06-07 19:21:50.395 UTC+02:00"
"PAUSE",8.237842900000396E1,1.686158530995411E9,"2023-06-07 19:22:10.995 UTC+02:00"
"START",8.237842900000396E1,1.686158541528870E9,"2023-06-07 19:22:21.529 UTC+02:00"
"PAUSE",1.029772032499895E2,1.686158562126793E9,"2023-06-07 19:22:42.127 UTC+02:00"
"START",1.029772032499895E2,1.686158571044489E9,"2023-06-07 19:22:51.044 UTC+02:00"
"PAUSE",1.235764651666395E2,1.686158591642991E9,"2023-06-07 19:23:11.643 UTC+02:00"
"START",1.235764651666395E2,1.686158601546993E9,"2023-06-07 19:23:21.547 UTC+02:00"
"PAUSE",1.441653335833107E2,1.686158622135117E9,"2023-06-07 19:23:42.135 UTC+02:00"
"START",1.441653335833107E2,1.686158629697069E9,"2023-06-07 19:23:49.697 UTC+02:00"
"PAUSE",1.647650743749982E2,1.686158650296067E9,"2023-06-07 19:24:10.296 UTC+02:00"
"START",1.647650743749982E2,1.686158661013286E9,"2023-06-07 19:24:21.013 UTC+02:00"
"PAUSE",1.853595491249871E2,1.686158681607017E9,"2023-06-07 19:24:41.607 UTC+02:00"
"START",1.853595491249871E2,1.686158695115373E9,"2023-06-07 19:24:55.115 UTC+02:00"
"PAUSE",2.059579331249988E2,1.686158715713013E9,"2023-06-07 19:25:15.713 UTC+02:00"
"START",2.059579331249988E2,1.686158737282832E9,"2023-06-07 19:25:37.283 UTC+02:00"
"PAUSE",2.265588032083178E2,1.686158757882958E9,"2023-06-07 19:25:57.883 UTC+02:00"
"START",2.265588032083178E2,1.686158770338851E9,"2023-06-07 19:26:10.339 UTC+02:00"
"PAUSE",2.471527596666710E2,1.686158790932063E9,"2023-06-07 19:26:30.932 UTC+02:00"
"START",2.471527596666710E2,1.686158800550773E9,"2023-06-07 19:26:40.551 UTC+02:00"
"PAUSE",2.677463335416978E2,1.686158821143604E9,"2023-06-07 19:27:01.144 UTC+02:00"
"START",2.677463335416978E2,1.686158830556902E9,"2023-06-07 19:27:10.557 UTC+02:00"
"PAUSE",2.883411779167072E2,1.686158851151002E9,"2023-06-07 19:27:31.151 UTC+02:00"
"START",2.883411779167072E2,1.686158859847657E9,"2023-06-07 19:27:39.848 UTC+02:00"
"PAUSE",3.089342032917193E2,1.686158880439939E9,"2023-06-07 19:28:00.440 UTC+02:00"
"START",3.089342032917193E2,1.686158887867041E9,"2023-06-07 19:28:07.867 UTC+02:00"
"PAUSE",3.295541181250592E2,1.686158908486210E9,"2023-06-07 19:28:28.486 UTC+02:00"
"START",3.295541181250592E2,1.686158918840226E9,"2023-06-07 19:28:38.840 UTC+02:00"
"PAUSE",3.501441563750559E2,1.686158939429521E9,"2023-06-07 19:28:59.430 UTC+02:00"
"START",3.501441563750559E2,1.686158973295033E9,"2023-06-07 19:29:33.295 UTC+02:00"
"PAUSE",3.707617209583987E2,1.686158993911853E9,"2023-06-07 19:29:53.912 UTC+02:00"
"START",3.707617209583987E2,1.686159002837463E9,"2023-06-07 19:30:02.837 UTC+02:00"
"PAUSE",3.913526578750752E2,1.686159023427656E9,"2023-06-07 19:30:23.428 UTC+02:00"
"START",3.913526578750752E2,1.686159031945446E9,"2023-06-07 19:30:31.945 UTC+02:00"
"PAUSE",4.119425583750708E2,1.686159052534603E9,"2023-06-07 19:30:52.535 UTC+02:00"
"START",4.119425583750708E2,1.686159070890440E9,"2023-06-07 19:31:10.890 UTC+02:00"
"PAUSE",4.325353301667492E2,1.686159091482468E9,"2023-06-07 19:31:31.482 UTC+02:00"
