time,seconds_elapsed,dBFS
1686426289823000000,0.037,-41.51831817626953
1686426289923000000,0.137,-31.520910263061523
1686426290024000000,0.238,-24.965845108032227
1686426290125000000,0.339,-27.728809356689453
1686426290225000000,0.439,-28.12470245361328
1686426290325000000,0.539,-29.383216857910156
1686426290442000000,0.655999755859375,-28.341434478759766
1686426290558000000,0.772000244140625,-22.493450164794922
1686426290658000000,0.871999755859375,-16.453420639038086
1686426290759000000,0.973,-9.720163345336914
1686426290859000000,1.073,-11.195746421813965
1686426290975000000,1.189,-10.566742897033691
1686426291076000000,1.29,-11.527046203613281
1686426291192000000,1.406,-13.39929485321045
1686426291292000000,1.506,-14.99046516418457
1686426291393000000,1.607,-12.0353422164917
1686426291493000000,1.707,-15.713817596435547
1686426291593000000,1.807,-15.468207359313965
1686426291705000000,1.919,-18.71467399597168
1686426291810000000,2.023999755859375,-21.319181442260742
1686426291910000000,2.124000244140625,-17.49917221069336
1686426292010000000,2.223999755859375,-18.386178970336914
1686426292111000000,2.325,-21.404626846313477
1686426292211000000,2.425,-24.471956253051758
1686426292311000000,2.525,-17.532045364379883
1686426292427000000,2.641,-19.89026641845703
1686426292527000000,2.741,-21.414953231811523
1686426292627000000,2.841,-24.5135555267334
1686426292729000000,2.943,-20.1185245513916
1686426292828000000,3.042,-22.933656692504883
1686426292928000000,3.142,-13.782549858093262
1686426293028000000,3.242,-16.74696159362793
1686426293128000000,3.342,-20.415861129760742
1686426293228000000,3.442,-21.51797866821289
1686426293328000000,3.542,-24.4283447265625
1686426293429000000,3.643,-20.50052833557129
1686426293529000000,3.743,-15.374741554260254
1686426293629000000,3.843,-17.725282669067383
1686426293729000000,3.943,-19.146865844726562
1686426293829000000,4.043,-19.51776695251465
1686426293929000000,4.143,-22.572635650634766
1686426294030000000,4.244000244140625,-22.042770385742188
1686426294130000000,4.343999755859375,-16.31174659729004
1686426294231000000,4.445,-20.484718322753906
1686426294330000000,4.543999755859375,-23.7968807220459
1686426294447000000,4.661,-26.15473175048828
1686426294547000000,4.761,-23.888254165649414
1686426294648000000,4.862,-20.33110809326172
1686426294763000000,4.977,-8.779742240905762
1686426294864000000,5.078,-12.165733337402344
1686426294964000000,5.178,-14.990706443786621
